oom_score_adj=50 MemTotal_MB=11099 SwapTotal_MB=12287
held_MB,chunk_s,fill_MBps,VmRSS_MB,VmSwap_MB,MemAvailable_MB,SwapFree_MB,stop_reason
256,0.227,1126,259,0,3208,8052,
512,0.215,1189,515,0,2941,8059,
768,0.208,1228,771,0,2690,8058,
1024,0.740,346,1027,0,2506,7973,
1280,0.771,332,1283,0,2389,7894,
1536,1.394,184,1539,0,2246,7727,
1792,1.624,158,1728,67,2111,7420,
2048,1.933,132,1803,247,2011,7033,
2304,1.562,164,1896,411,1945,6821,
2560,1.549,165,1947,616,1889,6558,
2816,1.335,192,1956,863,1749,6195,rss_plateau
max_VmRSS_MB=1956 chunks=11
