mode=file_backed file=/data/data/com.termux/files/home/moe/ufs.bin oom_score_adj=50 MemTotal_MB=11099 SwapTotal_MB=12287
held_MB,chunk_s,fill_MBps,VmRSS_MB,VmSwap_MB,MemAvailable_MB,SwapFree_MB,stop_reason
256,0.112,2290,259,0,6600,11271,
512,0.094,2712,515,0,6600,11271,
768,0.104,2466,771,0,6598,11271,
1024,0.092,2775,1027,0,6594,11271,
1280,0.089,2864,1283,0,6595,11271,
1536,0.097,2626,1539,0,6595,11271,
1792,0.101,2532,1795,0,6595,11271,
2048,0.101,2531,2051,0,6590,11267,
2304,0.166,1539,2307,0,6531,11267,
2560,0.231,1106,2563,0,6485,11267,
2816,0.195,1314,2819,0,6448,11267,
3072,0.179,1433,3075,0,6423,11267,
3328,0.100,2547,3331,0,6408,11266,
3584,0.188,1362,3587,0,6397,11260,
3840,0.269,951,3843,0,6382,11230,
4096,0.680,377,4056,0,6432,11100,
4352,0.165,1549,3939,0,6452,11098,
4608,0.167,1536,4174,0,6466,11086,
4864,0.239,1073,4226,0,6468,11071,
5120,0.335,764,4297,0,6488,11045,
5376,0.144,1772,4307,0,6493,11038,
5632,0.150,1706,4386,0,6497,11030,
5888,0.240,1069,4477,0,6507,11015,
6144,0.223,1150,4508,0,6515,11002,
6400,0.215,1193,4558,0,6523,10993,rss_plateau
max_VmRSS_MB=4558 chunks=25 mode=file_backed
