mode=file_backed file=/data/data/com.termux/files/home/moe/ufs.bin oom_score_adj=50 MemTotal_MB=11099 SwapTotal_MB=12287
held_MB,chunk_s,fill_MBps,VmRSS_MB,VmSwap_MB,MemAvailable_MB,SwapFree_MB,stop_reason
256,0.147,1736,259,0,1999,7676,
512,0.408,627,515,0,2009,7661,
768,0.496,516,761,0,2056,7640,
1024,0.661,387,930,0,2117,7645,
1280,0.731,350,1034,0,2142,7601,
1536,0.569,450,1143,0,2207,7516,
1792,0.506,506,1238,0,2267,7434,
2048,0.434,589,1337,0,2295,7383,
2304,0.328,781,1439,0,2322,7339,
2560,0.323,794,1502,0,2338,7309,
2816,0.528,485,1568,0,2365,7253,
3072,0.549,466,1550,0,2378,7223,
3328,0.643,398,1418,0,2307,7238,rss_plateau
max_VmRSS_MB=1568 chunks=13 mode=file_backed
