mode=file_backed file=/data/data/com.termux/files/home/moe/ufs.bin oom_score_adj=50 MemTotal_MB=11099 SwapTotal_MB=12287
held_MB,chunk_s,fill_MBps,VmRSS_MB,VmSwap_MB,MemAvailable_MB,SwapFree_MB,stop_reason
256,0.145,1760,259,0,5223,6030,
512,0.147,1736,515,0,5220,6031,
768,0.141,1810,771,0,5220,6031,
1024,0.136,1887,1027,0,5220,6031,
1280,0.138,1859,1283,0,5224,6031,
1536,0.139,1848,1539,0,5224,6031,
1792,0.134,1914,1795,0,5224,6031,
2048,0.128,1997,2051,0,5225,6032,
2304,0.129,1984,2307,0,5223,6033,
2560,0.130,1974,2563,0,5223,6033,
2816,0.131,1955,2819,0,5223,6033,
3072,0.124,2059,3075,0,5219,6036,
3328,0.138,1853,3331,0,5218,6036,
3584,0.142,1807,3587,0,5216,6036,
3840,0.136,1876,3843,0,5216,6036,
4096,0.129,1977,4099,0,5216,6036,
4352,0.523,490,4355,0,5247,6006,
4608,0.614,417,4534,0,5275,5970,
4864,0.214,1198,4594,0,5280,5964,
5120,0.284,901,4623,0,5287,5954,rss_plateau
max_VmRSS_MB=4623 chunks=20 mode=file_backed
