oom_score_adj=50 MemTotal_MB=11099 SwapTotal_MB=12287
held_MB,chunk_s,fill_MBps,VmRSS_MB,VmSwap_MB,MemAvailable_MB,SwapFree_MB,stop_reason
256,0.226,1134,259,0,3796,7154,
512,0.202,1266,515,0,3541,7154,
768,0.213,1202,771,0,3284,7154,
1024,0.204,1256,1027,0,3028,7154,
1280,0.201,1275,1283,0,2770,7154,
1536,0.246,1039,1539,0,2647,7142,
1792,0.232,1103,1795,0,2405,7129,
2048,0.892,287,2051,0,2210,7048,
2304,1.064,241,2307,0,2041,6943,
2560,1.386,185,2504,59,1931,6755,
2816,1.535,167,2438,381,1803,6249,
3072,1.699,151,2163,911,1659,5559,rss_plateau
max_VmRSS_MB=2504 chunks=12
