repeat,mode,pattern,size_kb,threads,bytes,seconds,MBps,iops,lat_p50_us,lat_p99_us,errors,first_errno,power_w,temp_start_c,temp_end_c,temp_zone
0,idle,none,0,0,0,5,0,0,0,0,0,0,nan,44.8,44.8,pm8550_tz
1,direct,rand,4,1,94457856,2.0001,47.23,11529.7,83.3,137.0,0,0,nan,44.7,46.1,ddr
1,direct,rand,4,2,198901760,2.0002,99.44,24277.7,78.9,141.2,0,0,nan,45.9,48.6,qmx-1-0
1,direct,rand,4,4,384585728,2.0003,192.26,46939.6,79.5,163.3,0,0,nan,47.8,50.9,qmx-1-0
1,direct,rand,4,8,695209984,2.0007,347.48,84832.9,84.8,203.8,0,0,nan,49.8,52.9,qmx-1-0
1,direct,rand,8,1,175669248,2.0002,87.83,10721.0,90.8,142.3,0,0,nan,52.1,49.0,qmx-1-0
1,direct,rand,8,2,358047744,2.0002,179.01,21851.3,87.1,159.6,0,0,nan,48.6,50.5,qmx-1-0
1,direct,rand,8,4,632242176,2.0003,316.08,38583.5,93.0,206.6,0,0,nan,49.4,52.5,qmx-1-0
1,direct,rand,8,8,938090496,2.0004,468.95,57244.6,128.2,326.8,0,0,nan,51.7,53.2,qmx-1-0
1,direct,rand,16,1,328237056,2.0002,164.11,10016.2,98.2,148.4,0,0,nan,52.5,49.5,pm8550_tz
1,direct,rand,16,2,654311424,2.0002,327.13,19966.2,95.2,171.4,0,0,nan,49.6,50.5,qmx-1-0
1,direct,rand,16,4,1132101632,2.0003,565.97,34544.2,103.0,227.9,0,0,nan,49.8,52.1,qmx-1-0
1,direct,rand,16,8,1627406336,2.0004,813.55,49655.4,149.7,360.0,0,0,nan,50.9,53.6,qmx-1-0
1,direct,rand,32,1,569475072,2.0002,284.70,8688.5,113.8,165.5,0,0,nan,52.5,50.5,pm8550_tz
1,direct,rand,32,2,1113620480,2.0003,556.74,16990.2,111.4,194.8,0,0,nan,50.2,50.5,pm8550_tz
1,direct,rand,32,4,1856143360,2.0003,927.93,28318.3,129.9,269.6,0,0,nan,50.4,52.1,qmx-1-0
1,direct,rand,32,8,2692251648,2.0004,1345.82,41071.3,183.1,404.9,0,0,nan,51.3,53.2,qmx-1-1
1,direct,rand,64,1,937361408,2.0002,468.63,7150.7,138.1,192.5,0,0,nan,52.5,51.2,pm8550_tz
1,direct,rand,64,2,1805910016,2.0003,902.84,13776.3,139.0,227.7,0,0,nan,51.1,51.4,pm8550_tz
1,direct,rand,64,4,2801074176,2.0003,1400.34,21367.6,176.5,351.1,0,0,nan,51.4,52.5,qmx-1-1
1,direct,rand,64,8,4111466496,2.0005,2055.22,31360.2,238.9,513.4,0,0,nan,52.2,54.0,qmx-1-0
1,direct,rand,128,1,1314127872,2.0001,657.02,5012.6,198.5,270.2,0,0,nan,53.2,52.2,pm8550_tz
1,direct,rand,128,2,2373058560,2.0002,1186.44,9051.8,213.4,337.3,0,0,nan,52.1,52.4,pm8550_tz
1,direct,rand,128,4,3753377792,2.0004,1876.35,14315.4,267.1,483.4,0,0,nan,52.4,53.3,pm8550_tz
1,direct,rand,128,8,4594597888,2.0006,2296.57,17521.4,424.5,979.5,0,0,nan,53.2,54.2,pm8550_tz
1,direct,rand,256,1,2171076608,2.0002,1085.45,4140.7,237.7,331.8,0,0,nan,54.0,53.4,pm8550_tz
1,direct,rand,256,2,3880517632,2.0003,1940.00,7400.5,263.6,392.1,0,0,nan,53.4,54.0,pm8550_tz
1,direct,rand,256,4,5212209152,2.0005,2605.51,9939.2,376.1,778.8,0,0,nan,53.9,55.0,pm8550_tz
1,direct,rand,256,8,5473304576,2.0010,2735.34,10434.5,739.6,1259.7,0,0,nan,54.8,55.7,pm8550_tz
1,direct,rand,512,1,2915565568,2.0003,1457.58,2780.1,350.9,523.1,0,0,nan,55.5,54.7,pm8550_tz
1,direct,rand,512,2,4795138048,2.0003,2397.18,4572.3,420.9,678.5,0,0,nan,54.5,55.2,pm8550_tz
1,direct,rand,512,4,5507645440,2.0007,2752.80,5250.5,747.7,1125.8,0,0,nan,55.1,55.7,pm8550_tz
1,direct,rand,512,8,5550112768,2.0014,2773.14,5289.4,1480.5,2090.3,0,0,nan,55.6,56.2,pm8550_tz
1,direct,rand,1024,1,3520069632,2.0006,1759.55,1678.0,589.2,812.5,0,0,nan,56.0,55.3,pm8550_tz
1,direct,rand,1024,2,5149556736,2.0006,2574.01,2454.8,801.9,1256.1,0,0,nan,55.2,55.8,pm8550_tz
1,direct,rand,1024,4,5694816256,2.0015,2845.31,2713.5,1456.8,2001.5,0,0,nan,55.6,56.2,pm8550_tz
1,direct,rand,1024,8,5577375744,2.0031,2784.40,2655.4,2991.6,3607.9,0,0,nan,56.0,56.6,pm8550_tz
1,direct,rand,2048,1,3839885312,2.0008,1919.16,915.1,1057.3,1436.8,0,0,nan,56.4,56.0,pm8550_tz
1,direct,rand,2048,2,4838129664,2.0018,2416.87,1152.5,1738.9,2531.8,0,0,nan,55.7,56.0,pm8550_tz
1,direct,rand,2048,4,4949278720,2.0029,2471.06,1178.3,3377.9,4223.5,0,0,nan,55.8,56.2,pm8550_tz
1,direct,rand,2048,8,4961861632,2.0078,2471.34,1178.4,6755.8,7916.5,0,0,nan,55.9,56.0,pm8550_tz
1,direct,rand,4096,1,4546625536,2.0012,2271.96,541.7,1864.2,2277.1,0,0,nan,55.7,55.7,pm8550_tz
1,direct,rand,4096,2,5272240128,2.0024,2633.02,627.8,3175.2,4203.1,0,0,nan,55.4,56.2,pm8550_tz
1,direct,rand,4096,4,5695864832,2.0057,2839.79,677.1,5891.0,7039.7,0,0,nan,55.9,56.3,pm8550_tz
1,direct,rand,4096,8,5830082560,2.0116,2898.26,691.0,11530.4,13078.8,0,0,nan,56.1,56.4,pm8550_tz
1,direct,seq,64,1,2363359232,2.0002,1181.58,18029.5,52.2,138.0,0,0,nan,56.3,54.8,pm8550_tz
1,direct,seq,64,2,1859649536,2.0002,929.71,14186.3,138.4,186.1,0,0,nan,54.6,54.0,pm8550_tz
1,direct,seq,64,4,3272474624,2.0003,1635.99,24963.2,155.2,230.8,0,0,nan,54.1,54.5,pm8550_tz
1,direct,seq,64,8,4338548736,2.0005,2168.72,33092.1,231.8,414.4,0,0,nan,54.4,55.6,qmx-1-0
1,direct,seq,128,1,3252289536,2.0002,1626.02,12405.5,75.0,209.6,0,0,nan,55.3,54.8,pm8550_tz
1,direct,seq,128,2,2373976064,2.0003,1186.82,9054.7,212.0,294.5,0,0,nan,54.8,54.3,pm8550_tz
1,direct,seq,128,4,4173987840,2.0004,2086.60,15919.5,244.8,391.2,0,0,nan,54.4,55.2,pm8550_tz
1,direct,seq,128,8,5443682304,2.0007,2720.88,20758.7,368.0,688.3,0,0,nan,55.1,56.4,pm8550_tz
1,direct,seq,256,1,4179886080,2.0002,2089.78,7971.9,113.6,279.1,0,0,nan,56.2,55.9,pm8550_tz
1,direct,seq,256,2,3825205248,2.0003,1912.33,7294.9,270.9,403.8,0,0,nan,55.8,55.9,pm8550_tz
1,direct,seq,256,4,5474877440,2.0004,2736.87,10440.3,375.2,626.4,0,0,nan,55.7,56.9,pm8550_tz
1,direct,seq,256,8,5587337216,2.0007,2792.66,10653.2,738.2,1093.5,0,0,nan,56.6,57.2,pm8550_tz
1,direct,seq,512,1,4913627136,2.0002,2456.57,4685.5,190.7,456.8,0,0,nan,57.2,56.7,pm8550_tz
1,direct,seq,512,2,4541906944,2.0006,2270.22,4330.1,439.2,692.4,0,0,nan,56.5,56.8,pm8550_tz
1,direct,seq,512,4,5552734208,2.0007,2775.39,5293.6,744.4,1132.1,0,0,nan,56.6,57.2,pm8550_tz
1,direct,seq,512,8,5620367360,2.0016,2807.97,5355.8,1479.0,1987.5,0,0,nan,57.0,57.5,pm8550_tz
1,direct,seq,1024,1,5215617024,2.0005,2607.10,2486.3,362.2,798.4,0,0,nan,57.3,57.2,pm8550_tz
1,direct,seq,1024,2,5026873344,2.0007,2512.54,2396.1,835.2,1321.1,0,0,nan,56.9,57.2,pm8550_tz
1,direct,seq,1024,4,5935988736,2.0014,2965.99,2828.6,1401.9,1884.6,0,0,nan,57.0,57.5,pm8550_tz
1,direct,seq,1024,8,5747245056,2.0025,2869.98,2737.0,2898.3,3466.8,0,0,nan,57.4,57.7,pm8550_tz
1,direct,seq,2048,1,6127878144,2.0009,3062.60,1460.4,617.3,1320.8,0,0,nan,57.5,57.7,pm8550_tz
1,direct,seq,2048,2,5112856576,2.0013,2554.71,1218.2,1629.7,2405.2,0,0,nan,57.3,57.5,pm8550_tz
1,direct,seq,2048,4,5565841408,2.0031,2778.67,1325.0,3005.9,3743.0,0,0,nan,57.4,57.8,pm8550_tz
1,direct,seq,2048,8,6029312000,2.0055,3006.42,1433.6,5534.7,6326.9,0,0,nan,57.6,57.7,pm8550_tz
1,direct,seq,4096,1,6345981952,2.0008,3171.75,756.2,1148.1,2240.8,0,0,nan,57.5,57.9,pm8550_tz
1,direct,seq,4096,2,6262095872,2.0022,3127.53,745.7,2645.8,3321.7,0,0,nan,57.6,58.2,pm8550_tz
1,direct,seq,4096,4,6459228160,2.0052,3221.21,768.0,5137.3,6113.8,0,0,nan,58.0,58.1,pm8550_tz
1,direct,seq,4096,8,5582618624,2.0117,2775.08,661.6,12000.1,13716.9,0,0,nan,57.8,57.8,pm8550_tz
1,buffered,rand,4,1,90841088,2.0001,45.42,11088.3,87.6,141.4,0,0,nan,57.6,54.9,pm8550_tz
1,buffered,rand,4,2,189079552,2.0002,94.53,23079.0,82.8,152.0,0,0,nan,54.8,54.0,qmx-1-0
1,buffered,rand,4,4,370528256,2.0003,185.24,45224.6,83.2,169.3,0,0,nan,53.7,56.0,qmx-1-0
1,buffered,rand,4,8,645783552,2.0004,322.82,78814.6,90.2,226.5,0,0,nan,53.6,59.0,qmx-1-0
1,buffered,rand,8,1,164118528,2.0002,82.05,10015.9,97.4,149.6,0,0,nan,56.7,53.1,pm8550_tz
1,buffered,rand,8,2,340787200,2.0002,170.38,20797.9,91.7,162.4,0,0,nan,53.1,54.0,qmx-1-0
1,buffered,rand,8,4,599515136,2.0011,299.59,36570.6,97.9,217.7,0,0,nan,53.2,56.7,qmx-1-0
1,buffered,rand,8,8,877920256,2.0063,437.59,53416.6,134.8,345.6,0,0,nan,56.0,58.7,qmx-1-0
1,buffered,rand,16,1,282116096,2.0002,141.04,8608.6,110.9,198.3,0,0,nan,57.5,53.2,pm8550_tz
1,buffered,rand,16,2,605274112,2.0002,302.61,18469.6,103.6,181.4,0,0,nan,53.2,54.8,qmx-1-0
1,buffered,rand,16,4,1048952832,2.0004,524.38,32005.9,112.0,245.9,0,0,nan,53.6,57.1,qmx-1-0
1,buffered,rand,16,8,1474330624,2.0046,735.49,44890.8,161.8,403.8,0,0,nan,56.0,58.7,qmx-1-0
1,buffered,rand,32,1,477396992,2.0002,238.68,7283.9,134.8,191.3,0,0,nan,59.0,53.1,pm8550_tz
1,buffered,rand,32,2,1003978752,2.0003,501.91,15317.2,125.9,208.3,0,0,nan,53.0,54.8,qmx-1-0
1,buffered,rand,32,4,1619492864,2.0032,808.44,24671.5,150.7,308.9,0,0,nan,54.0,57.5,qmx-1-0
1,buffered,rand,32,8,2259255296,2.0005,1129.34,34464.7,208.2,562.6,0,0,nan,56.7,59.8,qmx-1-0
1,buffered,rand,64,1,747765760,2.0004,373.81,5703.9,171.5,244.4,0,0,nan,58.3,53.6,pm8550_tz
1,buffered,rand,64,2,1550516224,2.0003,775.16,11827.9,163.2,261.6,0,0,nan,53.4,55.6,qmx-1-1
1,buffered,rand,64,4,2392391680,2.0005,1195.87,18247.5,201.2,433.3,0,0,nan,55.2,59.4,cpu-1-0-1
1,buffered,rand,64,8,3209101312,2.0007,1603.99,24475.0,295.5,882.2,0,0,nan,57.5,60.6,qmx-1-0
1,buffered,rand,128,1,995622912,2.0003,497.75,3797.5,257.5,380.6,0,0,nan,58.7,54.0,pm8550_tz
