NOTE: no readable battery power rail; power_w is NaN and J/GB is NOT measurable on this device.
repeat,mode,pattern,size_kb,threads,bytes,seconds,MBps,iops,lat_p50_us,lat_p99_us,errors,first_errno,power_w,temp_start_c,temp_end_c,temp_zone
0,idle,none,0,0,0,5,0,0,0,0,0,0,nan,50.4,50.4,pm8550_tz
1,direct,rand,4,1,86736896,2.0002,43.36,10586.9,85.8,221.0,0,0,nan,50.3,52.1,qmx-1-0
1,direct,rand,4,2,191307776,2.0002,95.64,23350.4,79.9,145.5,0,0,nan,51.3,53.2,qmx-1-0
1,direct,rand,4,4,371781632,2.0003,185.87,45377.3,81.8,167.3,0,0,nan,52.5,54.8,qmx-1-0
1,direct,rand,4,8,663945216,2.0004,331.90,81031.1,86.0,209.6,0,0,nan,54.4,57.5,qmx-1-0
1,direct,rand,8,1,166707200,2.0001,83.35,10174.4,93.5,144.7,0,0,nan,55.2,52.5,pm8550_tz
1,direct,rand,8,2,330637312,2.0002,165.31,20178.9,90.2,193.5,0,0,nan,52.5,54.4,qmx-1-0
1,direct,rand,8,4,598589440,2.0003,299.25,36530.0,94.8,223.6,0,0,nan,53.2,55.6,qmx-1-0
1,direct,rand,8,8,890322944,2.0004,445.07,54329.6,134.6,349.3,0,0,nan,54.4,56.7,qmx-1-0
1,direct,rand,16,1,303005696,2.0001,151.49,9246.4,99.5,258.7,0,0,nan,55.2,54.0,qmx-1-0
1,direct,rand,16,2,631586816,2.0002,315.76,19272.7,97.4,176.8,0,0,nan,53.6,54.4,qmx-1-0
1,direct,rand,16,4,1080360960,2.0003,540.11,32965.7,106.4,243.3,0,0,nan,53.6,55.2,qmx-1-1
1,direct,rand,16,8,1548451840,2.0005,774.05,47244.4,157.1,382.3,0,0,nan,54.8,56.3,qmx-1-0
1,direct,rand,32,1,543064064,2.0003,271.50,8285.5,116.7,168.9,0,0,nan,55.6,53.7,pm8550_tz
1,direct,rand,32,2,1086193664,2.0002,543.03,16572.0,113.1,199.2,0,0,nan,53.6,54.0,qmx-1-1
1,direct,rand,32,4,1794408448,2.0003,897.06,27376.1,135.9,275.5,0,0,nan,53.6,55.2,qmx-1-1
1,direct,rand,32,8,2557968384,2.0005,1278.68,39022.4,192.7,425.0,0,0,nan,54.8,56.3,qmx-1-0
1,direct,rand,64,1,904396800,2.0002,452.16,6899.4,142.0,194.6,0,0,nan,55.6,54.1,pm8550_tz
1,direct,rand,64,2,1726676992,2.0002,863.24,13172.0,141.7,270.2,0,0,nan,54.1,54.3,pm8550_tz
1,direct,rand,64,4,2795175936,2.0003,1397.39,21322.5,180.7,338.5,0,0,nan,54.2,55.2,qmx-1-0
1,direct,rand,64,8,3996909568,2.0005,1997.91,30485.7,245.9,517.4,0,0,nan,54.9,56.3,qmx-1-0
1,direct,rand,128,1,1250820096,2.0001,625.36,4771.2,203.4,285.1,0,0,nan,56.0,55.0,pm8550_tz
1,direct,rand,128,2,2206728192,2.0003,1103.19,8416.7,218.5,568.8,0,0,nan,54.9,55.0,pm8550_tz
1,direct,rand,128,4,3375104000,2.0004,1687.23,12872.6,279.6,853.7,0,0,nan,55.0,56.0,pm8550_tz
1,direct,rand,128,8,4599185408,2.0007,2298.79,17538.4,431.4,855.3,0,0,nan,55.8,57.0,pm8550_tz
1,direct,rand,256,1,2090860544,2.0002,1045.35,3987.7,244.2,337.7,0,0,nan,56.8,56.0,pm8550_tz
1,direct,rand,256,2,3762028544,2.0003,1880.76,7174.5,270.3,413.9,0,0,nan,56.0,56.6,pm8550_tz
1,direct,rand,256,4,5224792064,2.0004,2611.81,9963.3,382.1,711.2,0,0,nan,56.5,57.6,pm8550_tz
1,direct,rand,256,8,5288230912,2.0008,2643.05,10082.5,765.9,1281.9,0,0,nan,57.3,58.1,pm8550_tz
1,direct,rand,512,1,2805465088,2.0003,1402.53,2675.1,358.6,519.9,0,0,nan,58.0,57.2,pm8550_tz
1,direct,rand,512,2,4678746112,2.0003,2338.99,4461.3,431.6,682.6,0,0,nan,57.0,57.6,pm8550_tz
1,direct,rand,512,4,5304221696,2.0008,2650.99,5056.4,768.7,1147.0,0,0,nan,57.4,58.2,pm8550_tz
1,direct,rand,512,8,5368709120,2.0016,2682.25,5116.0,1531.9,2139.8,0,0,nan,58.0,58.5,pm8550_tz
1,direct,rand,1024,1,3098542080,2.0007,1548.70,1477.0,674.2,918.4,0,0,nan,58.3,57.4,pm8550_tz
1,direct,rand,1024,2,5045747712,2.0007,2521.99,2405.2,814.8,1276.5,0,0,nan,57.4,58.1,pm8550_tz
1,direct,rand,1024,4,5408555008,2.0015,2702.24,2577.1,1535.1,2071.3,0,0,nan,58.0,58.7,pm8550_tz
1,direct,rand,1024,8,5651824640,2.0032,2821.41,2690.7,2945.5,3649.3,0,0,nan,58.5,58.8,pm8550_tz
1,direct,rand,2048,1,3737124864,2.0005,1868.06,890.8,1125.5,1375.9,0,0,nan,58.7,58.3,pm8550_tz
