creating /data/data/com.termux/files/home/moe/ufs.bin (8192 MB) ...
  created 0 / 8192 MB
  created 1024 / 8192 MB
  created 2048 / 8192 MB
  created 3072 / 8192 MB
  created 4096 / 8192 MB
  created 5120 / 8192 MB
  created 6144 / 8192 MB
  created 7168 / 8192 MB
repeat,mode,pattern,size_kb,threads,bytes,seconds,MBps,iops,lat_p50_us,lat_p99_us,errors,first_errno,power_w,temp_start_c,temp_end_c,temp_zone
1,direct,rand,512,1,3533176832,2.0004,1766.27,3368.9,276.4,441.1,0,0,nan,56.0,53.8,pm8550_tz
1,direct,rand,512,4,7084703744,2.0006,3541.34,6754.6,570.4,905.6,0,0,nan,53.6,55.5,pm8550_tz
1,direct,rand,512,8,6964641792,2.0014,3479.96,6637.5,1164.6,1672.8,0,0,nan,55.6,56.5,pm8550_tz
1,direct,rand,512,16,7023886336,2.0023,3507.86,6690.7,2318.5,3098.2,0,0,nan,56.3,57.0,pm8550_tz
1,direct,rand,512,32,7135035392,2.0049,3558.81,6787.9,4660.1,5443.0,0,0,nan,56.8,57.3,pm8550_tz
1,direct,rand,1024,1,4039114752,2.0005,2019.08,1925.5,486.2,819.4,0,0,nan,57.2,56.2,pm8550_tz
1,direct,rand,1024,4,7246708736,2.0009,3621.73,3454.0,1139.3,1591.2,0,0,nan,56.1,57.0,pm8550_tz
1,direct,rand,1024,8,7082082304,2.0024,3536.80,3373.0,2293.9,3404.0,0,0,nan,56.9,57.2,pm8550_tz
1,direct,rand,1024,16,7255097344,2.0045,3619.43,3451.8,4592.8,5376.2,0,0,nan,57.2,57.6,pm8550_tz
1,direct,rand,1024,32,7301234688,2.0092,3633.83,3465.5,9184.0,10521.0,0,0,nan,57.4,57.7,pm8550_tz
1,direct,rand,4096,1,5591007232,2.0008,2794.38,666.2,1489.4,1810.5,0,0,nan,57.7,56.9,pm8550_tz
1,direct,rand,4096,4,6526337024,2.0041,3256.51,776.4,5106.7,6051.2,0,0,nan,57.0,57.3,pm8550_tz
1,direct,rand,4096,8,6492782592,2.0102,3229.95,770.1,10334.8,11499.4,0,0,nan,57.1,57.2,pm8550_tz
1,direct,rand,4096,16,6924795904,2.0205,3427.23,817.1,18839.0,35394.8,0,0,nan,57.3,57.6,pm8550_tz
1,direct,rand,4096,32,6941573120,2.0319,3416.37,814.5,38585.0,60397.6,0,0,nan,57.5,57.7,pm8550_tz
1,buffered,rand,512,1,1805123584,2.0003,902.43,1721.2,534.8,1480.1,0,0,nan,57.6,55.7,pm8550_tz
1,buffered,rand,512,4,6053429248,2.0005,3025.95,5771.5,663.4,1391.8,0,0,nan,55.7,58.5,cpu-0-4-1
1,buffered,rand,512,8,6907494400,2.0012,3451.65,6583.5,1170.0,2352.3,0,0,nan,56.7,60.2,cpullc-1-0
1,buffered,rand,512,16,6902775808,2.0025,3447.11,6574.8,2314.4,7002.7,0,0,nan,57.5,64.5,qmx-1-0
1,buffered,rand,512,32,6606028800,2.0044,3295.83,6286.3,4752.1,18735.0,0,0,nan,58.7,64.5,cpullc-0-0
1,buffered,rand,1024,1,2086666240,2.0004,1043.11,994.8,977.4,1853.4,0,0,nan,59.8,56.3,pm8550_tz
1,buffered,rand,1024,4,6266290176,2.0029,3128.54,2983.6,1258.3,3630.9,0,0,nan,56.4,60.6,qmx-1-0
1,buffered,rand,1024,8,6451888128,2.0027,3221.66,3072.4,2430.3,6574.3,0,0,nan,57.1,63.3,qmx-1-0
1,buffered,rand,1024,16,6703546368,2.0036,3345.69,3190.7,4873.1,11615.1,0,0,nan,58.7,63.7,qmx-1-0
1,buffered,rand,1024,32,6692012032,2.0081,3332.46,3178.1,9764.7,22267.8,0,0,nan,59.4,64.8,cpullc-1-0
1,buffered,rand,4096,1,2038431744,2.0041,1017.11,242.5,4138.0,5323.1,0,0,nan,77.9,57.9,cpullc-0-1
1,buffered,rand,4096,4,6048186368,2.0045,3017.32,719.4,5339.9,10115.1,0,0,nan,58.7,61.4,cpu-1-0-1
1,buffered,rand,4096,8,6589251584,2.0066,3283.71,782.9,9786.7,17636.1,0,0,nan,58.3,64.8,qmx-1-0
1,buffered,rand,4096,16,6601834496,2.0164,3274.09,780.6,19429.5,41433.8,0,0,nan,58.7,64.8,qmx-1-0
1,buffered,rand,4096,32,6606028800,2.0280,3257.43,776.6,39221.4,87785.2,0,0,nan,59.4,65.2,qmx-1-0
2,direct,rand,512,1,3105882112,2.0003,1552.73,2961.6,325.6,512.8,0,0,nan,59.4,57.8,pm8550_tz
2,direct,rand,512,4,6084362240,2.0007,3041.11,5800.4,667.8,1099.2,0,0,nan,57.9,58.8,pm8550_tz
2,direct,rand,512,8,6181355520,2.0017,3087.99,5889.9,1315.1,1954.2,0,0,nan,58.6,59.1,pm8550_tz
2,direct,rand,512,16,6274154496,2.0027,3132.88,5975.5,2633.2,3397.0,0,0,nan,58.9,59.2,pm8550_tz
2,direct,rand,512,32,6327631872,2.0054,3155.24,6018.1,5271.3,6088.0,0,0,nan,59.1,59.3,pm8550_tz
2,direct,rand,1024,1,3590324224,2.0006,1794.66,1711.5,559.2,869.2,0,0,nan,59.1,57.7,pm8550_tz
2,direct,rand,1024,4,6369050624,2.0013,3182.38,3035.0,1285.6,1893.9,0,0,nan,57.8,58.5,pm8550_tz
2,direct,rand,1024,8,6464471040,2.0023,3228.58,3079.0,2566.9,3266.4,0,0,nan,58.2,58.5,pm8550_tz
2,direct,rand,1024,16,6382682112,2.0060,3181.81,3034.4,5228.4,6048.2,0,0,nan,58.4,58.7,pm8550_tz
2,direct,rand,1024,32,6443499520,2.0108,3204.49,3056.0,10409.8,11489.0,0,0,nan,58.5,58.6,pm8550_tz
2,direct,rand,4096,1,4756340736,2.0018,2376.07,566.5,1736.4,2255.6,0,0,nan,58.6,57.8,pm8550_tz
2,direct,rand,4096,4,5955911680,2.0055,2969.79,708.1,5537.8,7742.4,0,0,nan,57.7,58.0,pm8550_tz
2,direct,rand,4096,8,6287261696,2.0110,3126.39,745.4,10628.9,12465.9,0,0,nan,57.9,58.0,pm8550_tz
2,direct,rand,4096,16,6215958528,2.0192,3078.40,733.9,20789.5,45682.7,0,0,nan,58.0,58.0,pm8550_tz
2,direct,rand,4096,32,6069157888,2.0374,2978.89,710.2,44276.8,67505.1,0,0,nan,58.0,58.0,pm8550_tz
2,buffered,rand,512,1,1706033152,2.0004,852.86,1626.7,602.2,864.7,0,0,nan,58.0,55.8,pm8550_tz
2,buffered,rand,512,4,5585764352,2.0010,2791.55,5324.5,715.5,1295.5,0,0,nan,55.8,56.9,pm8550_tz
2,buffered,rand,512,8,5977407488,2.0012,2986.85,5697.0,1358.5,2404.2,0,0,nan,56.5,60.6,qmx-1-0
2,buffered,rand,512,16,6046613504,2.0033,3018.27,5756.9,2729.1,4350.9,0,0,nan,57.1,60.6,qmx-1-0
2,buffered,rand,512,32,5983698944,2.0055,2983.59,5690.8,5535.1,8206.0,0,0,nan,57.3,61.4,qmx-1-0
2,buffered,rand,1024,1,1853882368,2.0010,926.49,883.6,1123.6,1775.6,0,0,nan,57.8,56.2,pm8550_tz
2,buffered,rand,1024,4,5883559936,2.0015,2939.56,2803.4,1402.2,2040.5,0,0,nan,56.1,58.3,qmx-1-0
2,buffered,rand,1024,8,6111100928,2.0033,3050.51,2909.2,2702.5,4106.6,0,0,nan,57.0,59.0,cpullc-1-0
2,buffered,rand,1024,16,5925502976,2.0046,2955.92,2819.0,5487.0,8169.4,0,0,nan,57.5,60.2,qmx-1-1
2,buffered,rand,1024,32,5883559936,2.0115,2925.00,2789.5,10954.0,19871.3,0,0,nan,57.8,60.6,cpullc-1-0
