repeat,threads,buffer_mb,seconds,GBps,min_cpu_over_wall,descheduled,pinned,resident_frac
1,1,1024,2.0235,40.328,0.996,0,0,1.000
1,2,1024,2.0096,58.239,0.959,0,0,1.000
1,4,1024,2.0130,59.741,0.971,0,0,1.000
1,6,1024,2.0052,56.582,0.734,1,0,1.000
1,8,1024,2.0123,54.492,0.468,1,0,1.000
2,1,1024,2.0098,28.849,0.721,1,0,1.000
2,2,1024,2.0092,57.717,0.965,0,0,1.000
2,4,1024,2.0076,58.296,0.916,0,0,1.000
2,6,1024,2.0078,57.579,0.826,1,0,1.000
2,8,1024,2.0113,57.590,0.435,1,0,1.000
3,1,1024,2.0034,40.196,0.977,0,0,1.000
3,2,1024,2.0165,57.775,0.985,0,0,1.000
3,4,1024,2.0073,60.714,0.727,1,0,1.000
3,6,1024,2.0106,60.256,0.670,1,0,1.000
3,8,1024,2.0093,58.848,0.777,1,0,1.000
4,1,1024,2.0245,40.839,0.989,0,0,1.000
4,2,1024,2.0124,58.157,0.989,0,0,1.000
4,4,1024,2.0102,60.226,0.974,0,0,1.000
4,6,1024,2.0158,55.131,0.930,0,0,1.000
4,8,1024,2.0105,44.795,0.489,1,0,1.000
5,1,1024,2.0261,31.268,0.989,0,0,1.000
5,2,1024,2.0030,46.370,0.987,0,0,1.000
5,4,1024,2.0128,45.612,0.772,1,0,1.000
5,6,1024,2.0165,46.058,0.937,0,0,1.000
5,8,1024,2.0108,45.123,0.571,1,0,1.000
# sink=9165806621497213008
