repeat,threads,buffer_mb,seconds,GBps,min_cpu_over_wall,descheduled,pinned,resident_frac
1,1,1024,2.0131,41.071,0.991,0,0,1.000
1,2,1024,2.0078,58.559,0.991,0,0,1.000
1,4,1024,2.0099,59.968,0.966,0,0,1.000
1,6,1024,2.0114,59.433,0.893,1,0,1.000
1,8,1024,2.0103,58.552,0.834,1,0,1.000
2,1,1024,2.0082,41.169,0.988,0,0,1.000
2,2,1024,2.0102,57.687,0.991,0,0,1.000
2,4,1024,2.0138,61.051,0.975,0,0,1.000
2,6,1024,2.0072,59.111,0.923,0,0,1.000
2,8,1024,2.0099,59.299,0.847,1,0,1.000
3,1,1024,2.0085,41.164,0.988,0,0,1.000
3,2,1024,2.0107,58.743,0.990,0,0,1.000
3,4,1024,2.0221,54.958,0.813,1,0,1.000
3,6,1024,2.0309,40.445,0.314,1,0,1.000
3,8,1024,2.0450,44.171,0.140,1,0,1.000
4,1,1024,2.0120,30.419,0.836,1,0,1.000
4,2,1024,2.0238,44.036,0.749,1,0,1.000
4,4,1024,2.0117,39.765,0.362,1,0,1.000
4,6,1024,2.0142,53.486,0.499,1,0,1.000
4,8,1024,2.0148,52.826,0.360,1,0,1.000
5,1,1024,2.1041,28.577,0.912,0,0,1.000
5,2,1024,2.0202,43.850,0.930,0,0,1.000
5,4,1024,2.0142,44.645,0.749,1,0,1.000
5,6,1024,2.0308,34.543,0.205,1,0,1.000
5,8,1024,2.0133,38.066,0.196,1,0,1.000
# sink=15547530725667930144
