# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4000 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,473.768,736.257,178.871,588681216,4.98,209.113,85.785,19933,1669.510,-1.000,0,77.86,4000.0,6010.4,4860.3,1149.6,336.2,1760.6,301.8,8940.8,0.373,1,0.000,0.009,0.000,0.000,0.000
2,256,310.817,492.199,92.486,387317760,10.96,173.285,45.046,1,1099.774,0.820,0,0.00,4000.0,6003.9,4853.8,1149.6,343.5,1775.1,319.2,8922.8,6.317,1,0.000,0.008,0.000,0.000,0.000
3,256,264.823,552.634,98.505,443019264,15.30,79.430,86.888,14,974.671,0.820,0,0.05,4000.0,6003.8,4853.7,1149.6,344.0,1765.3,309.3,8921.3,0.607,1,0.000,0.009,0.000,0.000,0.000
4,256,182.866,302.780,91.835,236027904,20.62,47.858,43.173,1,667.225,0.820,0,0.00,4000.0,6002.4,4852.3,1149.6,344.4,1766.7,310.7,8919.8,1.025,1,0.000,0.007,0.000,0.000,0.000
5,256,196.609,339.870,91.952,266047488,24.87,57.463,47.193,1,689.513,0.820,0,0.00,4000.0,6001.4,4851.3,1149.6,344.6,1766.8,308.8,8918.3,0.779,1,0.000,0.006,0.000,0.000,0.000
6,256,189.795,312.178,95.772,242245632,28.66,49.864,44.160,0,692.593,0.820,0,0.00,4000.0,6001.1,4851.0,1149.6,344.8,1767.4,309.4,8916.8,0.868,1,0.000,0.009,0.000,0.000,0.000
7,256,160.792,233.530,87.358,172130304,32.40,43.045,30.389,14,557.892,0.820,0,0.05,4000.0,6001.7,4851.7,1149.6,345.6,1766.2,308.2,8915.3,0.729,1,0.000,0.008,0.000,0.000,0.000
8,256,182.505,321.349,88.774,249851904,35.18,50.928,42.803,1,653.650,0.820,0,0.00,4000.0,5997.8,4847.7,1149.6,348.6,1767.9,309.9,8910.4,0.659,1,0.000,0.007,0.000,0.000,0.000
9,256,208.354,380.853,90.102,311083008,37.26,58.988,59.264,0,765.156,0.820,0,0.00,4000.0,5995.5,4845.5,1149.6,350.1,1767.4,307.8,8910.9,0.760,1,0.000,0.008,0.000,0.000,0.000
10,256,206.559,382.602,90.361,298045440,39.18,58.771,57.428,0,747.276,0.820,0,0.00,4000.0,5995.9,4845.8,1149.6,350.1,1767.4,307.8,8910.9,0.702,1,0.000,0.008,0.000,0.000,0.000
