# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4949 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,510.376,559.446,246.760,460689408,6.44,196.313,67.303,16639,1764.736,-1.000,0,65.00,4949.9,6459.9,5806.5,653.1,339.2,1061.6,195.5,9305.0,0.404,1,0.000,0.011,0.000,0.000,0.000
2,256,258.618,373.080,93.533,315322368,12.99,126.272,38.814,0,915.003,0.824,0,0.00,4949.9,6453.8,5806.4,647.1,340.2,1068.3,210.1,9296.0,5.225,1,0.000,0.007,0.000,0.000,0.000
3,256,278.863,442.762,81.004,365690880,17.85,155.818,42.041,40,965.143,0.824,0,0.16,4949.9,6420.5,5779.2,641.0,367.7,1098.6,244.0,9262.9,5.377,1,0.000,0.007,0.000,0.000,0.000
4,256,208.084,231.487,90.336,174698496,23.46,84.889,32.858,1,727.144,0.824,0,0.00,4949.9,6413.3,5778.1,635.0,367.7,1104.4,257.2,9256.9,0.771,1,0.000,0.005,0.000,0.000,0.000
5,256,265.848,311.468,93.124,242049024,27.67,138.859,33.865,1,884.877,0.824,0,0.00,4949.9,6393.4,5763.7,629.5,383.9,1122.9,284.1,9235.8,4.811,1,0.000,0.007,0.000,0.000,0.000
6,256,188.439,268.889,87.885,202248192,31.55,72.964,27.590,0,650.313,0.824,0,0.00,4949.9,6392.4,5763.2,628.8,383.9,1114.8,278.5,9230.9,0.570,1,0.000,0.007,0.000,0.000,0.000
7,256,148.832,186.534,87.122,142798848,35.29,35.147,26.562,39,524.618,0.824,0,0.15,4949.9,6389.4,5760.4,628.7,385.7,1116.8,280.5,9227.2,0.739,1,0.000,0.007,0.000,0.000,0.000
8,256,165.528,255.656,85.888,204521472,38.16,44.794,34.846,1,576.582,0.824,0,0.00,4949.9,6385.2,5756.2,628.7,389.2,1121.1,284.8,9220.7,0.551,1,0.000,0.007,0.000,0.000,0.000
9,256,178.993,299.091,87.453,241754112,40.47,49.021,42.519,1,648.114,0.824,0,0.00,4949.9,6386.6,5757.6,628.7,389.4,1121.8,285.5,9218.7,0.692,1,0.000,0.008,0.000,0.000,0.000
10,256,185.082,312.810,88.708,255381504,42.45,50.440,45.934,1,680.712,0.820,0,0.00,4949.9,6386.0,5757.0,628.7,389.4,1122.6,286.3,9215.7,0.739,1,0.000,0.009,0.000,0.000,0.000
