# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5187 cache_auto=1 cache_floor_mb=768 cache_ceil_mb=6000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,502.445,628.194,236.130,428691456,6.80,194.375,71.941,17469,1622.692,-1.000,0,68.24,5187.6,6217.3,6012.2,204.7,371.7,700.9,171.3,9159.9,0.419,1,0.000,0.014,0.000,0.000,0.000
2,256,273.209,390.320,95.129,288657408,13.59,138.396,39.684,2,922.173,0.820,0,0.01,5187.6,6216.5,6011.5,204.6,373.4,705.5,178.1,9153.6,1.325,1,0.000,0.007,0.000,0.000,0.000
3,256,326.416,472.034,79.719,347025408,18.56,207.287,39.411,56,1081.475,0.820,0,0.22,5187.6,6195.3,5993.9,200.9,391.0,728.8,215.2,9126.9,0.582,1,0.000,0.005,0.000,0.000,0.000
4,256,224.630,223.720,91.982,161366016,24.23,108.449,24.199,1,742.081,0.820,0,0.00,5187.6,6192.1,5990.8,200.9,393.1,718.4,191.8,9126.1,0.594,1,0.000,0.005,0.000,0.000,0.000
5,256,280.624,329.194,79.297,239382528,28.39,166.657,34.671,1,935.902,0.820,0,0.00,5187.6,6187.1,5988.3,198.3,395.0,723.5,200.1,9119.4,0.615,1,0.000,0.005,0.000,0.000,0.000
6,256,245.757,265.529,82.913,183582720,32.35,139.744,23.100,1,799.645,0.820,0,0.00,5187.6,6185.7,5989.7,195.6,395.8,724.4,207.1,9115.0,0.596,1,0.000,0.006,0.000,0.000,0.000
7,256,216.036,192.758,94.565,137465856,36.07,103.515,17.956,56,700.908,0.820,0,0.22,5187.6,6185.5,5991.7,193.4,392.8,731.6,220.5,9109.9,5.609,1,0.000,0.008,0.000,0.000,0.000
8,256,263.497,271.920,85.955,196521984,38.95,152.637,24.905,1,861.953,0.820,0,0.00,5187.6,6184.6,5990.8,193.3,392.8,740.9,233.1,9098.9,0.525,1,0.000,0.007,0.000,0.000,0.000
9,256,271.479,316.357,83.745,231088128,41.27,154.906,32.829,1,915.094,0.820,0,0.00,5187.6,6182.4,5992.4,189.6,392.8,740.9,239.4,9094.4,0.568,1,0.000,0.006,0.000,0.000,0.000
10,256,295.416,329.234,85.736,242049024,43.28,171.323,38.357,1,957.716,0.820,0,0.00,5187.6,6173.5,5991.9,181.2,392.8,747.6,259.9,9085.7,0.551,1,0.000,0.006,0.000,0.000,0.000
