# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4981 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,473.327,642.943,216.517,455356416,6.50,192.598,64.211,14650,1546.463,-1.000,0,57.23,4981.4,6425.7,5792.6,632.7,386.2,1085.1,278.7,9123.1,0.397,1,0.000,0.007,0.000,0.000,0.000
2,256,272.993,417.271,89.716,312655872,13.08,142.296,40.981,1,887.178,0.820,0,0.00,4981.4,6408.9,5783.8,624.7,392.9,1099.1,299.8,9106.6,5.550,1,0.000,0.005,0.000,0.000,0.000
3,256,247.678,469.637,86.935,365690880,17.93,101.122,59.622,53,841.582,0.820,0,0.21,4981.4,6411.2,5786.1,624.7,391.2,1087.9,286.1,9108.6,5.670,1,0.000,0.008,0.000,0.000,0.000
4,256,156.440,222.786,86.698,172032000,23.55,37.638,32.104,1,565.989,0.820,0,0.00,4981.4,6412.5,5787.5,624.7,391.2,1083.2,280.0,9109.4,1.056,1,0.000,0.007,0.000,0.000,0.000
5,256,184.985,317.049,87.887,242049024,27.75,53.617,43.481,1,642.434,0.820,0,0.00,4981.4,6411.8,5786.8,624.7,391.2,1083.8,280.4,9109.6,0.724,1,0.000,0.007,0.000,0.000,0.000
6,256,166.492,264.662,86.528,199581696,31.64,43.854,36.109,1,595.283,0.820,0,0.00,4981.4,6411.6,5786.6,624.7,391.2,1083.1,279.5,9110.6,0.900,1,0.000,0.007,0.000,0.000,0.000
7,256,152.089,193.826,88.012,142798848,35.38,38.423,25.654,53,525.608,0.820,0,0.21,4981.4,6413.1,5788.0,624.7,391.0,1080.9,277.2,9110.9,0.724,1,0.000,0.008,0.000,0.000,0.000
8,256,169.686,261.433,84.340,201854976,38.26,51.555,33.791,1,598.866,0.820,0,0.00,4981.4,6412.4,5787.4,624.7,391.0,1076.4,272.5,9112.1,0.557,1,0.000,0.007,0.000,0.000,0.000
9,256,181.222,302.032,90.029,239087616,40.58,47.871,43.322,1,649.642,0.820,0,0.00,4981.4,6411.6,5786.6,624.7,391.0,1077.0,272.8,9112.4,0.737,1,0.000,0.008,0.000,0.000,0.000
10,256,191.800,327.312,88.963,255381504,42.55,55.791,47.047,1,684.236,0.820,0,0.00,4981.4,6411.0,5785.9,624.7,391.0,1078.8,274.5,9112.4,0.680,1,0.000,0.009,0.000,0.000,0.000
11,256,151.907,220.422,85.319,166993920,44.77,38.923,27.664,54,535.924,0.820,0,0.21,4981.4,6412.9,5787.8,624.7,390.7,1076.1,271.8,9112.9,0.677,1,0.000,0.008,0.000,0.000,0.000
12,256,199.783,357.320,93.540,282239552,46.19,57.108,49.135,1,712.769,0.820,0,0.00,4981.4,6412.4,5787.3,624.7,390.7,1074.1,269.7,9115.1,0.658,1,0.000,0.009,0.000,0.000,0.000
13,256,176.788,281.729,91.055,214204416,47.79,48.332,37.401,1,626.033,0.820,0,0.00,4981.4,6413.4,5788.3,624.7,390.7,1074.4,270.0,9115.1,0.879,1,0.000,0.008,0.000,0.000,0.000
14,256,242.862,502.982,93.878,411918336,48.35,71.765,77.220,1,896.321,0.820,0,0.00,4981.4,6411.8,5786.8,624.7,390.7,1074.8,270.0,9116.9,0.802,1,0.000,0.009,0.000,0.000,0.000
15,256,154.082,214.929,86.325,163835904,49.93,40.294,27.463,55,546.357,0.820,0,0.21,4981.4,6413.3,5788.2,624.7,390.5,1072.0,267.1,9117.1,0.782,1,0.000,0.008,0.000,0.000,0.000
16,256,130.798,158.106,79.722,126308352,51.53,31.887,19.190,2,465.108,0.820,0,0.01,4981.4,6411.7,5786.6,624.7,390.5,1073.5,268.6,9117.4,0.751,1,0.000,0.006,0.000,0.000,0.000
17,256,144.610,185.737,83.060,152580096,52.90,38.598,22.952,3,499.809,0.820,0,0.01,4981.4,6413.1,5788.0,624.7,390.5,1069.5,263.9,9118.4,0.619,1,0.000,0.007,0.000,0.000,0.000
18,256,174.363,287.284,87.404,225263616,53.88,46.964,39.994,0,626.857,0.820,0,0.00,4981.4,6411.8,5786.7,624.7,390.5,1070.0,264.3,9118.9,0.719,1,0.000,0.008,0.000,0.000,0.000
19,256,137.383,164.364,84.663,128778240,55.15,31.647,21.073,53,492.073,0.820,0,0.21,4981.4,6412.2,5787.2,624.7,390.2,1070.2,264.5,9120.2,0.694,1,0.000,0.008,0.000,0.000,0.000
20,256,125.644,129.468,80.717,101621760,56.41,30.243,14.684,2,443.756,0.820,0,0.01,4981.4,6411.9,5786.8,624.7,390.2,1069.2,263.5,9120.2,0.577,1,0.000,0.006,0.000,0.000,0.000
21,256,122.413,126.622,77.075,101720064,57.59,30.244,15.094,1,427.763,0.820,0,0.00,4981.4,6412.3,5787.2,624.7,390.2,1069.7,264.0,9120.4,0.537,1,0.000,0.005,0.000,0.000,0.000
22,256,119.881,123.255,76.841,93917184,58.71,29.743,13.298,0,414.239,0.820,0,0.00,4981.4,6412.1,5787.0,624.7,390.2,1058.3,243.4,9123.0,0.591,1,0.000,0.005,0.000,0.000,0.000
23,256,159.019,137.037,99.427,104189952,59.73,43.768,15.824,54,529.198,0.820,0,0.21,4981.4,6408.8,5787.1,621.3,390.1,1066.3,221.8,9124.2,0.516,1,0.000,0.006,0.000,0.000,0.000
24,256,171.376,71.075,114.288,45723648,60.86,50.416,6.672,1,560.545,0.820,0,0.00,4981.4,6399.0,5787.6,611.0,390.1,1069.6,237.5,9120.5,0.560,1,0.000,0.005,0.000,0.000,0.000
25,256,202.410,136.894,98.911,96387072,61.78,91.237,12.263,0,629.767,0.820,0,0.00,4981.4,6391.4,5787.5,603.5,390.1,1077.3,253.1,9116.0,0.631,1,0.000,0.005,0.000,0.000,0.000
26,256,208.447,169.166,101.654,125718528,62.55,90.013,16.781,0,688.660,0.820,0,0.00,4981.4,6385.7,5786.7,598.7,390.3,1087.5,270.2,9104.0,0.526,1,0.000,0.006,0.000,0.000,0.000
27,256,183.464,101.013,103.175,70017024,63.43,70.990,9.299,55,588.072,0.820,0,0.21,4981.4,6376.1,5786.2,589.5,391.2,1089.4,284.3,9100.5,0.544,1,0.000,0.005,0.000,0.000,0.000
28,256,149.212,98.178,98.990,69525504,64.27,36.932,13.291,1,493.804,0.820,0,0.00,4981.4,6376.5,5786.5,589.5,391.2,1079.9,277.3,9098.7,0.555,1,0.000,0.006,0.000,0.000,0.000
29,256,100.408,65.970,75.362,45428736,65.13,16.718,8.328,0,359.006,0.820,0,0.00,4981.4,6376.3,5786.5,589.4,391.2,1081.0,276.7,9098.0,0.657,1,0.000,0.005,0.000,0.000,0.000
30,256,105.551,54.891,83.142,40390656,65.95,15.505,6.903,2,380.991,0.820,0,0.01,4981.4,6375.0,5785.7,588.9,391.2,1084.0,279.7,9100.0,0.551,1,0.000,0.004,0.000,0.000,0.000
31,256,214.267,77.656,109.980,53526528,66.70,94.993,9.294,54,676.758,0.820,0,0.21,4981.4,6362.8,5788.3,574.2,391.1,1074.7,288.9,9118.2,0.612,1,0.000,0.014,0.000,0.000,0.000
32,256,89.822,39.755,73.008,26861568,67.47,12.504,4.309,1,321.124,0.820,0,0.00,4981.4,6360.6,5786.1,574.2,391.1,1067.2,281.4,9118.5,4.614,1,0.000,0.005,0.000,0.000,0.000
33,256,202.236,366.553,89.612,286396416,67.59,62.229,50.396,0,721.301,0.820,0,0.00,4981.4,6362.4,5787.8,574.2,391.1,1066.2,280.4,9117.0,0.587,1,0.000,0.008,0.000,0.000,0.000
34,256,165.383,242.360,87.762,190894080,67.92,43.762,33.858,1,581.655,0.820,0,0.00,4981.4,6362.6,5788.1,574.2,391.0,1065.4,279.6,9115.2,0.896,1,0.000,0.008,0.000,0.000,0.000
35,256,193.799,354.729,90.336,286396416,68.02,53.381,50.081,53,700.796,0.820,0,0.21,4981.4,6362.1,5787.5,574.2,390.8,1067.7,281.8,9113.0,0.849,1,0.000,0.009,0.000,0.000,0.000
36,256,124.787,123.981,81.323,88977408,68.56,29.447,14.016,2,431.137,0.820,0,0.01,4981.4,6362.4,5787.8,574.2,390.8,1067.7,281.8,9112.2,0.664,1,0.000,0.006,0.000,0.000,0.000
37,256,121.298,123.303,78.610,88780800,69.07,27.953,14.734,1,416.089,0.820,0,0.00,4981.4,6362.6,5788.1,574.2,390.8,1068.8,282.9,9111.1,0.563,1,0.000,0.006,0.000,0.000,0.000
38,256,132.841,153.985,81.634,121171968,69.49,32.737,18.470,1,458.943,0.820,0,0.00,4981.4,6361.1,5786.6,574.2,390.7,1069.6,283.7,9110.1,0.623,1,0.000,0.006,0.000,0.000,0.000
39,256,116.295,110.856,77.917,80388096,69.98,25.750,12.629,52,404.423,0.820,0,0.20,4981.4,6361.1,5786.5,574.2,390.7,1070.4,284.5,9108.9,0.614,1,0.000,0.006,0.000,0.000,0.000
40,256,130.658,148.170,76.453,118112256,70.37,36.879,17.326,0,443.365,0.820,0,0.00,4981.4,6361.0,5786.4,574.2,390.7,1064.1,278.1,9107.6,0.565,1,0.000,0.005,0.000,0.000,0.000
41,256,126.622,138.904,78.613,110309376,70.76,31.431,16.578,1,443.232,0.820,0,0.00,4981.4,6360.9,5786.3,574.2,390.7,1063.2,277.2,9106.9,0.515,1,0.000,0.006,0.000,0.000,0.000
42,256,87.635,32.211,74.363,18763776,71.31,8.686,4.586,0,327.415,0.820,0,0.00,4981.4,6361.1,5786.5,574.2,390.7,1063.1,276.7,9105.9,0.547,1,0.000,0.005,0.000,0.000,0.000
43,256,130.332,138.188,82.044,102113280,71.68,33.371,14.917,54,449.763,0.820,0,0.21,4981.4,6361.1,5786.6,574.2,390.5,1062.5,276.1,9107.1,0.526,1,0.000,0.006,0.000,0.000,0.000
44,256,127.319,143.671,80.142,112582656,72.02,31.290,15.887,1,445.040,0.820,0,0.00,4981.4,6363.4,5788.8,574.2,390.5,1059.9,273.4,9105.6,0.539,1,0.000,0.005,0.000,0.000,0.000
45,256,119.681,111.594,78.376,83447808,72.39,27.225,14.081,2,414.447,0.820,0,0.01,4981.4,6361.2,5786.6,574.2,390.5,1063.3,276.8,9103.9,0.525,1,0.000,0.006,0.000,0.000,0.000
46,256,124.555,135.860,76.865,104976384,72.72,32.593,15.097,0,423.546,0.820,0,0.00,4981.4,6359.2,5784.7,574.2,392.2,1065.5,279.0,9100.4,0.544,1,0.000,0.006,0.000,0.000,0.000
47,256,125.245,135.946,78.855,99446784,73.04,30.610,15.780,54,440.354,0.820,0,0.21,4981.4,6359.0,5784.4,574.2,392.8,1066.7,280.2,9098.4,0.509,1,0.000,0.006,0.000,0.000,0.000
48,256,96.133,55.185,74.841,37724160,73.46,15.468,5.824,2,342.437,0.820,0,0.01,4981.4,6359.4,5784.8,574.2,392.8,1067.6,281.2,9097.9,0.565,1,0.000,0.005,0.000,0.000,0.000
49,256,119.038,117.964,78.212,86212608,73.78,28.584,12.242,0,410.855,0.820,0,0.00,4981.4,6358.1,5783.5,574.2,394.6,1067.8,281.3,9094.9,0.583,1,0.000,0.006,0.000,0.000,0.000
50,256,100.792,67.717,74.909,45723648,74.16,18.020,7.863,4,353.179,0.820,0,0.02,4981.4,6356.8,5782.3,574.2,396.1,1065.8,277.1,9093.4,0.553,1,0.000,0.006,0.000,0.000,0.000
51,256,113.791,105.110,78.244,80781312,74.47,23.986,11.560,53,407.605,0.820,0,0.21,4981.4,6357.3,5782.7,574.2,395.8,1065.9,277.2,9093.9,0.539,1,0.000,0.005,0.000,0.000,0.000
52,256,88.594,36.941,73.793,24195072,74.86,10.662,4.139,2,322.945,0.820,0,0.01,4981.4,6356.9,5782.4,574.2,395.8,1066.1,277.4,9093.9,0.510,1,0.000,0.004,0.000,0.000,0.000
53,256,98.078,50.443,77.574,34664448,75.22,14.300,6.204,1,339.503,0.820,0,0.00,4981.4,6357.0,5782.5,574.2,395.8,1062.5,273.8,9097.4,0.511,1,0.000,0.005,0.000,0.000,0.000
54,256,78.197,8.582,73.718,5332992,75.61,2.507,1.972,1,300.114,0.820,0,0.00,4981.4,6357.0,5782.5,574.2,395.8,1062.2,273.5,9097.6,0.543,1,0.000,0.005,0.000,0.000,0.000
55,256,112.288,92.212,76.676,69820416,75.89,24.838,10.774,54,384.433,0.820,0,0.21,4981.4,6357.8,5783.2,574.2,395.6,1062.8,274.1,9097.9,0.546,1,0.000,0.006,0.000,0.000,0.000
56,256,113.122,102.226,77.677,80584704,76.15,23.732,11.713,2,409.750,0.820,0,0.01,4981.4,6355.8,5781.2,574.2,395.6,1063.3,274.6,9098.1,0.619,1,0.000,0.006,0.000,0.000,0.000
57,256,108.297,82.978,76.814,62115840,76.42,22.156,9.327,1,376.582,0.820,0,0.00,4981.4,6356.3,5781.7,574.2,395.6,1062.9,274.2,9098.1,0.542,1,0.000,0.006,0.000,0.000,0.000
58,256,96.488,60.012,74.109,42762240,76.72,15.235,7.144,1,345.256,0.820,0,0.00,4981.4,6355.7,5781.2,574.2,395.6,1063.1,274.4,9098.4,0.508,1,0.000,0.005,0.000,0.000,0.000
59,256,143.368,183.009,83.223,139739136,76.87,38.374,21.771,54,493.744,0.820,0,0.21,4981.4,6357.1,5782.5,574.2,395.3,1062.5,273.7,9099.1,0.607,1,0.000,0.007,0.000,0.000,0.000
60,256,111.742,100.920,75.501,77721600,77.10,24.974,11.267,1,387.668,0.820,0,0.00,4981.4,6357.4,5782.9,574.2,395.3,1060.8,272.0,9099.4,0.645,1,0.000,0.005,0.000,0.000,0.000
61,256,122.279,130.434,78.013,109326336,77.28,28.659,15.607,0,439.457,0.820,0,0.00,4981.4,6357.3,5782.7,574.2,395.3,1060.3,271.6,9099.4,0.606,1,0.000,0.006,0.000,0.000,0.000
62,256,89.950,42.791,73.539,32096256,77.56,11.653,4.758,0,336.007,0.820,0,0.00,4981.4,6357.4,5782.8,574.2,395.3,1059.9,271.2,9099.6,0.550,1,0.000,0.005,0.000,0.000,0.000
63,256,162.234,259.432,82.427,206106624,77.59,46.075,33.732,53,561.373,0.820,0,0.21,4981.4,6356.7,5782.2,574.2,395.2,1060.1,271.3,9099.9,0.537,1,0.000,0.006,0.000,0.000,0.000
64,256,88.705,32.432,74.899,21528576,77.87,9.681,4.125,0,326.176,0.820,0,0.00,4981.4,6356.3,5781.7,574.2,395.2,1061.2,272.4,9100.1,0.670,1,0.000,0.005,0.000,0.000,0.000
65,256,89.553,41.177,73.573,26959872,78.14,11.502,4.479,0,322.218,0.820,0,0.00,4981.4,6356.8,5782.2,574.2,395.2,1060.2,271.4,9100.1,0.532,1,0.000,0.005,0.000,0.000,0.000
66,256,97.354,64.633,74.312,42663936,78.38,15.794,7.249,1,355.955,0.820,0,0.00,4981.4,6356.5,5781.9,574.2,395.2,1061.9,273.1,9100.1,0.509,1,0.000,0.005,0.000,0.000,0.000
67,256,105.986,83.710,75.582,67055616,78.59,21.018,9.386,94,369.364,0.820,0,0.37,4981.4,6356.6,5782.1,574.2,394.8,1061.2,272.0,9100.6,0.575,1,0.000,0.005,0.000,0.000,0.000
68,256,122.630,123.537,79.053,99053568,78.74,29.569,14.009,2,426.131,0.820,0,0.01,4981.4,6358.7,5784.1,574.2,394.7,1058.1,269.0,9100.9,0.540,1,0.000,0.006,0.000,0.000,0.000
69,256,176.534,291.445,86.988,225951744,78.73,48.808,40.737,0,629.107,0.820,0,0.00,4981.4,6358.3,5783.8,574.2,394.7,1058.1,269.0,9101.1,0.567,1,0.000,0.008,0.000,0.000,0.000
70,256,88.995,44.687,74.081,29626368,78.97,10.403,4.510,2,326.882,0.820,0,0.01,4981.4,6358.1,5783.5,574.2,394.7,1057.1,268.0,9101.1,0.517,1,0.000,0.005,0.000,0.000,0.000
71,256,123.350,129.231,78.797,96583680,79.12,30.741,13.812,95,423.772,0.820,0,0.37,4981.4,6358.8,5784.2,574.2,394.3,1058.4,269.3,9101.6,0.541,1,0.000,0.007,0.000,0.000,0.000
72,256,113.008,99.503,76.387,80289792,79.28,25.177,11.444,0,390.028,0.820,0,0.00,4981.4,6358.4,5783.8,574.2,394.3,1056.9,267.8,9101.6,0.619,1,0.000,0.006,0.000,0.000,0.000
73,256,140.198,160.942,86.233,120680448,79.39,35.844,18.120,0,481.770,0.820,0,0.00,4981.4,6357.9,5783.3,574.2,394.3,1059.2,270.1,9101.9,0.508,1,0.000,0.007,0.000,0.000,0.000
74,256,135.653,168.908,80.722,133914624,79.49,33.641,21.290,1,480.032,0.820,0,0.00,4981.4,6357.7,5783.2,574.2,394.3,1057.8,268.6,9102.1,0.581,1,0.000,0.007,0.000,0.000,0.000
75,256,99.745,62.792,75.760,51056640,79.68,16.462,7.524,95,348.125,0.820,0,0.37,4981.4,6358.1,5783.5,574.2,394.0,1056.7,267.5,9102.6,0.640,1,0.000,0.005,0.000,0.000,0.000
76,256,85.343,28.438,73.815,21528576,79.89,7.727,3.801,0,317.902,0.820,0,0.00,4981.4,6358.4,5783.8,574.2,394.0,1057.1,268.0,9102.6,0.560,1,0.000,0.005,0.000,0.000,0.000
77,256,98.315,60.588,74.468,43057152,80.08,16.365,7.483,1,354.996,0.820,0,0.00,4981.4,6358.7,5784.2,574.2,394.0,1056.4,267.3,9102.6,0.507,1,0.000,0.005,0.000,0.000,0.000
