# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4949 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,417.929,595.335,190.879,460689408,6.44,152.279,74.771,15026,1488.295,-1.000,0,58.70,4949.7,6477.5,5781.0,696.2,365.1,1077.0,256.5,9053.5,0.399,1,0.000,0.012,0.000,0.000,0.000
2,256,279.879,417.505,97.303,328654848,13.05,130.218,52.358,18,962.131,0.820,0,0.07,4949.7,6464.6,5779.3,685.1,367.6,1087.7,286.6,9043.9,6.284,1,0.000,0.007,0.000,0.000,0.000
3,256,266.239,479.685,80.596,386134016,17.93,130.533,55.110,51,942.814,0.820,0,0.20,4949.7,6453.8,5768.5,685.1,379.1,1089.6,290.4,9026.7,0.561,1,0.000,0.006,0.000,0.000,0.000
4,256,155.144,236.967,85.548,184475648,23.55,37.680,31.916,1,557.169,0.820,0,0.00,4949.7,6451.2,5765.9,685.1,380.2,1090.0,290.5,9024.2,0.755,1,0.000,0.006,0.000,0.000,0.000
5,256,180.823,310.757,86.930,247382016,27.82,50.003,43.890,15,654.882,0.820,0,0.06,4949.7,6450.1,5764.8,685.1,380.9,1088.2,282.2,9023.9,0.685,1,0.000,0.008,0.000,0.000,0.000
6,256,171.739,287.233,88.298,229011456,31.84,37.731,45.710,2,651.335,0.820,0,0.01,4949.7,6451.4,5766.0,685.1,381.6,1084.1,278.1,9021.7,0.768,1,0.000,0.007,0.000,0.000,0.000
7,256,145.751,202.005,83.814,156131328,35.64,33.914,28.023,637,542.259,0.820,0,2.49,4949.7,6451.0,5765.7,685.1,380.9,1083.0,276.9,9022.2,0.606,1,0.000,0.006,0.000,0.000,0.000
8,256,168.713,277.154,83.501,225853440,38.58,44.799,40.412,1,620.049,0.820,0,0.00,4949.7,6447.4,5762.0,685.1,384.0,1080.1,272.7,9018.4,0.520,1,0.000,0.007,0.000,0.000,0.000
9,256,201.553,316.757,86.495,251531264,40.96,69.266,45.792,640,724.933,0.820,0,2.50,4949.7,6444.2,5758.9,685.1,388.7,1079.8,267.2,9011.2,0.575,1,0.000,0.007,0.000,0.000,0.000
10,256,191.781,334.775,89.192,268713984,42.91,52.507,50.082,0,708.879,0.820,0,0.00,4949.7,6442.7,5757.4,685.1,389.6,1082.2,269.6,9008.7,0.633,1,0.000,0.008,0.000,0.000,0.000
11,256,155.251,244.651,84.061,193658880,45.12,36.841,34.349,50,572.795,0.820,0,0.20,4949.7,6438.5,5753.1,685.1,392.9,1085.9,272.3,9002.9,0.695,1,0.000,0.007,0.000,0.000,0.000
12,256,202.480,380.592,90.397,305349184,46.48,58.782,53.302,1,725.194,0.820,0,0.00,4949.7,6437.6,5752.3,685.1,393.2,1086.5,272.8,8999.7,0.571,1,0.000,0.008,0.000,0.000,0.000
13,256,171.025,292.571,83.224,236621824,48.13,43.768,44.033,1,625.068,0.820,0,0.00,4949.7,6438.3,5753.0,685.1,393.2,1081.7,267.0,9000.7,0.956,1,0.000,0.007,0.000,0.000,0.000
14,256,240.154,499.178,93.046,409251840,48.70,72.100,75.008,1,883.370,0.820,0,0.00,4949.7,6439.6,5754.2,685.1,393.2,1079.2,262.2,9001.4,0.720,1,0.000,0.008,0.000,0.000,0.000
15,256,155.529,243.818,83.582,195833856,50.30,35.497,36.450,50,576.775,0.820,0,0.20,4949.7,6438.3,5753.0,685.1,393.0,1078.6,261.6,9001.7,0.745,1,0.000,0.006,0.000,0.000,0.000
16,256,134.788,194.221,77.368,162848768,51.90,32.600,24.820,0,482.331,0.820,0,0.00,4949.7,6437.6,5752.2,685.1,393.0,1078.2,261.2,9002.2,0.755,1,0.000,0.006,0.000,0.000,0.000
17,256,140.143,192.248,81.394,160579584,53.28,34.985,23.765,2,504.893,0.820,0,0.01,4949.7,6440.8,5755.4,685.1,390.5,1077.8,260.8,9004.6,0.600,1,0.000,0.006,0.000,0.000,0.000
18,256,172.827,275.901,87.995,219930624,54.28,49.341,35.491,0,616.418,0.820,0,0.00,4949.7,6441.3,5755.9,685.1,390.5,1069.8,249.3,9010.1,0.597,1,0.000,0.007,0.000,0.000,0.000
19,256,137.824,203.169,79.725,166207488,55.57,30.319,27.779,51,518.510,0.820,0,0.20,4949.7,6441.8,5756.4,685.1,390.4,1065.9,242.9,9012.4,0.605,1,0.000,0.006,0.000,0.000,0.000
20,256,128.714,174.060,76.567,144580608,56.81,28.793,23.354,1,471.953,0.820,0,0.00,4949.7,6442.3,5756.9,685.1,390.4,1060.4,235.8,9016.9,0.557,1,0.000,0.005,0.000,0.000,0.000
21,256,123.917,156.196,76.368,128483328,57.98,28.136,19.413,1,453.394,0.820,0,0.00,4949.7,6441.7,5756.3,685.1,390.4,1058.7,234.1,9017.1,0.511,1,0.000,0.005,0.000,0.000,0.000
22,256,120.257,153.396,75.400,123248640,59.10,25.472,19.385,0,443.476,0.820,0,0.00,4949.7,6442.2,5756.8,685.1,390.4,1057.5,232.9,9017.6,0.506,1,0.000,0.005,0.000,0.000,0.000
23,256,130.361,175.434,77.253,141815808,60.10,28.850,24.258,50,481.427,0.820,0,0.20,4949.7,6442.2,5756.8,685.1,390.1,1055.8,231.2,9017.9,0.502,1,0.000,0.006,0.000,0.000,0.000
24,256,104.735,105.682,76.486,83054592,61.24,11.793,16.455,1,407.237,0.820,0,0.00,4949.7,6442.6,5757.2,685.1,390.1,1054.4,229.8,9017.9,0.528,1,0.000,0.006,0.000,0.000,0.000
25,256,121.398,140.825,78.418,120483840,62.15,26.239,16.741,0,451.230,0.820,0,0.00,4949.7,6441.9,5756.5,685.1,390.1,1054.0,229.3,9018.1,0.566,1,0.000,0.005,0.000,0.000,0.000
26,256,134.155,177.469,80.502,144580608,62.94,30.950,22.703,0,483.554,0.820,0,0.00,4949.7,6442.0,5756.6,685.1,390.1,1052.7,228.0,9018.4,0.528,1,0.000,0.008,0.000,0.000,0.000
27,256,115.187,122.538,77.907,99545088,63.81,20.436,16.845,52,419.699,0.820,0,0.20,4949.7,6442.7,5757.3,685.1,389.9,1050.1,220.7,9020.1,0.607,1,0.000,0.006,0.000,0.000,0.000
28,256,120.181,145.744,77.883,114163712,64.63,21.018,21.280,1,462.515,0.820,0,0.00,4949.7,6443.0,5757.6,685.1,389.9,1050.4,221.0,9020.4,0.505,1,0.000,0.006,0.000,0.000,0.000
29,256,102.019,96.655,75.241,77426688,65.48,10.443,16.334,0,398.424,0.820,0,0.00,4949.7,6441.9,5756.6,685.1,389.9,1049.3,219.9,9020.6,0.565,1,0.000,0.006,0.000,0.000,0.000
30,256,101.333,90.914,76.051,74264576,66.30,11.351,13.931,1,404.341,0.820,0,0.00,4949.7,6442.0,5756.6,685.1,389.9,1047.5,218.1,9020.6,0.507,1,0.000,0.005,0.000,0.000,0.000
31,256,106.247,105.023,75.739,92930048,67.05,12.271,18.237,50,411.021,0.820,0,0.20,4949.7,6442.4,5757.0,685.1,389.7,1045.2,215.8,9020.9,0.504,1,0.000,0.006,0.000,0.000,0.000
32,256,95.316,63.156,76.077,46514176,67.81,8.784,10.456,0,374.820,0.820,0,0.00,4949.7,6442.2,5756.8,685.1,389.7,1044.8,215.3,9021.1,0.505,1,0.000,0.005,0.000,0.000,0.000
33,256,199.643,384.918,87.225,302493696,67.93,58.482,53.936,1,722.181,0.820,0,0.00,4949.7,6441.6,5756.2,685.1,389.7,1043.8,214.4,9021.1,0.568,1,0.000,0.007,0.000,0.000,0.000
34,256,167.451,250.008,90.033,204128256,68.27,39.626,37.792,1,615.083,0.820,0,0.00,4949.7,6438.3,5756.9,681.2,389.7,1086.8,261.5,9020.2,0.880,1,0.000,0.007,0.000,0.000,0.000
35,256,265.019,384.559,81.324,299728896,68.33,149.324,34.371,50,895.666,0.820,0,0.20,4949.7,6435.6,5758.1,677.2,389.5,1097.8,277.6,9008.7,0.731,1,0.000,0.005,0.000,0.000,0.000
36,256,138.678,199.673,78.710,163639296,68.79,30.458,29.510,1,521.376,0.820,0,0.00,4949.7,6433.4,5756.0,677.2,389.7,1100.0,279.8,9007.7,0.651,1,0.000,0.005,0.000,0.000,0.000
37,256,118.879,134.156,78.773,107544576,69.34,20.738,19.368,1,452.613,0.820,0,0.00,4949.7,6433.6,5756.2,677.2,390.4,1097.9,277.7,9006.2,0.552,1,0.000,0.005,0.000,0.000,0.000
38,256,136.658,185.828,79.603,150503424,69.77,31.770,25.285,1,495.300,0.820,0,0.00,4949.7,6433.2,5755.7,677.2,391.1,1096.8,275.7,9005.7,0.553,1,0.000,0.006,0.000,0.000,0.000
39,256,122.451,159.192,78.753,126902272,70.25,21.054,22.643,50,471.527,0.820,0,0.20,4949.7,6431.9,5754.4,677.2,391.9,1094.2,272.9,9003.2,0.606,1,0.000,0.005,0.000,0.000,0.000
40,256,132.242,182.777,79.198,152875008,70.63,29.976,23.068,0,489.852,0.820,0,0.00,4949.7,6431.8,5754.4,677.2,391.9,1093.5,272.3,9002.4,0.589,1,0.000,0.006,0.000,0.000,0.000
41,256,122.381,135.751,79.993,115642368,71.06,24.584,17.805,1,463.004,0.820,0,0.00,4949.7,6432.1,5754.6,677.2,391.9,1093.1,271.8,9000.7,0.509,1,0.000,0.006,0.000,0.000,0.000
42,256,94.477,56.263,78.200,42860544,71.60,6.692,9.585,0,370.047,0.820,0,0.00,4949.7,6431.9,5754.4,677.2,392.0,1094.9,273.5,8999.2,0.547,1,0.000,0.006,0.000,0.000,0.000
43,256,121.304,136.073,80.671,110903296,71.99,23.830,16.802,51,461.794,0.820,0,0.20,4949.7,6431.8,5754.3,677.2,391.9,1095.5,274.1,8998.2,0.524,1,0.000,0.006,0.000,0.000,0.000
44,256,133.851,184.144,79.440,151887872,72.30,31.750,22.661,1,484.693,0.820,0,0.00,4949.7,6431.3,5753.8,677.2,392.6,1093.6,272.2,8996.2,0.508,1,0.000,0.006,0.000,0.000,0.000
45,256,120.848,125.256,79.798,101224448,72.69,22.280,18.770,2,458.782,0.820,0,0.01,4949.7,6430.0,5752.6,677.2,392.9,1093.4,272.0,8994.4,0.514,1,0.000,0.006,0.000,0.000,0.000
46,256,129.593,162.953,80.742,131739648,73.02,27.569,21.282,0,470.918,0.820,0,0.00,4949.7,6431.2,5753.7,677.2,392.9,1091.7,270.3,8993.7,0.544,1,0.000,0.009,0.000,0.000,0.000
47,256,127.098,153.897,80.952,123838464,73.35,25.214,20.932,50,478.635,0.820,0,0.20,4949.7,6431.7,5754.3,677.2,392.7,1090.3,268.8,8993.7,0.509,1,0.000,0.006,0.000,0.000,0.000
48,256,100.082,66.711,79.794,53821440,73.78,10.272,10.017,1,391.991,0.820,0,0.00,4949.7,6432.1,5754.6,677.2,392.7,1088.9,267.6,8992.9,0.569,1,0.000,0.006,0.000,0.000,0.000
49,256,120.193,132.013,80.227,105074688,74.11,22.647,17.318,0,448.178,0.820,0,0.00,4949.7,6430.4,5753.0,677.2,392.7,1088.7,267.3,8992.2,0.571,1,0.000,0.006,0.000,0.000,0.000
50,256,113.077,107.932,79.976,79597568,74.48,15.467,17.633,1,426.129,0.820,0,0.00,4949.7,6432.3,5754.8,677.2,392.7,1086.6,250.8,8993.2,0.525,1,0.000,0.006,0.000,0.000,0.000
51,256,117.881,125.351,80.798,96780288,74.79,22.556,14.527,49,434.381,0.820,0,0.19,4949.7,6430.8,5753.4,677.2,392.5,1086.9,248.0,8993.2,0.542,1,0.000,0.006,0.000,0.000,0.000
52,256,93.510,55.045,77.763,43057152,75.17,8.400,7.347,2,363.447,0.820,0,0.01,4949.7,6430.5,5753.0,677.2,393.0,1087.4,248.4,8992.4,0.524,1,0.000,0.005,0.000,0.000,0.000
53,256,101.094,77.271,77.453,58761216,75.53,10.719,12.923,1,390.705,0.820,0,0.00,4949.7,6429.1,5751.6,677.2,394.4,1086.5,247.6,8990.4,0.508,1,0.000,0.005,0.000,0.000,0.000
54,256,88.158,30.544,79.693,21528576,75.92,1.537,6.928,1,360.530,0.820,0,0.00,4949.7,6428.9,5751.5,677.2,394.5,1086.0,247.0,8988.9,0.522,1,0.000,0.006,0.000,0.000,0.000
55,256,113.443,108.389,78.843,85028864,76.21,19.187,15.413,50,419.487,0.820,0,0.20,4949.7,6429.6,5752.1,677.2,394.2,1083.5,244.5,8988.4,0.547,1,0.000,0.005,0.000,0.000,0.000
56,256,118.874,131.316,77.002,107446272,76.46,24.253,17.620,2,441.696,0.820,0,0.01,4949.7,6430.5,5753.0,677.2,393.5,1084.0,245.1,8989.0,0.542,1,0.000,0.005,0.000,0.000,0.000
57,256,118.985,107.898,83.186,88780800,76.74,21.087,14.712,1,446.426,0.820,0,0.00,4949.7,6431.0,5753.5,677.2,393.5,1083.0,227.1,8990.0,0.542,1,0.000,0.005,0.000,0.000,0.000
58,256,104.349,99.894,76.809,76636160,77.03,11.379,16.161,1,408.022,0.820,0,0.00,4949.7,6430.9,5753.5,677.2,393.5,1080.8,224.9,8991.2,0.509,1,0.000,0.005,0.000,0.000,0.000
59,256,176.110,211.732,84.884,166404096,77.18,48.583,42.643,371,598.959,0.820,0,1.45,4949.7,6430.9,5753.4,677.2,392.3,1071.5,214.6,9011.9,0.572,1,0.000,0.006,0.000,0.000,0.000
60,256,122.386,145.158,78.533,115052544,77.41,23.624,20.229,1,459.072,0.820,0,0.00,4949.7,6431.3,5753.8,677.2,392.4,1070.2,213.4,9009.7,0.542,1,0.000,0.006,0.000,0.000,0.000
61,256,135.002,176.597,81.055,143298560,77.57,28.329,25.618,1,503.983,0.820,0,0.00,4949.7,6428.9,5751.5,677.2,394.6,1069.5,212.6,9007.2,0.609,1,0.000,0.006,0.000,0.000,0.000
62,256,162.729,71.431,114.714,59056128,77.85,17.776,30.238,0,583.586,0.820,0,0.00,4949.7,6418.9,5749.4,669.2,396.6,1097.8,236.8,9015.4,0.660,1,0.000,0.006,0.000,0.000,0.000
63,256,242.958,275.341,117.427,219537408,77.90,87.567,37.964,692,846.195,0.820,0,2.70,4949.7,6405.8,5751.8,653.8,395.1,1102.0,258.7,9013.5,0.533,1,0.000,0.007,0.000,0.000,0.000
64,256,169.798,55.422,128.405,37625856,78.19,16.152,25.241,0,589.762,0.820,0,0.00,4949.7,6399.7,5746.5,652.9,400.6,1104.1,263.4,9005.2,0.576,1,0.000,0.006,0.000,0.000,0.000
65,256,181.141,67.335,130.300,43057152,78.45,23.979,26.863,0,632.584,0.820,0,0.00,4949.7,6387.9,5741.5,646.1,405.2,1105.7,272.1,8998.5,0.531,1,0.000,0.006,0.000,0.000,0.000
66,256,176.799,96.486,117.859,64192512,78.70,25.728,33.211,1,616.580,0.820,0,0.00,4949.7,6371.4,5740.9,630.2,405.2,1108.8,293.5,8994.8,0.515,1,0.000,0.007,0.000,0.000,0.000
67,256,177.806,105.058,118.104,75153408,78.91,36.375,23.326,599,627.102,0.820,0,2.34,4949.7,6369.0,5738.5,630.2,407.6,1110.5,295.2,8988.5,0.728,1,0.000,0.005,0.000,0.000,0.000
68,256,219.489,197.788,98.329,150208512,79.06,66.319,54.842,2,753.348,0.820,0,0.01,4949.7,6361.7,5731.2,630.2,414.6,1112.6,296.3,8979.9,4.616,1,0.000,0.005,0.000,0.000,0.000
69,256,198.323,306.786,79.841,246394880,79.05,79.605,38.877,642,706.158,0.820,0,2.51,4949.7,6370.1,5739.7,630.1,405.9,1103.8,292.5,8985.5,0.597,1,0.000,0.006,0.000,0.000,0.000
70,256,96.988,67.629,77.677,53723136,79.28,8.655,10.656,2,393.980,0.820,0,0.01,4949.7,6369.0,5738.6,630.1,407.2,1093.6,282.2,8983.5,0.601,1,0.000,0.006,0.000,0.000,0.000
71,256,131.108,163.052,78.482,128778240,79.41,32.266,20.360,738,470.746,0.820,0,2.88,4949.7,6369.5,5739.2,630.1,406.5,1096.0,284.8,8983.5,0.596,1,0.000,0.006,0.000,0.000,0.000
72,256,119.981,134.781,78.608,112582656,79.58,21.917,19.456,0,449.967,0.820,0,0.00,4949.7,6368.8,5738.4,630.1,406.7,1095.3,284.1,8981.5,0.580,1,0.000,0.006,0.000,0.000,0.000
73,256,132.384,177.857,79.404,144777216,79.70,29.331,23.649,1,486.029,0.820,0,0.00,4949.7,6371.8,5741.4,630.1,406.2,1091.6,280.4,8981.1,0.514,1,0.000,0.006,0.000,0.000,0.000
74,256,135.956,185.114,79.809,154456064,79.79,31.079,25.068,1,502.489,0.820,0,0.00,4949.7,6370.6,5740.2,630.1,405.2,1092.7,281.5,8979.6,0.555,1,0.000,0.005,0.000,0.000,0.000
75,256,114.988,125.907,78.696,100929536,79.97,17.393,18.900,85,441.620,0.820,0,0.33,4949.7,6370.9,5740.6,630.1,407.1,1085.1,272.6,8979.9,0.604,1,0.000,0.005,0.000,0.000,0.000
76,256,93.389,51.061,78.032,42860544,80.18,6.617,8.741,0,368.939,0.820,0,0.00,4949.7,6370.0,5739.7,630.1,407.7,1084.3,271.3,8977.9,0.575,1,0.000,0.006,0.000,0.000,0.000
77,256,101.923,83.674,76.613,66265088,80.37,12.247,13.063,1,387.523,0.820,0,0.00,4949.7,6368.6,5738.2,630.1,409.4,1083.4,270.4,8975.9,0.526,1,0.000,0.005,0.000,0.000,0.000
78,256,101.265,72.148,77.543,61526016,80.55,13.384,10.339,0,394.904,0.820,0,0.00,4949.7,6366.2,5735.9,630.1,411.8,1081.1,264.7,8974.2,0.567,1,0.000,0.006,0.000,0.000,0.000
79,256,90.467,37.860,78.330,26959872,80.76,4.949,7.187,88,354.752,0.820,0,0.34,4949.7,6366.3,5736.0,630.1,409.2,1083.4,267.0,8975.2,0.509,1,0.000,0.006,0.000,0.000,0.000
80,256,123.341,137.661,79.531,112975872,80.90,24.218,19.593,650,456.662,0.820,0,2.54,4949.7,6369.0,5738.6,630.1,406.8,1074.8,256.2,8981.4,0.502,1,0.000,0.006,0.000,0.000,0.000
81,256,236.339,477.055,91.741,385351680,80.69,71.169,73.430,2,862.165,0.820,0,0.01,4949.7,6379.8,5749.4,630.1,397.5,1073.5,254.9,8988.4,0.512,1,0.000,0.007,0.000,0.000,0.000
82,256,149.252,215.218,85.839,174600192,80.75,28.042,35.371,5,571.969,0.820,0,0.02,4949.7,6387.6,5757.2,630.1,388.4,1073.5,254.9,8997.5,1.023,1,0.000,0.006,0.000,0.000,0.000
83,256,113.117,111.063,79.530,86310912,80.88,20.627,12.961,95,415.826,0.820,0,0.37,4949.7,6388.4,5758.1,630.1,388.0,1069.1,250.5,9000.7,0.568,1,0.000,0.005,0.000,0.000,0.000
84,256,108.894,106.285,77.949,85917696,81.04,16.640,14.305,1,411.906,0.820,0,0.00,4949.7,6388.4,5758.1,630.1,388.0,1067.3,248.7,9001.2,0.553,1,0.000,0.006,0.000,0.000,0.000
