# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=64 chatml=1
# moe_stream=1 cache_mb=4897 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=6000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,645.369,525.815,390.729,474021888,6.28,169.662,84.978,16892,2220.412,-1.000,0,65.98,4897.8,6318.3,5780.2,537.7,314.6,983.2,140.3,9230.5,0.399,1,0.000,0.011,0.000,0.000,0.000
2,256,267.432,352.953,94.462,323321856,12.78,135.626,37.344,1,920.673,0.820,0,0.00,4897.8,6316.4,5778.2,537.7,314.5,997.5,154.6,9216.8,6.013,1,0.000,0.005,0.000,0.000,0.000
3,256,289.392,422.176,100.324,368357376,17.63,141.887,47.181,35,1029.982,0.820,0,0.14,4897.8,6314.2,5778.7,535.1,314.6,1004.0,173.3,9209.2,0.543,1,0.000,0.006,0.000,0.000,0.000
4,256,231.972,220.347,102.894,174698496,23.26,107.003,22.075,1,782.333,0.820,0,0.00,4897.8,6296.0,5763.2,532.5,331.4,1021.9,196.6,9187.1,0.592,1,0.000,0.005,0.000,0.000,0.000
5,256,264.952,303.345,100.819,244715520,27.47,131.412,32.720,1,902.411,0.820,0,0.00,4897.8,6274.9,5742.8,531.7,350.9,1048.2,229.2,9162.2,0.555,1,0.000,0.006,0.000,0.000,0.000
6,256,227.357,260.639,95.863,204914688,31.34,107.096,24.398,1,764.674,0.820,0,0.00,4897.8,6269.0,5739.1,529.5,354.4,1056.6,248.1,9153.2,0.595,1,0.000,0.006,0.000,0.000,0.000
7,256,225.661,200.865,95.197,148131840,35.06,111.513,18.951,36,722.683,0.820,0,0.14,4897.8,6252.4,5723.3,528.7,371.6,1076.2,273.8,9131.0,0.554,1,0.000,0.005,0.000,0.000,0.000
8,256,186.912,250.752,80.172,207187968,37.93,78.179,28.561,1,656.717,0.820,0,0.00,4897.8,6242.9,5713.8,528.7,380.4,1075.1,274.1,9116.7,0.517,1,0.000,0.005,0.000,0.000,0.000
9,256,170.084,280.218,82.522,244420608,40.24,48.198,39.364,1,615.196,0.820,0,0.00,4897.8,6235.3,5706.2,528.7,387.1,1083.5,281.9,9108.2,0.615,1,0.000,0.006,0.000,0.000,0.000
10,256,180.410,303.219,85.553,260714496,42.20,51.058,43.798,1,649.609,0.820,0,0.00,4897.8,6233.5,5704.4,528.7,388.3,1088.0,286.3,9103.5,0.559,1,0.000,0.008,0.000,0.000,0.000
11,256,157.187,213.675,87.392,169660416,44.42,42.223,27.572,34,546.360,0.820,0,0.13,4897.8,6235.3,5706.2,528.7,388.3,1088.0,286.2,9102.2,0.617,1,0.000,0.007,0.000,0.000,0.000
12,256,189.799,342.219,86.617,298238528,45.78,52.874,50.307,1,686.379,0.820,0,0.00,4897.8,6234.8,5705.7,528.7,388.3,1085.8,283.8,9102.2,0.970,1,0.000,0.008,0.000,0.000,0.000
13,256,167.362,268.380,84.345,216870912,47.39,47.352,35.665,1,590.973,0.820,0,0.00,4897.8,6235.4,5706.3,528.7,388.6,1085.5,283.4,9098.5,0.776,1,0.000,0.007,0.000,0.000,0.000
14,256,235.420,461.170,88.011,411918336,47.96,75.496,71.913,1,870.679,0.820,0,0.00,4897.8,6230.9,5701.7,528.7,391.9,1083.1,280.9,9093.0,0.737,1,0.000,0.007,0.000,0.000,0.000
15,256,145.876,203.132,81.488,163835904,49.56,37.590,26.799,35,522.776,0.820,0,0.14,4897.8,6235.2,5706.1,528.7,388.5,1082.7,280.1,9091.9,0.723,1,0.000,0.006,0.000,0.000,0.000
16,256,132.647,157.165,80.131,126308352,51.18,34.438,18.078,1,457.697,0.820,0,0.00,4897.8,6234.4,5705.3,528.7,388.5,1085.0,282.4,9089.9,0.659,1,0.000,0.006,0.000,0.000,0.000
17,256,148.571,186.045,85.231,152580096,52.56,39.620,23.720,3,512.351,0.820,0,0.01,4897.8,6235.1,5706.0,528.7,388.4,1084.3,280.2,9089.0,0.586,1,0.000,0.006,0.000,0.000,0.000
18,256,169.891,278.092,84.953,225263616,53.56,47.742,37.196,0,597.967,0.820,0,0.00,4897.8,6235.8,5706.7,528.7,388.5,1083.9,279.0,9087.0,0.797,1,0.000,0.007,0.000,0.000,0.000
19,256,135.327,157.120,82.361,128778240,54.83,33.176,19.790,35,484.102,0.820,0,0.14,4897.8,6233.5,5704.4,528.7,388.4,1085.1,278.3,9086.8,0.722,1,0.000,0.006,0.000,0.000,0.000
20,256,127.950,134.186,82.205,104288256,56.10,30.746,14.999,1,444.499,0.820,0,0.00,4897.8,6233.9,5704.8,528.7,388.4,1084.7,277.9,9087.4,0.558,1,0.000,0.006,0.000,0.000,0.000
21,256,118.728,125.250,75.744,101720064,57.29,27.805,15.179,1,419.748,0.820,0,0.00,4897.8,6233.6,5704.5,528.7,388.4,1086.6,279.8,9087.7,0.537,1,0.000,0.006,0.000,0.000,0.000
22,256,119.437,121.172,75.630,93917184,58.42,30.911,12.896,0,411.365,0.820,0,0.00,4897.8,6234.0,5704.9,528.7,388.4,1079.5,270.0,9094.2,0.532,1,0.000,0.005,0.000,0.000,0.000
23,256,178.449,141.771,84.461,104189952,59.45,79.311,14.677,35,593.233,0.820,0,0.14,4897.8,6234.1,5705.0,528.7,388.3,1063.5,253.8,9111.7,0.516,1,0.000,0.006,0.000,0.000,0.000
24,256,100.402,61.401,75.182,45723648,60.59,18.312,6.908,2,353.682,0.820,0,0.01,4897.8,6234.4,5705.3,528.7,388.3,1060.7,251.0,9112.4,0.543,1,0.000,0.005,0.000,0.000,0.000
25,256,116.611,117.612,76.054,96387072,61.51,27.678,12.879,0,404.657,0.820,0,0.00,4897.8,6236.1,5706.9,528.7,388.3,1059.1,249.4,9112.7,0.568,1,0.000,0.005,0.000,0.000,0.000
26,256,132.386,151.171,80.320,125718528,62.29,32.805,19.261,0,469.058,0.820,0,0.00,4897.8,6236.0,5706.9,528.7,388.3,1059.1,249.4,9113.2,0.617,1,0.000,0.005,0.000,0.000,0.000
27,256,112.803,93.076,78.379,70017024,63.19,23.984,10.440,36,390.437,0.820,0,0.14,4897.8,6234.3,5705.2,528.7,388.1,1061.1,251.4,9113.2,0.551,1,0.000,0.005,0.000,0.000,0.000
