# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,422.111,497.387,196.360,452689920,6.53,159.694,66.057,17251,1513.776,-1.000,0,67.39,5000.0,6478.7,5851.2,627.1,345.4,1040.9,167.9,9066.9,0.397,1,0.000,0.008,0.000,0.000,0.000
2,256,274.662,335.839,93.823,312655872,13.10,142.319,38.521,2,982.956,0.824,0,0.01,5000.0,6455.7,5834.2,621.1,363.4,1049.5,186.5,9047.3,1.304,1,0.000,0.006,0.000,0.000,0.000
3,256,337.027,432.653,73.396,365690880,17.95,218.169,45.462,37,1149.137,0.824,0,0.14,5000.0,6422.3,5810.0,611.9,387.7,1079.1,227.7,9019.3,0.552,1,0.000,0.007,0.000,0.000,0.000
4,256,255.479,234.247,85.591,172032000,23.58,144.104,25.784,1,839.801,0.824,0,0.00,5000.0,6407.7,5804.7,602.6,392.0,1092.0,251.8,9008.9,0.584,1,0.000,0.006,0.000,0.000,0.000
5,256,296.347,306.877,79.630,242049024,27.78,185.065,31.652,217,977.675,0.820,0,0.85,5000.0,6408.4,5805.4,602.6,390.6,1090.3,249.9,9011.1,0.562,1,0.000,0.006,0.000,0.000,0.000
6,256,240.853,248.647,94.601,196915200,31.68,118.411,27.842,1,813.204,0.820,0,0.00,5000.0,6393.0,5805.4,587.3,390.2,1096.1,273.6,9005.5,0.600,1,0.000,0.006,0.000,0.000,0.000
7,256,230.374,191.137,87.077,142798848,35.41,124.317,18.980,37,749.826,0.820,0,0.14,5000.0,6382.7,5807.1,575.3,389.6,1096.5,288.1,9001.8,0.577,1,0.000,0.006,0.000,0.000,0.000
8,256,258.399,256.242,89.344,199188480,38.31,146.351,22.704,1,854.555,0.820,0,0.00,5000.0,6373.1,5806.5,566.3,389.7,1100.7,305.8,8995.6,0.527,1,0.000,0.006,0.000,0.000,0.000
9,256,168.878,275.680,84.291,239087616,40.63,46.308,38.279,1,605.249,0.820,0,0.00,5000.0,6374.7,5808.1,566.3,389.7,1091.3,296.1,8993.6,0.587,1,0.000,0.009,0.000,0.000,0.000
10,256,174.410,288.874,84.122,250048512,42.62,49.020,41.269,1,625.829,0.820,0,0.00,5000.0,6374.3,5807.6,566.3,389.7,1088.9,292.9,8994.1,0.650,1,0.000,0.008,0.000,0.000,0.000
11,256,148.743,206.441,81.417,166993920,44.84,40.395,26.932,37,520.830,0.820,0,0.14,5000.0,6373.3,5806.7,566.3,389.5,1090.4,294.5,8994.4,0.639,1,0.000,0.006,0.000,0.000,0.000
12,256,175.612,302.754,81.852,268907072,46.32,50.781,42.979,1,634.325,0.820,0,0.00,5000.0,6373.1,5806.4,566.3,389.5,1086.7,287.5,8997.1,0.721,1,0.000,0.007,0.000,0.000,0.000
13,256,161.966,257.941,82.133,214204416,47.92,43.809,36.024,1,577.080,0.820,0,0.00,5000.0,6373.8,5807.2,566.3,389.5,1085.8,286.6,8997.1,0.717,1,0.000,0.007,0.000,0.000,0.000
14,256,226.752,449.640,87.768,411918336,48.47,64.749,74.235,1,862.973,0.820,0,0.00,5000.0,6375.1,5808.4,566.3,389.5,1084.6,283.9,8998.4,0.740,1,0.000,0.008,0.000,0.000,0.000
15,256,147.025,199.226,81.343,163835904,50.05,38.378,27.304,37,521.634,0.820,0,0.14,5000.0,6373.8,5807.1,566.3,389.4,1084.6,282.8,8998.9,0.711,1,0.000,0.006,0.000,0.000,0.000
16,256,130.005,153.409,79.341,126308352,51.64,31.550,19.114,1,463.880,0.820,0,0.00,5000.0,6374.8,5808.1,566.3,389.4,1082.6,280.7,8999.1,0.806,1,0.000,0.020,0.000,0.000,0.000
17,256,145.467,182.341,83.209,152580096,53.00,37.893,24.364,3,502.076,0.820,0,0.01,5000.0,6373.5,5806.8,566.3,389.4,1083.1,279.2,9000.9,0.665,1,0.000,0.007,0.000,0.000,0.000
18,256,163.898,272.264,83.466,225263616,53.98,43.109,37.322,0,591.204,0.820,0,0.00,5000.0,6374.7,5808.1,566.3,389.4,1081.9,278.0,9001.1,0.769,1,0.000,0.007,0.000,0.000,0.000
19,256,130.486,156.371,80.789,128778240,55.24,30.459,19.238,38,458.736,0.820,0,0.15,5000.0,6375.2,5808.5,566.3,389.2,1081.2,277.3,9001.4,0.607,1,0.000,0.007,0.000,0.000,0.000
20,256,117.771,120.870,76.207,101621760,56.51,28.056,13.509,2,418.397,0.820,0,0.01,5000.0,6374.8,5808.2,566.3,389.2,1081.2,277.3,9001.4,0.574,1,0.000,0.006,0.000,0.000,0.000
21,256,117.084,122.681,74.879,101720064,57.68,28.113,14.092,1,402.912,0.820,0,0.00,5000.0,6375.3,5808.6,566.3,389.2,1081.1,277.2,9001.6,0.512,1,0.000,0.005,0.000,0.000,0.000
22,256,118.166,122.208,76.313,93917184,58.80,29.281,12.572,0,411.222,0.820,0,0.00,5000.0,6375.1,5808.4,566.3,389.2,1081.1,277.2,9001.9,0.503,1,0.000,0.005,0.000,0.000,0.000
23,256,120.845,131.190,76.300,104189952,59.81,29.966,14.580,36,413.977,0.820,0,0.14,5000.0,6375.4,5808.7,566.3,389.0,1078.9,273.2,9002.4,0.509,1,0.000,0.006,0.000,0.000,0.000
24,256,98.920,61.247,75.106,45723648,60.95,17.046,6.768,3,355.034,0.820,0,0.01,5000.0,6375.6,5808.9,566.3,389.0,1077.8,272.1,9002.4,0.540,1,0.000,0.006,0.000,0.000,0.000
