# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4000 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,656.470,658.734,101.950,588681216,4.98,296.763,257.757,16583,1872.343,-1.000,0,64.78,4000.0,5638.7,4820.6,817.6,376.1,1948.4,712.7,8994.4,0.399,1,0.000,0.019,0.000,0.000,0.000
2,256,301.248,438.269,106.779,387317760,10.96,138.730,55.740,0,804.598,0.820,0,0.00,4000.0,5639.1,4821.0,817.6,376.1,1946.8,706.8,8995.7,1.418,1,0.000,0.011,0.000,0.000,0.000
3,256,363.636,491.121,123.539,443019264,15.30,180.951,59.147,29,1008.869,0.820,0,0.11,4000.0,5639.7,4821.6,817.6,376.0,1945.3,705.1,8996.2,0.591,1,0.000,0.014,0.000,0.000,0.000
4,256,289.745,306.630,149.411,236027904,20.62,110.156,30.178,1,953.066,0.820,0,0.00,4000.0,5638.6,4820.5,817.6,376.0,1947.5,707.4,8996.4,0.625,1,0.000,0.015,0.000,0.000,0.000
5,256,315.941,339.143,146.979,266047488,24.87,126.898,42.064,1,997.888,0.820,0,0.00,4000.0,5637.9,4819.8,817.6,376.0,1942.3,699.9,8999.2,0.671,1,0.000,0.016,0.000,0.000,0.000
6,256,268.995,301.405,115.870,242245632,28.66,115.022,38.103,0,809.054,0.820,0,0.00,4000.0,5637.5,4819.4,817.6,376.0,1943.4,689.5,9001.5,0.705,1,0.000,0.013,0.000,0.000,0.000
7,256,272.906,223.770,159.911,172130304,32.40,87.311,25.684,29,947.542,0.820,0,0.11,4000.0,5639.2,4821.1,817.6,375.9,1940.1,686.2,9002.2,0.739,1,0.000,0.015,0.000,0.000,0.000
8,256,271.923,303.924,137.650,249851904,35.18,98.248,36.025,1,875.722,0.820,0,0.00,4000.0,5638.3,4820.2,817.6,375.9,1940.4,685.9,9002.2,0.602,1,0.000,0.013,0.000,0.000,0.000
9,256,335.033,382.886,154.953,311083008,37.26,136.016,44.064,0,1087.295,0.820,0,0.00,4000.0,5637.5,4819.4,817.6,375.9,1940.7,686.2,9003.2,0.642,1,0.000,0.012,0.000,0.000,0.000
10,256,336.280,381.259,147.601,298045440,39.18,142.481,46.198,0,1054.620,0.820,0,0.00,4000.0,5637.7,4819.6,817.6,375.9,1939.7,685.1,9003.5,0.579,1,0.000,0.018,0.000,0.000,0.000
