# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4000 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,485.290,689.116,152.116,588681216,4.98,242.276,90.899,14168,1761.003,-1.000,0,55.34,4000.0,5765.2,4849.2,915.8,347.8,1970.1,350.9,8989.9,0.372,1,0.000,0.008,0.000,0.000,0.000
2,256,250.925,460.990,98.476,387317760,10.96,76.092,76.356,0,942.929,0.820,0,0.00,4000.0,5765.8,4849.7,915.8,347.8,1962.1,341.0,8993.2,2.560,1,0.000,0.009,0.000,0.000,0.000
3,256,270.266,529.595,100.134,443019264,15.30,86.577,83.555,1,1021.046,0.820,0,0.00,4000.0,5766.1,4850.0,915.8,347.8,1953.8,330.6,8994.7,0.694,1,0.000,0.008,0.000,0.000,0.000
4,256,192.596,298.743,98.148,236027904,20.62,54.143,40.305,1,715.326,0.820,0,0.00,4000.0,5764.9,4848.9,915.8,347.8,1956.3,333.2,8994.9,0.851,1,0.000,0.008,0.000,0.000,0.000
5,256,204.242,330.302,98.721,266047488,24.87,57.144,48.377,1,756.836,0.820,0,0.00,4000.0,5764.4,4848.4,915.8,347.8,1955.5,332.3,8995.7,0.734,1,0.000,0.008,0.000,0.000,0.000
6,256,195.702,314.149,97.287,242245632,28.66,55.904,42.511,0,721.250,0.820,0,0.00,4000.0,5763.8,4847.8,915.8,347.8,1953.8,328.2,8997.7,0.734,1,0.000,0.008,0.000,0.000,0.000
7,256,166.383,225.794,93.091,172130304,32.40,45.282,28.010,1,595.987,0.820,0,0.00,4000.0,5765.4,4849.3,915.8,347.8,1949.6,324.0,8998.3,0.721,1,0.000,0.007,0.000,0.000,0.000
8,256,196.456,321.357,98.953,249851904,35.18,55.920,41.584,1,712.191,0.820,0,0.00,4000.0,5764.5,4848.5,915.8,347.8,1950.9,321.6,8998.8,0.603,1,0.000,0.008,0.000,0.000,0.000
9,256,324.747,398.900,161.204,311083008,37.26,116.114,47.428,0,1015.589,0.820,0,0.00,4000.0,5731.9,4815.8,915.8,379.5,1961.5,203.5,8999.3,0.716,1,0.000,0.009,0.000,0.000,0.000
10,256,350.769,386.192,98.009,298045440,39.18,216.699,36.061,0,1169.284,0.820,0,0.00,4000.0,5729.1,4814.0,914.8,381.6,1937.4,130.8,8998.9,2.083,1,0.000,0.006,0.000,0.000,0.000
11,256,286.038,281.293,87.327,190992384,41.45,169.995,28.715,0,916.952,0.820,0,0.00,4000.0,5726.4,4814.5,911.6,381.6,1929.1,153.5,8995.4,0.620,1,0.000,0.006,0.000,0.000,0.000
12,256,344.041,469.589,80.789,356901440,42.67,221.418,41.834,0,1200.027,0.820,0,0.00,4000.0,5721.4,4814.7,906.4,381.6,1937.8,209.2,8984.6,5.316,1,0.000,0.007,0.000,0.000,0.000
13,256,295.364,316.655,87.103,224968704,44.39,180.330,27.931,0,961.645,0.820,0,0.00,4000.0,5718.9,4814.8,903.8,382.5,1940.2,239.8,8978.9,0.611,1,0.000,0.006,0.000,0.000,0.000
14,256,362.278,514.828,84.005,414683136,45.10,230.361,47.911,0,1285.495,0.820,0,0.00,4000.0,5716.6,4813.3,903.1,382.5,1943.3,289.1,8972.6,0.552,1,0.000,0.005,0.000,0.000,0.000
15,256,168.999,227.810,94.450,177266688,46.76,47.881,26.668,1,609.647,0.820,0,0.00,4000.0,5717.7,4814.4,903.1,382.5,1935.1,278.1,8973.6,0.544,1,0.000,0.006,0.000,0.000,0.000
