# bmoe_metrics v2
# engine=0.23.0
# model=gpt-oss-20b-MXFP4.gguf arch=gpt-oss n_layer=24 n_expert=32 n_expert_used=4 threads=4 n_ctx=2048 n_ubatch=512 chatml=0
# moe_stream=1 cache_mb=3189 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=1211 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,1051.172,881.981,574.013,793907200,6.47,376.185,100.974,13952,2130.710,-1.000,0,54.50,3189.3,5127.6,4574.9,552.4,659.2,1529.1,126.4,8980.6,0.492,1,0.000,0.024,0.000,0.000,0.000
2,256,672.489,221.249,498.674,224952320,17.64,132.290,41.525,30,1267.557,-1.000,0,0.12,3189.3,5001.8,4574.9,426.5,659.4,1335.0,51.0,9045.7,2.018,1,0.000,0.029,0.000,0.000,0.000
3,256,534.253,492.767,187.076,436641792,23.80,279.095,68.082,75,1404.651,-1.000,0,0.29,3189.3,4965.0,4573.9,390.8,659.9,1336.1,132.3,9042.7,3.363,1,0.000,0.013,0.000,0.000,0.000
4,256,403.923,726.462,99.815,674803712,26.42,188.417,115.691,116,1277.517,-1.000,0,0.45,3189.3,4918.4,4532.3,385.8,701.9,1362.1,135.7,9003.7,0.740,1,0.000,0.006,0.000,0.000,0.000
5,256,278.770,404.137,67.687,396918784,30.74,175.946,35.138,110,735.519,0.684,0,0.43,3189.3,4879.3,4510.9,368.0,723.6,1364.1,123.6,8975.0,0.552,1,0.000,0.005,0.000,0.000,0.000
6,256,277.765,352.420,81.753,357232640,34.56,153.473,42.540,117,777.174,0.684,0,0.46,3189.3,4843.2,4485.2,357.8,749.1,1390.5,139.7,8988.1,0.529,1,0.000,0.005,0.000,0.000,0.000
7,256,332.321,529.069,67.226,463147008,37.01,224.603,40.492,67,876.677,0.684,0,0.26,3189.3,4839.0,4484.9,353.8,749.5,1409.0,183.8,8975.6,0.593,1,0.000,0.003,0.000,0.000,0.000
8,256,248.307,283.206,113.264,251363328,40.39,100.703,34.340,78,762.819,0.684,0,0.30,3189.3,4831.9,4484.8,346.9,749.6,1414.0,198.6,8969.1,0.530,1,0.000,0.005,0.000,0.000,0.000
9,256,210.984,185.655,116.835,158785536,43.81,68.547,25.602,38,679.651,0.684,0,0.15,3189.3,4832.3,4485.1,346.9,749.6,1416.0,204.7,8966.1,0.661,1,0.000,0.005,0.000,0.000,0.000
10,256,195.381,143.916,111.081,119095296,46.97,58.270,26.029,7,584.564,0.684,0,0.03,3189.3,4826.3,4485.1,340.9,749.8,1417.9,217.1,8961.3,4.951,1,0.000,0.004,0.000,0.000,0.000
11,256,222.830,226.797,115.143,198475776,49.34,78.090,29.597,28,686.790,0.684,0,0.11,3189.3,4825.8,4484.7,340.9,750.1,1421.2,224.1,8958.6,0.731,1,0.000,0.004,0.000,0.000,0.000
12,256,235.728,282.491,109.379,251424768,51.18,90.315,36.034,37,735.128,0.684,0,0.14,3189.3,4825.9,4484.8,340.8,750.0,1426.5,234.2,8952.3,0.735,1,0.000,0.004,0.000,0.000,0.000
13,256,263.291,345.034,97.899,304287744,52.58,128.463,36.928,49,774.207,0.684,0,0.19,3189.3,4820.0,4484.6,335.2,750.1,1431.6,252.9,8947.6,0.698,1,0.000,0.004,0.000,0.000,0.000
14,256,223.301,273.532,117.096,238186496,54.10,71.988,34.216,19,734.551,0.684,0,0.07,3189.3,4820.3,4484.8,335.2,750.0,1435.2,262.7,8942.1,0.698,1,0.000,0.004,0.000,0.000,0.000
15,256,199.329,165.846,115.629,145547264,55.84,56.442,27.258,45,631.868,0.684,0,0.18,3189.3,4819.6,4484.6,334.7,750.4,1438.1,266.9,8939.3,0.660,1,0.000,0.005,0.000,0.000,0.000
