# bmoe_metrics v2
# engine=0.23.0
# model=gpt-oss-20b-MXFP4.gguf arch=gpt-oss n_layer=24 n_expert=32 n_expert_used=4 threads=4 n_ctx=2048 n_ubatch=512 chatml=0
# moe_stream=1 cache_mb=3272 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=1211 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,654.627,695.180,328.988,754216960,7.01,239.319,86.320,0,1646.262,-1.000,0,0.00,3272.1,5690.4,4793.2,896.8,528.1,1709.6,129.9,8996.5,0.534,1,0.000,0.006,0.000,0.000,0.000
2,256,205.789,215.213,114.940,224952320,18.10,67.705,23.144,2,506.224,-1.000,0,0.01,3272.1,5681.6,4784.4,896.8,537.2,1723.1,144.5,8985.0,1.622,1,0.000,0.004,0.000,0.000,0.000
3,256,273.665,426.425,116.892,423419904,24.33,113.365,43.408,1,654.933,-1.000,0,0.00,3272.1,5658.3,4765.0,892.9,556.8,1724.5,162.4,8966.5,0.661,1,0.000,0.005,0.000,0.000,0.000
4,256,334.086,622.102,116.885,661569536,27.01,149.277,67.924,0,824.083,-1.000,0,0.00,3272.1,5634.2,4740.9,892.9,580.9,1729.6,167.4,8943.0,0.698,1,0.000,0.005,0.000,0.000,0.000
5,256,260.971,384.026,114.014,396918784,31.28,105.190,41.768,0,614.862,0.723,0,0.00,3272.1,5615.5,4722.1,892.9,599.8,1731.4,165.3,8924.5,0.636,1,0.000,0.003,0.000,0.000,0.000
6,256,269.445,356.666,124.481,357232640,35.04,106.961,38.003,0,638.023,0.723,0,0.00,3272.1,5595.8,4702.4,892.9,619.2,1710.4,128.4,8911.7,0.636,1,0.000,0.006,0.000,0.000,0.000
7,256,283.262,455.573,118.252,463147008,37.46,116.174,48.835,2,703.137,0.723,0,0.01,3272.1,5575.4,4682.1,892.9,639.8,1716.0,134.0,8891.2,0.683,1,0.000,0.004,0.000,0.000,0.000
8,256,192.360,167.523,118.466,171970560,41.29,55.306,18.588,0,500.597,0.723,0,0.00,3272.1,5561.6,4668.2,892.9,653.6,1718.7,136.6,8877.7,0.632,1,0.000,0.004,0.000,0.000,0.000
9,256,193.775,155.229,125.472,145551360,44.71,52.141,16.162,2,497.430,0.723,0,0.01,3272.1,5560.1,4667.0,892.6,655.1,1725.2,144.9,8875.0,0.607,1,0.000,0.004,0.000,0.000,0.000
10,256,167.528,97.946,118.922,105861120,47.89,35.924,12.682,1,444.630,0.684,0,0.00,3272.1,5556.2,4667.0,888.8,655.1,1728.9,158.4,8874.3,0.718,1,0.000,0.006,0.000,0.000,0.000
11,256,190.551,177.499,114.876,172032000,50.33,56.003,19.671,4,503.141,0.684,0,0.02,3272.1,5545.6,4666.9,878.3,655.1,1733.0,212.4,8869.3,0.678,1,0.000,0.005,0.000,0.000,0.000
12,256,221.306,259.733,114.913,251424768,52.11,79.029,27.364,11,510.064,0.684,0,0.04,3272.1,5544.3,4667.0,876.9,655.1,1739.4,269.1,8860.3,0.675,1,0.000,0.004,0.000,0.000,0.000
13,256,219.397,247.418,121.365,238129152,53.75,73.308,24.724,13,541.795,0.684,0,0.05,3272.1,5544.3,4667.0,876.9,655.1,1721.5,253.6,8856.1,0.675,1,0.000,0.004,0.000,0.000,0.000
14,256,195.812,183.628,119.583,185262080,55.43,56.466,19.763,0,475.430,0.684,0,0.00,3272.1,5541.7,4667.0,874.3,655.1,1713.3,252.2,8854.8,0.715,1,0.000,0.005,0.000,0.000,0.000
15,256,173.929,132.249,112.839,132313088,57.16,45.923,15.168,2,434.133,0.684,0,0.01,3272.1,5541.7,4667.0,874.3,655.1,1720.9,266.2,8853.6,0.704,1,0.000,0.005,0.000,0.000,0.000
16,256,215.955,221.542,120.794,211734528,58.42,71.432,23.730,0,518.877,0.684,0,0.00,3272.1,5541.9,4667.2,874.3,655.1,1715.9,267.8,8855.6,0.669,1,0.000,0.004,0.000,0.000,0.000
17,256,181.369,137.912,119.121,132337664,59.85,48.195,14.053,1,445.494,0.684,0,0.00,3272.1,5541.7,4667.0,874.3,655.1,1716.7,271.6,8854.8,0.645,1,0.000,0.004,0.000,0.000,0.000
18,256,283.532,484.366,118.420,476332032,59.96,113.530,51.581,14,661.224,0.684,0,0.05,3272.1,5539.3,4664.6,874.3,657.5,1700.7,255.4,8852.3,0.719,1,0.000,0.005,0.000,0.000,0.000
19,256,206.357,230.002,117.709,224919552,60.90,63.443,25.205,1,520.203,0.684,0,0.00,3272.1,5539.6,4664.9,874.3,657.5,1701.5,262.7,8851.6,0.729,1,0.000,0.005,0.000,0.000,0.000
20,256,194.523,178.446,119.741,172011520,61.93,56.431,18.350,1,500.001,0.684,0,0.00,3272.1,5539.6,4664.9,874.3,657.5,1702.2,262.3,8869.8,0.723,1,0.000,0.005,0.000,0.000,0.000
21,256,117.241,28.485,102.127,26468352,63.33,10.754,4.360,0,348.041,0.684,0,0.00,3272.1,5539.2,4664.5,874.3,657.8,1719.9,283.0,8868.3,0.748,1,0.000,0.004,0.000,0.000,0.000
22,256,137.396,73.252,107.453,66158592,64.50,21.722,8.221,2,382.813,0.684,0,0.01,3272.1,5539.2,4664.5,874.3,657.8,1718.7,283.5,8868.1,0.677,1,0.000,0.007,0.000,0.000,0.000
23,256,149.670,89.150,109.030,79380480,65.55,31.214,9.426,2,378.638,0.684,0,0.01,3272.1,5539.3,4664.6,874.3,657.8,1700.5,265.3,8867.8,0.729,1,0.000,0.007,0.000,0.000,0.000
24,256,145.955,74.289,112.011,66170880,66.57,25.563,8.382,1,378.432,0.684,0,0.00,3272.1,5539.2,4664.5,874.3,657.8,1709.1,276.9,8867.3,0.753,1,0.000,0.008,0.000,0.000,0.000
25,256,571.574,711.861,353.788,688087040,65.87,135.120,82.666,0,1581.814,0.684,0,0.00,3272.1,5539.2,4664.5,874.3,657.8,1675.1,253.0,8866.3,0.613,1,0.000,0.008,0.000,0.000,0.000
26,256,217.052,243.136,119.744,238153728,66.37,69.895,27.413,1,523.967,0.684,0,0.00,3272.1,5539.2,4664.6,874.3,657.8,1671.6,249.5,8866.8,0.635,1,0.000,0.004,0.000,0.000,0.000
27,256,233.062,266.429,121.838,251379712,66.81,81.743,29.480,0,559.120,0.684,0,0.00,3272.1,5539.2,4664.5,874.3,657.8,1670.9,246.9,8867.3,0.778,1,0.000,0.005,0.000,0.000,0.000
28,256,177.881,156.536,119.830,158744576,67.44,40.079,17.972,2,509.393,0.684,0,0.01,3272.1,5539.2,4664.6,874.3,657.8,1671.2,247.2,8867.3,0.761,1,0.000,0.004,0.000,0.000,0.000
29,256,236.780,307.480,124.956,317579264,67.66,75.842,35.982,2,589.692,0.684,0,0.01,3272.1,5539.1,4664.4,874.3,657.8,1657.8,208.6,8872.8,0.677,1,0.000,0.008,0.000,0.000,0.000
30,256,186.883,163.269,121.204,158785536,68.23,46.898,18.780,2,489.776,0.684,0,0.01,3272.1,5539.4,4664.7,874.3,657.8,1712.4,268.7,8872.0,0.697,1,0.000,0.005,0.000,0.000,0.000
31,256,276.614,434.113,119.766,436629504,68.16,108.751,48.097,11,623.543,0.684,0,0.04,3272.1,5539.2,4664.5,874.3,657.8,1670.4,234.9,8870.8,0.723,1,0.000,0.005,0.000,0.000,0.000
32,256,180.731,137.716,121.231,132308992,68.74,44.588,14.912,0,479.990,0.684,0,0.00,3272.1,5538.9,4664.2,874.3,658.2,1710.0,280.2,8869.0,0.751,1,0.000,0.005,0.000,0.000,0.000
33,256,226.977,281.909,121.008,264630272,69.02,76.349,29.620,0,565.491,0.684,0,0.00,3272.1,5538.8,4664.1,874.3,658.2,1699.8,271.7,8868.6,0.713,1,0.000,0.004,0.000,0.000,0.000
34,256,323.195,588.381,118.592,595431424,68.61,139.960,64.644,0,753.339,0.684,0,0.00,3272.1,5538.8,4664.1,874.3,658.2,1681.4,261.5,8867.4,0.727,1,0.000,0.005,0.000,0.000,0.000
35,256,174.246,148.841,116.024,145559552,69.11,42.000,16.222,9,463.121,0.684,0,0.04,3272.1,5539.0,4664.3,874.3,658.2,1686.2,264.6,8867.6,0.661,1,0.000,0.006,0.000,0.000,0.000
36,256,136.673,55.964,111.277,52924416,69.77,18.983,6.412,2,368.726,0.684,0,0.01,3272.1,5538.9,4664.2,874.3,658.2,1678.5,256.9,8867.6,0.793,1,0.000,0.009,0.000,0.000,0.000
