# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4000 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=6 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,370.737,862.538,171.437,588681216,4.98,102.948,96.352,14034,1509.574,-1.000,0,54.82,4000.0,6042.3,4891.6,1150.1,307.0,1952.5,292.1,8868.7,0.377,1,0.000,0.007,0.000,0.000,0.000
2,256,306.334,648.012,102.679,387317760,10.96,146.709,56.946,0,1071.125,0.820,0,0.00,4000.0,5967.4,4816.8,1150.1,382.5,2015.0,318.9,8805.4,5.258,1,0.000,0.006,0.000,0.000,0.000
3,256,281.162,685.681,83.047,443019264,15.30,140.761,57.354,1,1037.659,0.820,0,0.00,4000.0,5966.3,4815.6,1150.1,384.0,2009.9,314.9,8799.2,5.060,1,0.000,0.006,0.000,0.000,0.000
4,256,175.786,368.266,87.096,236027904,20.62,51.221,37.469,1,648.122,0.820,0,0.00,4000.0,5965.0,4814.4,1150.1,384.0,2008.8,309.0,8802.4,0.738,1,0.000,0.007,0.000,0.000,0.000
5,256,187.502,411.858,87.700,266047488,24.87,53.841,45.960,1,697.371,0.820,0,0.00,4000.0,5964.5,4813.9,1150.1,384.0,2008.0,308.2,8802.7,0.677,1,0.000,0.007,0.000,0.000,0.000
6,256,178.878,395.275,89.849,242245632,28.66,47.126,41.904,0,676.283,0.820,0,0.00,4000.0,5964.0,4813.4,1150.1,384.0,2006.5,297.0,8806.9,0.702,1,0.000,0.007,0.000,0.000,0.000
7,256,160.786,281.050,88.612,172130304,32.40,41.810,30.364,1,574.148,0.820,0,0.00,4000.0,5965.6,4814.9,1150.1,384.0,1997.7,281.9,8809.9,0.640,1,0.000,0.007,0.000,0.000,0.000
8,256,180.365,400.250,87.868,249851904,35.18,52.286,40.211,1,666.619,0.820,0,0.00,4000.0,5964.7,4814.1,1150.1,384.0,1999.4,283.5,8811.0,0.674,1,0.000,0.006,0.000,0.000,0.000
9,256,196.433,496.112,89.454,311083008,37.26,55.599,51.380,0,743.957,0.820,0,0.00,4000.0,5964.0,4813.3,1150.1,384.0,1998.5,282.5,8811.5,0.708,1,0.000,0.008,0.000,0.000,0.000
10,256,195.969,473.929,89.247,298045440,39.18,56.621,50.101,0,734.987,0.820,0,0.00,4000.0,5964.1,4813.4,1150.1,384.0,1998.2,282.2,8811.7,0.638,1,0.000,0.007,0.000,0.000,0.000
