# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=3896 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,396.291,616.137,196.232,604680192,4.81,108.165,91.893,14472,1177.578,-1.000,0,56.53,3896.1,5243.7,4781.0,462.3,312.2,1009.1,286.9,7290.5,0.525,1,0.000,0.009,0.000,0.000,0.000
2,256,277.331,429.838,146.403,395317248,10.73,70.447,60.482,3,769.622,0.820,0,0.01,3896.1,5228.8,4766.1,462.3,327.7,992.3,272.0,7274.8,1.655,1,0.000,0.008,0.000,0.000,0.000
3,256,668.234,532.196,521.269,451018752,15.02,80.069,66.896,33,1969.187,0.820,0,0.13,3896.1,5229.1,4766.4,462.3,327.7,979.3,262.4,7275.8,0.701,1,0.000,0.010,0.000,0.000,0.000
4,256,217.324,290.476,137.576,246693888,20.27,44.977,34.771,2,615.075,0.820,0,0.01,3896.1,5228.0,4765.3,462.3,327.7,954.1,235.4,7276.8,0.695,1,0.000,0.007,0.000,0.000,0.000
5,256,225.949,319.547,133.260,271380480,24.51,52.622,40.068,1,643.361,0.820,0,0.00,3896.1,5227.4,4764.7,462.3,327.7,956.0,237.3,7277.3,0.643,1,0.000,0.006,0.000,0.000,0.000
6,256,219.096,303.279,135.411,258244608,28.22,46.992,36.692,1,581.746,0.820,0,0.00,3896.1,5227.2,4764.5,462.3,327.7,954.7,236.0,7277.5,0.742,1,0.000,0.006,0.000,0.000,0.000
7,256,196.587,223.407,132.961,174796800,31.97,37.815,25.812,32,511.085,0.820,0,0.12,3896.1,5228.4,4765.7,462.3,327.7,948.9,230.2,7278.0,0.657,1,0.000,0.007,0.000,0.000,0.000
8,256,216.435,301.469,139.254,255184896,34.75,40.690,36.491,1,594.271,0.820,0,0.00,3896.1,5227.9,4765.2,462.3,327.7,944.0,225.1,7278.3,0.671,1,0.000,0.007,0.000,0.000,0.000
9,256,252.332,365.062,143.501,324415488,36.78,57.441,51.390,1,707.947,0.820,0,0.00,3896.1,5227.0,4764.3,462.3,327.7,942.4,223.5,7278.5,0.751,1,0.000,0.007,0.000,0.000,0.000
10,256,236.982,344.257,140.789,298045440,38.73,48.365,47.828,1,674.949,0.820,0,0.00,3896.1,5228.7,4766.1,462.3,327.7,932.4,213.1,7278.8,0.666,1,0.000,0.006,0.000,0.000,0.000
