# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=3348 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=6 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,413.370,1177.224,178.743,668676096,4.08,133.374,101.253,14090,1190.916,-1.000,0,55.04,3348.6,4505.3,4164.2,340.9,384.5,1484.3,351.4,7091.2,0.487,1,0.000,0.009,0.000,0.000,0.000
2,256,288.729,788.474,139.604,435314688,9.67,87.067,62.057,0,779.851,0.820,0,0.00,3348.6,4502.7,4161.5,340.9,385.5,1433.8,301.2,7088.7,1.788,1,0.000,0.007,0.000,0.000,0.000
3,256,307.721,902.961,138.683,499015680,13.62,96.838,72.200,1,876.681,0.820,0,0.00,3348.6,4502.9,4161.7,340.9,385.5,1408.6,274.9,7090.0,0.675,1,0.000,0.007,0.000,0.000,0.000
4,256,233.360,501.738,134.759,284024832,18.68,53.895,44.706,1,644.764,0.820,0,0.00,3348.6,4504.2,4163.1,340.9,385.5,1407.9,274.2,7090.2,0.755,1,0.000,0.006,0.000,0.000,0.000
5,256,237.292,491.172,137.677,279379968,22.98,53.960,45.655,1,648.926,0.820,0,0.00,3348.6,4503.7,4162.6,340.9,385.5,1415.5,277.7,7090.7,0.752,1,0.000,0.007,0.000,0.000,0.000
6,256,237.531,537.966,137.937,295575552,26.54,56.292,43.302,0,653.913,0.820,0,0.00,3348.6,4503.3,4162.2,340.9,385.5,1415.5,277.1,7091.7,0.772,1,0.000,0.006,0.000,0.000,0.000
7,256,205.072,330.729,131.193,182796288,30.35,44.518,29.361,1,540.831,0.820,0,0.00,3348.6,4504.8,4163.6,340.9,385.5,1407.4,268.5,7092.0,0.837,1,0.000,0.008,0.000,0.000,0.000
8,256,247.933,501.185,156.796,281849856,33.06,46.972,44.164,1,716.821,0.820,0,0.00,3348.6,4503.8,4162.6,340.9,385.4,1408.9,258.2,7093.7,0.653,1,0.000,0.007,0.000,0.000,0.000
9,256,246.567,583.239,135.654,332513280,35.15,62.910,48.003,0,694.255,0.820,0,0.00,3348.6,4502.8,4161.6,340.9,385.4,1411.8,261.0,7094.0,0.732,1,0.000,0.007,0.000,0.000,0.000
10,256,250.459,552.619,150.402,303476736,37.16,55.464,44.593,0,706.595,0.820,0,0.00,3348.6,4502.9,4161.8,340.9,385.4,1389.9,233.9,7113.1,0.636,1,0.000,0.008,0.000,0.000,0.000
11,256,205.562,338.458,131.813,190992384,39.54,43.689,30.060,0,546.791,0.820,0,0.00,3348.6,4503.8,4162.7,340.9,385.4,1380.4,224.3,7113.1,0.758,1,0.000,0.007,0.000,0.000,0.000
12,256,260.722,670.582,131.972,373195328,40.78,71.903,56.847,0,680.920,0.820,0,0.00,3348.6,4504.1,4163.0,340.9,385.4,1379.2,223.1,7113.6,0.776,1,0.000,0.007,0.000,0.000,0.000
13,256,217.785,427.465,131.543,240967680,42.51,46.411,39.831,0,584.715,0.820,0,0.00,3348.6,4503.0,4161.9,340.9,385.4,1371.8,215.8,7114.1,0.769,1,0.000,0.006,0.000,0.000,0.000
14,256,293.472,838.199,151.215,470974464,43.05,71.133,71.123,0,845.056,0.820,0,0.00,3348.6,4502.4,4161.2,340.9,385.4,1380.1,222.0,7114.9,0.728,1,0.000,0.008,0.000,0.000,0.000
15,256,208.907,365.955,133.445,201461760,44.71,42.196,33.266,0,575.907,0.820,0,0.00,3348.6,4502.9,4161.7,340.9,385.4,1374.4,215.3,7115.6,0.591,1,0.000,0.006,0.000,0.000,0.000
16,256,198.967,235.502,136.223,131739648,46.51,40.249,22.495,0,535.241,0.820,0,0.00,3348.6,4502.8,4162.7,339.9,385.4,1421.7,253.2,7134.4,0.753,1,0.000,0.008,0.000,0.000,0.000
17,256,210.233,285.901,136.584,171638784,48.01,46.876,26.773,2,576.255,0.820,0,0.01,3348.6,4501.5,4162.2,339.0,385.2,1425.8,259.7,7153.5,0.759,1,0.000,0.008,0.000,0.000,0.000
18,256,524.868,984.950,356.112,531603456,48.02,88.084,80.673,0,1488.530,0.820,0,0.00,3348.6,4498.9,4160.2,338.4,386.1,1411.1,270.4,7192.1,0.767,1,0.000,0.011,0.000,0.000,0.000
19,256,236.442,466.248,136.140,265752576,49.01,60.765,39.538,2,636.555,0.820,0,0.01,3348.6,4499.5,4160.9,338.4,386.1,1407.6,266.3,7190.6,0.760,1,0.000,0.009,0.000,0.000,0.000
20,256,236.876,476.107,144.446,273162240,49.89,51.151,41.279,1,677.939,0.820,0,0.00,3348.6,4499.1,4160.4,338.4,386.1,1433.5,293.5,7187.3,0.677,1,0.000,0.009,0.000,0.000,0.000
21,256,234.492,459.754,141.095,263282688,50.75,54.223,39.174,1,654.719,0.820,0,0.00,3348.6,4500.7,4162.1,338.4,386.1,1414.2,278.3,7186.6,0.791,1,0.000,0.008,0.000,0.000,0.000
22,256,182.434,199.995,133.057,112582656,52.04,31.632,17.745,0,511.029,0.820,0,0.00,3348.6,4501.2,4162.6,338.4,386.1,1408.9,275.1,7186.6,0.655,1,0.000,0.008,0.000,0.000,0.000
23,256,243.049,518.747,144.735,291926016,52.68,53.933,44.381,1,675.113,0.820,0,0.00,3348.6,4500.1,4161.5,338.4,386.1,1401.7,275.0,7196.9,0.637,1,0.000,0.007,0.000,0.000,0.000
24,256,196.629,273.364,136.965,150601728,53.72,36.879,22.784,1,541.074,0.820,0,0.00,3348.6,4500.4,4161.8,338.4,386.0,1394.2,267.2,7197.2,0.810,1,0.000,0.006,0.000,0.000,0.000
25,256,188.053,228.800,133.651,136777728,54.73,34.095,20.308,0,508.777,0.820,0,0.00,3348.6,4501.4,4162.7,338.4,386.0,1392.8,269.9,7196.9,0.748,1,0.000,0.007,0.000,0.000,0.000
26,256,205.570,326.095,137.177,187834368,55.54,39.497,28.896,0,550.699,0.820,0,0.00,3348.6,4499.4,4160.7,338.4,386.0,1389.6,269.7,7196.9,0.680,1,0.000,0.006,0.000,0.000,0.000
27,256,205.584,306.655,133.846,174698496,56.33,45.630,26.108,2,503.860,0.820,0,0.01,3348.6,4499.2,4160.5,338.4,386.0,1386.4,270.8,7197.2,0.658,1,0.000,0.006,0.000,0.000,0.000
28,256,207.977,356.635,133.108,198991872,57.02,45.465,29.404,1,538.032,0.820,0,0.00,3348.6,4499.5,4161.1,338.1,386.0,1395.5,280.5,7197.4,0.678,1,0.000,0.007,0.000,0.000,0.000
29,256,196.475,265.966,132.133,157814784,57.77,39.284,25.057,0,531.137,0.820,0,0.00,3348.6,4499.9,4161.6,338.0,386.0,1388.7,274.0,7197.9,0.789,1,0.000,0.007,0.000,0.000,0.000
30,256,196.034,235.948,132.873,145072128,58.52,41.773,21.388,3,493.944,0.820,0,0.01,3348.6,4500.1,4162.3,337.5,386.0,1389.1,277.4,7197.9,0.661,1,0.000,0.006,0.000,0.000,0.000
31,256,184.335,194.680,132.503,123248640,59.28,31.258,20.574,0,486.113,0.820,0,0.00,3348.6,4499.6,4161.9,337.5,386.0,1388.7,281.3,7197.9,0.678,1,0.000,0.006,0.000,0.000,0.000
32,256,173.656,137.318,131.845,77918208,60.12,29.714,12.097,1,443.952,0.820,0,0.00,3348.6,4500.1,4162.4,337.5,386.0,1381.3,274.3,7197.9,0.676,1,0.000,0.007,0.000,0.000,0.000
33,256,296.805,856.934,143.017,471269376,59.97,86.469,67.319,0,824.783,0.820,0,0.00,3348.6,4497.8,4160.3,337.2,386.0,1385.4,279.1,7198.2,0.747,1,0.000,0.007,0.000,0.000,0.000
34,256,303.079,856.400,145.364,474525696,59.83,88.851,68.864,1,835.821,0.820,0,0.00,3348.6,4499.0,4162.0,336.7,385.9,1376.3,256.2,7201.9,0.672,1,0.000,0.007,0.000,0.000,0.000
35,256,303.828,799.032,163.187,441839616,59.76,73.753,66.888,1,866.768,0.820,0,0.00,3348.6,4496.5,4161.1,335.1,385.9,1399.5,286.5,7205.9,0.697,1,0.000,0.009,0.000,0.000,0.000
36,256,220.943,415.059,138.860,230891520,60.17,48.375,33.708,0,611.235,0.820,0,0.00,3348.6,4496.2,4160.8,335.1,385.9,1395.2,280.2,7206.9,0.819,1,0.000,0.007,0.000,0.000,0.000
37,256,198.055,264.287,132.442,150994944,60.74,41.354,24.259,1,500.662,0.820,0,0.00,3348.6,4497.7,4162.4,335.1,385.9,1390.6,280.8,7206.7,0.655,1,0.000,0.007,0.000,0.000,0.000
38,256,221.717,442.913,136.580,244518912,61.08,48.838,36.299,1,582.931,0.820,0,0.00,3348.6,4496.2,4160.8,335.1,385.9,1388.1,281.6,7206.7,0.744,1,0.000,0.009,0.000,0.000,0.000
39,256,199.260,297.759,131.928,171737088,61.56,40.900,26.432,1,519.292,0.820,0,0.00,3348.6,4497.3,4161.9,335.1,385.9,1363.4,261.5,7206.4,0.824,1,0.000,0.008,0.000,0.000,0.000
40,256,251.486,557.953,142.668,316514304,61.72,62.268,46.551,0,699.939,0.820,0,0.00,3348.6,4497.8,4162.4,335.1,385.9,1364.8,269.1,7206.4,0.741,1,0.000,0.007,0.000,0.000,0.000
41,256,271.614,700.981,146.983,391569408,61.72,68.213,56.418,1,767.433,0.820,0,0.00,3348.6,4495.8,4160.4,335.1,385.9,1368.7,277.1,7207.2,0.653,1,0.000,0.008,0.000,0.000,0.000
42,256,293.380,827.080,152.324,448155648,61.62,74.654,66.401,0,829.482,0.820,0,0.00,3348.6,4497.5,4162.1,335.1,385.9,1361.7,269.7,7214.9,0.735,1,0.000,0.007,0.000,0.000,0.000
43,256,184.877,222.582,132.109,129171456,62.13,32.757,20.010,1,474.755,0.820,0,0.00,3348.6,4495.7,4160.7,334.7,385.9,1373.3,281.6,7215.4,0.673,1,0.000,0.008,0.000,0.000,0.000
44,256,219.901,402.848,137.603,233754624,62.42,48.498,33.800,1,603.270,0.820,0,0.00,3348.6,4495.0,4160.2,334.6,385.9,1374.5,283.3,7214.9,0.604,1,0.000,0.006,0.000,0.000,0.000
45,256,191.595,247.012,132.686,140623872,62.88,36.857,22.052,2,490.021,0.820,0,0.01,3348.6,4496.0,4161.2,334.6,385.9,1363.5,272.3,7214.9,0.692,1,0.000,0.007,0.000,0.000,0.000
46,256,201.098,301.120,135.344,169365504,63.27,40.128,25.627,0,507.021,0.820,0,0.00,3348.6,4495.0,4160.3,334.5,385.9,1353.7,262.6,7214.6,0.700,1,0.000,0.006,0.000,0.000,0.000
47,256,223.194,447.839,138.662,249851904,63.50,46.690,37.842,1,588.623,0.820,0,0.00,3348.6,4495.0,4160.4,334.2,385.9,1357.8,267.6,7214.1,0.658,1,0.000,0.007,0.000,0.000,0.000
48,256,244.422,550.456,144.430,315432960,63.60,54.742,45.250,1,660.305,0.820,0,0.00,3348.6,4496.3,4161.8,334.2,385.9,1369.3,279.2,7212.9,0.769,1,0.000,0.006,0.000,0.000,0.000
49,256,210.430,378.101,134.772,205701120,63.89,45.941,29.717,0,558.739,0.820,0,0.00,3348.6,4497.0,4162.4,334.2,385.9,1362.6,272.7,7212.1,0.769,1,0.000,0.007,0.000,0.000,0.000
50,256,180.223,173.165,133.389,94408704,64.36,30.986,15.848,1,458.237,0.820,0,0.00,3348.6,4495.5,4161.0,334.2,385.9,1358.1,268.2,7211.9,0.676,1,0.000,0.006,0.000,0.000,0.000
51,256,209.943,327.836,137.626,187932672,64.66,44.100,28.218,0,540.284,0.820,0,0.00,3348.6,4494.9,4160.4,334.2,385.9,1367.4,278.1,7210.6,1.019,1,0.000,0.007,0.000,0.000,0.000
52,256,161.698,102.922,132.868,56487936,65.16,19.587,9.243,2,433.473,0.820,0,0.01,3348.6,4497.0,4162.5,334.2,385.9,1370.0,279.7,7210.9,0.693,1,0.000,0.006,0.000,0.000,0.000
