# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=3098 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=ngram spec_draft_max=3 mtp_p_min=0 ngram_min_match=3
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,431.903,825.309,164.013,711340032,3.60,174.248,93.642,11503,1139.250,-1.000,0,44.93,3098.6,4400.2,3962.3,437.6,333.8,1593.4,269.5,6969.3,0.373,1,0.000,0.006,0.000,0.000,0.000
2,256,289.899,556.129,121.617,456646656,9.02,112.211,56.071,3,725.125,0.820,0,0.01,3098.6,4397.6,3959.9,437.3,336.7,1550.4,229.5,6981.3,1.523,1,0.001,0.008,0.000,0.000,0.000
3,256,321.569,645.916,136.020,520347648,12.83,117.407,68.143,20,835.118,0.820,0,0.08,3098.6,4365.0,3933.2,431.5,361.3,1554.1,237.8,6963.6,0.918,1,0.001,0.007,0.000,0.000,0.000
4,256,230.426,370.622,123.358,292024320,17.90,67.742,39.326,1,614.321,0.820,0,0.00,3098.6,4363.8,3934.6,429.0,361.3,1543.8,245.8,6962.3,0.632,1,0.001,0.006,0.000,0.000,0.000
5,256,229.770,357.060,124.284,287379456,22.20,63.057,42.429,1,641.145,0.820,0,0.00,3098.6,4363.2,3934.0,429.0,361.3,1562.4,263.3,6962.6,0.605,1,0.000,0.006,0.000,0.000,0.000
6,256,233.100,379.969,121.076,303575040,25.75,70.645,41.378,1,622.627,0.820,0,0.00,3098.6,4362.9,3933.6,429.0,361.3,1564.9,268.1,6963.2,0.699,1,0.001,0.006,0.000,0.000,0.000
7,256,201.406,252.756,126.736,188129280,29.58,49.177,25.493,21,527.558,0.820,0,0.08,3098.6,4363.7,3935.0,428.5,361.2,1559.0,265.5,6964.1,0.603,1,0.001,0.008,0.000,0.000,0.000
8,256,224.064,360.780,126.452,284516352,32.33,59.512,38.100,1,616.170,0.820,0,0.00,3098.6,4361.5,3933.8,427.3,361.2,1570.9,282.1,6964.1,0.591,1,0.001,0.006,0.000,0.000,0.000
9,256,241.072,410.239,124.968,332513280,34.46,71.693,44.411,1,630.640,0.820,0,0.00,3098.6,4361.2,3933.8,427.1,361.2,1555.4,267.7,6964.6,0.639,1,0.000,0.006,0.000,0.000,0.000
10,256,234.499,387.419,124.278,308809728,36.48,67.619,42.602,4,632.830,0.820,0,0.02,3098.6,4361.7,3935.1,426.3,361.2,1554.2,266.5,6966.2,0.581,1,0.001,0.007,0.000,0.000,0.000
11,256,714.998,1479.627,383.867,1291735616,38.81,151.349,179.781,25,2287.393,0.820,0,0.10,3098.6,4362.1,3935.5,426.3,363.4,1535.7,245.8,6967.7,0.646,4,0.001,0.009,0.000,0.000,0.000
12,256,0.000,0.000,0.000,0,38.81,0.000,0.000,0,0.000,0.820,0,0.00,3098.6,4362.1,3935.5,426.3,363.4,1535.7,245.8,6967.7,0.000,4,0.000,0.000,0.000,0.000,0.000
