# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=2445 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,413.283,903.999,118.223,807333888,2.51,188.272,106.788,878,933.069,-1.000,0,3.43,2445.2,3725.9,3434.7,290.8,208.4,1903.3,279.0,6638.3,0.353,1,0.000,0.007,0.000,0.000,0.000
2,256,301.885,598.856,127.454,499310592,7.61,101.913,72.518,0,734.715,0.820,0,0.00,2445.2,3724.0,3432.8,290.8,208.4,1892.8,267.2,6638.8,1.818,1,0.000,0.007,0.000,0.000,0.000
3,256,322.036,686.446,120.159,573677568,11.07,119.152,82.725,1,779.760,0.820,0,0.00,2445.2,3724.4,3433.2,290.8,208.4,1894.4,268.9,6639.6,0.625,1,0.000,0.007,0.000,0.000,0.000
4,256,235.338,410.390,124.073,326688768,15.99,67.128,44.137,1,582.131,0.820,0,0.00,2445.2,3726.0,3434.7,290.8,208.4,1903.3,277.3,6639.8,0.712,1,0.000,0.006,0.000,0.000,0.000
5,256,233.579,390.789,124.874,314044416,20.24,63.158,45.547,1,568.516,0.820,0,0.00,2445.2,3724.7,3433.5,290.8,208.4,1898.5,272.5,6640.1,0.650,1,0.000,0.006,0.000,0.000,0.000
6,256,237.663,397.418,124.041,314241024,23.86,69.704,43.918,0,591.177,0.820,0,0.00,2445.2,3724.6,3433.4,290.8,208.4,1900.2,271.4,6641.8,0.663,1,0.000,0.007,0.000,0.000,0.000
7,256,194.809,254.108,121.143,190894080,27.80,44.130,29.536,1,451.021,0.820,0,0.00,2445.2,3726.1,3434.9,290.8,208.3,1900.0,271.2,6642.1,0.747,1,0.000,0.007,0.000,0.000,0.000
8,256,226.335,377.654,126.558,300613632,30.56,56.592,43.185,1,552.596,0.820,0,0.00,2445.2,3724.4,3433.1,290.8,208.3,1908.8,276.6,6642.8,0.626,1,0.000,0.007,0.000,0.000,0.000
9,256,241.934,428.973,118.652,346042368,32.72,74.530,48.753,0,583.523,0.820,0,0.00,2445.2,3726.4,3435.2,290.8,208.3,1909.2,275.9,6643.1,0.681,1,0.000,0.006,0.000,0.000,0.000
10,256,243.149,427.377,121.952,346730496,34.63,71.424,49.773,0,595.080,0.820,0,0.00,2445.2,3724.7,3433.4,290.8,208.3,1902.5,266.2,6643.6,0.629,1,0.000,0.007,0.000,0.000,0.000
