# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=5 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=3280 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,967.404,732.094,746.441,671342592,4.05,110.236,110.728,12760,3659.403,-1.000,0,49.84,3280.9,4574.3,4139.1,434.8,339.1,1472.2,254.1,7108.1,0.494,1,0.000,0.014,0.000,0.000,0.000
2,256,551.110,525.940,395.641,445980672,9.54,79.003,76.467,3,1982.292,0.820,0,0.01,3280.9,4574.9,4139.7,434.8,339.1,1433.0,214.9,7108.3,1.543,1,0.000,0.010,0.000,0.000,0.000
3,256,327.155,589.032,181.705,504348672,13.45,62.525,82.925,25,1182.468,0.820,0,0.10,3280.9,4572.8,4137.7,434.8,339.0,1438.0,218.2,7109.1,0.732,1,0.000,0.014,0.000,0.000,0.000
4,256,252.438,362.479,149.172,284024832,18.52,54.506,48.760,2,908.455,0.820,0,0.01,3280.9,4574.1,4138.9,434.8,339.0,1433.3,212.1,7109.6,0.888,1,0.000,0.009,0.000,0.000,0.000
5,256,564.472,378.601,451.342,282046464,22.82,64.152,48.978,1,2110.915,0.820,0,0.00,3280.9,4561.0,4127.6,433.0,349.6,1458.2,241.8,7098.6,0.800,1,0.000,0.015,0.000,0.000,0.000
6,256,444.534,399.479,332.235,295575552,26.38,66.023,46.277,1,1664.417,0.820,0,0.00,3280.9,4560.5,4127.1,433.0,349.6,1451.4,222.8,7101.8,0.746,1,0.000,0.012,0.000,0.000,0.000
7,256,213.315,252.951,140.063,182796288,30.21,43.685,29.567,27,756.772,0.820,0,0.11,3280.9,4562.3,4128.9,433.0,349.5,1439.5,210.7,7102.3,0.890,1,0.000,0.008,0.000,0.000,0.000
8,256,1003.100,415.668,892.592,281849856,32.93,66.774,43.734,1,3857.919,0.820,0,0.00,3280.9,4561.1,4127.7,433.0,349.5,1440.4,209.8,7104.8,0.715,1,0.000,0.015,0.000,0.000,0.000
9,256,468.981,434.178,344.738,332513280,35.02,69.557,54.686,1,1724.598,0.820,0,0.00,3280.9,4557.8,4124.4,433.0,353.9,1476.1,251.2,7100.6,0.892,1,0.000,0.013,0.000,0.000,0.000
10,256,652.265,410.361,536.460,303476736,37.04,63.571,52.234,1,2431.792,0.820,0,0.00,3280.9,4552.0,4121.6,430.0,354.7,1449.9,230.1,7100.1,0.775,1,0.000,0.014,0.000,0.000,0.000
