# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=3349 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=1 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,435.724,768.447,178.290,668676096,4.08,157.882,99.552,17133,1214.368,-1.000,0,66.93,3349.8,4675.8,4223.9,451.6,322.7,1510.6,293.4,7249.9,0.495,1,0.000,0.008,0.000,0.000,0.000
2,256,499.171,540.401,341.471,435314688,9.67,92.817,64.882,3,1430.181,0.820,0,0.01,3349.8,4660.6,4208.7,451.6,338.6,1529.3,297.0,7242.1,1.596,1,0.000,0.008,0.000,0.000,0.000
3,256,314.244,598.021,139.713,499015680,13.62,101.484,73.048,1,904.713,0.820,0,0.00,3349.8,4658.9,4206.9,451.6,340.7,1499.9,277.4,7236.9,0.678,1,0.000,0.007,0.000,0.000,0.000
4,256,242.371,352.498,138.369,284024832,18.68,58.869,45.133,1,722.590,0.820,0,0.00,3349.8,4657.0,4205.1,451.6,341.2,1507.0,288.5,7235.9,0.691,1,0.000,0.007,0.000,0.000,0.000
5,256,241.153,349.753,142.479,279379968,22.98,55.770,42.905,1,729.137,0.820,0,0.00,3349.8,4656.5,4204.5,451.6,341.2,1482.6,264.4,7236.1,0.695,1,0.000,0.007,0.000,0.000,0.000
6,256,240.345,378.690,135.719,295575552,26.54,62.744,41.883,1,702.127,0.820,0,0.00,3349.8,4658.7,4206.7,451.6,341.2,1482.5,266.3,7236.1,0.689,1,0.000,0.007,0.000,0.000,0.000
7,256,209.611,238.438,139.635,182796288,30.35,43.189,26.786,1,611.686,0.820,0,0.00,3349.8,4657.4,4205.4,451.6,341.2,1486.5,263.3,7237.9,0.617,1,0.000,0.007,0.000,0.000,0.000
8,256,244.557,360.715,145.471,281849856,33.06,57.740,41.346,1,734.281,0.820,0,0.00,3349.8,4655.5,4204.2,450.9,341.2,1505.5,281.6,7238.7,0.627,1,0.000,0.008,0.000,0.000,0.000
9,256,254.160,412.800,138.503,332513280,35.15,72.486,43.172,1,720.350,0.820,0,0.00,3349.8,4657.3,4206.0,450.9,341.2,1480.0,256.1,7242.2,0.723,1,0.000,0.007,0.000,0.000,0.000
10,256,242.558,377.523,135.105,303476736,37.16,63.510,43.943,1,686.052,0.820,0,0.00,3349.8,4657.5,4206.2,450.9,341.2,1467.1,243.1,7242.9,0.612,1,0.000,0.008,0.000,0.000,0.000
