t,pswpin,pswpout,pgmajfault,memavail_kb,swapfree_kb,bmoe_pid,bmoe_minflt,bmoe_majflt,bmoe_cpu_ticks,thermal_status,cap0,cap6
1789629146,186931909,279917995,194416045,5465652,10351312,,,,,1,1747200,1651200
1789629151,186932020,279917995,194416156,5472760,10352080,,,,,1,1747200,1651200
1789629156,186932084,279922323,194416220,5484044,10334672,,,,,1,1747200,1651200
1789629161,186932306,279922323,194416452,5555416,10335952,,,,,1,1747200,1651200
1789629167,186932394,279924014,194416540,5556768,10329324,,,,,1,1747200,1651200
1789629172,186932452,279924014,194416598,5569760,10329580,,,,,1,1747200,1651200
1789629177,186932540,279925632,194416688,5576968,10323180,,,,,1,1747200,1651200
1789629182,186932702,279925632,194416857,5577984,10323948,,,,,1,1747200,1651200
1789629187,186932762,279925632,194416917,5578492,10323948,,,,,1,1747200,1651200
1789629192,186932946,279925632,194417132,5551160,10324732,,,,,1,1747200,1651200
1789629197,186933003,279925632,194417189,5552644,10325256,,,,,1,1747200,1651200
1789629203,186933076,279925632,194417262,5554112,10325512,,,,,1,1747200,1651200
1789629208,186933160,279925632,194417346,5554200,10325768,,,,,1,1747200,1651200
1789629213,186933227,279925632,194417413,5552760,10326280,,,,,1,1747200,1651200
1789629218,186933285,279925632,194417471,5552428,10326280,,,,,1,1747200,1651200
1789629223,186933662,279925632,194417897,5549180,10328328,,,,,0,2016000,2476800
1789629228,186941248,279925632,194425708,5504504,10363932,,,,,0,2016000,2476800
1789629233,186941545,279926408,194426015,5499504,10361636,,,,,0,2016000,2476800
1789629238,186941653,279928801,194426123,5498652,10352420,,,,,0,2016000,2476800
1789629244,186941722,279930321,194426192,5504620,10346532,,,,,0,2016000,2476800
1789629249,186943087,279930321,194427608,5506564,10351908,,,,,0,2016000,2476800
1789629254,186943374,279930321,194427949,5491628,10353196,,,,,0,2016000,2476800
1789629259,186943510,279930321,194428086,5490944,10353964,,,,,0,2016000,2476800
1789629264,186943572,279930321,194428148,5491768,10354220,,,,,0,2016000,2476800
1789629269,186943637,279930321,194428213,5495972,10354476,,,,,0,2016000,2476800
1789629274,186943721,279930321,194428300,5493808,10354988,,,,,0,2016000,2476800
1789629280,186943793,279930321,194428372,5501008,10355244,,,,,0,2016000,2476800
1789629285,186943883,279930321,194428462,5496744,10355500,,,,,0,2016000,2476800
1789629290,186943940,279930321,194428519,5498744,10355756,,,,,0,2016000,2476800
1789629295,186944010,279930321,194428589,5496188,10356268,,,,,0,2016000,2476800
1789629300,186944116,279930321,194428697,5490024,10356532,,,,,0,2016000,2476800
1789629305,186944175,279930321,194428756,5490672,10356788,,,,,0,2016000,2476800
1789629310,186944560,279930321,194429152,5498296,10358324,,,,,0,2016000,2476800
1789629316,186944625,279930321,194429217,5500116,10358580,,,,,0,2016000,2476800
1789629321,186944691,279930321,194429283,5498116,10358836,,,,,0,2016000,2476800
1789629326,186944749,279930321,194429341,5501632,10359092,,,,,0,2016000,2476800
1789629331,186944815,279930321,194429408,5500796,10359348,,,,,0,2016000,2476800
1789629336,186944865,279930321,194429458,5498204,10359604,,,,,0,2016000,2476800
1789629341,186944944,279930321,194429537,5497384,10359860,,,,,0,2016000,2476800
1789629347,186945028,279930321,194429628,5495204,10360116,,,,,0,2016000,2476800
1789629352,186945236,279930321,194429851,5491724,10360892,,,,,0,2016000,2476800
1789629357,186945281,279930321,194429896,5488108,10360892,,,,,0,2016000,2476800
1789629362,186945349,279930321,194429964,5484384,10361148,,,,,0,2016000,2476800
1789629367,186945415,279930321,194430031,5487844,10361404,,,,,0,2016000,2476800
1789629372,186945505,279930321,194430121,5486028,10361916,,,,,0,2016000,2476800
1789629378,186945588,279930321,194430204,5485032,10362172,,,,,0,2016000,2476800
1789629383,186945970,279930321,194430597,5472808,10363708,,,,,0,2016000,2476800
1789629388,186946042,279930321,194430670,5471088,10364260,,,,,0,2016000,2476800
1789629393,186946043,279930321,194430671,5474664,10364260,,,,,0,2016000,2476800
1789629398,186947403,279930321,194432069,5469000,10369644,,,,,0,2016000,2476800
1789629403,186947480,279930321,194432160,5464180,10370164,,,,,0,2016000,2476800
1789629409,186947706,279930321,194432440,5476780,10371248,,,,,0,2016000,2476800
1789629414,186947762,279930321,194432497,5471704,10371284,,,,,0,2016000,2476800
1789629419,186947815,279930321,194432551,5475200,10371540,,,,,0,2016000,2476800
1789629424,186947817,279930321,194432553,5474284,10371548,,,,,0,2016000,2476800
1789629429,186947817,279930321,194432553,5471124,10371556,,,,,0,2016000,2476800
1789629434,186947888,279930321,194432625,5472008,10371812,,,,,0,2016000,2476800
1789629439,186947961,279930321,194432698,5469252,10372340,,,,,0,2016000,2476800
1789629445,186947961,279930321,194432698,5469132,10372340,,,,,0,2016000,2476800
1789629450,186947993,279930321,194432730,5466636,10372340,,,,,0,2016000,2476800
1789629455,186953306,279930321,194438670,5342204,10411144,,,,,0,2016000,2476800
1789629460,186953737,279930659,194439158,5378672,10410888,,,,,0,2016000,2476800
1789629465,186953740,279932409,194439161,5386908,10403740,,,,,0,2016000,2476800
1789629470,186953762,279942148,194439213,5424768,10364316,,,,,0,2016000,2476800
1789629475,186953777,279942148,194439228,5429564,10364572,,,,,0,2016000,2476800
1789629480,186955019,279943220,194440824,5292792,10365356,,,,,0,2016000,2476800
1789629485,186959192,279947427,194447830,4791328,10397860,,,,,0,2016000,2476800
1789629491,186964042,279958757,194453201,4696160,10423840,,,,,0,2016000,2476800
1789629496,186965431,279958757,194454686,4660036,10434632,,,,,0,2016000,2476800
1789629501,186968653,279973885,194458457,4683388,10387908,,,,,0,2016000,2476800
1789629506,186968915,279978613,194458789,4602928,10369504,,,,,0,2016000,2476800
1789629511,186969014,279995437,194458946,4719052,10302268,,,,,0,2016000,2476800
1789629516,186971666,279999563,194461905,4705784,10300668,,,,,0,2016000,2476800
1789629521,186973122,280003164,194463416,4686144,10291852,,,,,0,2016000,2476800
1789629526,186973135,280004830,194463438,4689036,10285196,,,,,0,2016000,2476800
1789629531,186973139,280007343,194463443,4695972,10274728,,,,,0,2016000,2476800
1789629537,186973165,280010469,194463469,4753784,10261940,,,,,0,2016000,2476800
1789629542,186973203,280013770,194463510,4801036,10248372,,,,,0,2016000,2476800
1789629547,186975693,280014826,194466058,4777760,10254528,,,,,0,2016000,2476800
1789629552,186978410,280015470,194468890,4769668,10272268,,,,,0,2016000,2476800
1789629557,186978528,280017180,194469144,4781652,10265932,,,,,0,2016000,2476800
1789629562,186986646,280026834,194477627,4763452,10264736,,,,,0,2016000,2476800
1789629567,186986770,280028685,194477934,4718356,10257920,,,,,0,2016000,2476800
1789629573,186986843,280029993,194478056,4724000,10252800,,,,,0,2016000,2476800
1789629578,186986859,280032375,194478076,4752300,10243356,,,,,0,2016000,2476800
1789629583,186986882,280032375,194478100,4808616,10243388,,,,,0,2016000,2476800
1789629588,186986944,280032375,194478162,4788676,10244172,,,,,0,2016000,2476800
1789629593,186986957,280033671,194478176,4795448,10239060,,,,,0,2016000,2476800
1789629598,186987624,280033671,194478845,4796612,10241732,,,,,0,2016000,2476800
1789629603,186987642,280033671,194478867,4797888,10241732,,,,,0,2016000,2476800
1789629608,186990486,280035292,194481969,4756036,10247828,,,,,0,2016000,2476800
1789629614,186990491,280036137,194481977,4752232,10244244,,,,,0,2016000,2476800
1789629619,186991068,280037916,194482569,4750984,10239768,,,,,0,2016000,2476800
1789629624,186991106,280037916,194482608,4750688,10242028,,,,,0,2016000,2476800
1789629629,186991112,280037916,194482614,4749976,10242028,,,,,0,2016000,2476800
1789629634,186991114,280037916,194482616,4748288,10242028,,,,,0,2016000,2476800
1789629639,186991128,280037916,194482634,4749024,10242028,,,,,0,2016000,2476800
1789629645,186991191,280037916,194482728,4748936,10242284,,,,,0,2016000,2476800
1789629650,186991192,280037916,194482730,4748520,10242284,,,,,0,2016000,2476800
1789629655,186992412,280040774,194484039,4743336,10235628,,,,,0,2016000,2476800
1789629660,186992421,280040774,194484048,4754164,10235628,,,,,0,2016000,2476800
1789629665,186992516,280040774,194484210,4752024,10235628,,,,,0,2016000,2476800
1789629670,186992520,280040774,194484219,4751268,10235628,,,,,0,2016000,2476800
1789629676,186992539,280040774,194484238,4750088,10235628,,,,,0,2016000,2476800
