# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=3801 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,502.522,831.013,192.588,604680192,4.80,289.485,20.450,17121,1430.314,-1.000,0,66.88,3801.2,5655.2,4697.9,956.8,354.1,1480.7,315.3,7880.9,0.373,1,0.000,0.008,0.000,0.000,0.000
2,256,294.988,543.612,91.569,397983744,10.69,182.238,21.181,0,862.950,0.820,0,0.00,3801.2,5652.5,4695.2,956.8,356.1,1488.6,324.9,7875.9,5.416,1,0.000,0.008,0.000,0.000,0.000
3,256,278.937,629.891,112.278,464351232,14.86,142.361,24.298,21,701.904,0.820,0,0.08,3801.2,5652.8,4695.5,956.8,356.1,1475.4,311.2,7876.4,0.716,1,0.000,0.011,0.000,0.000,0.000
4,256,199.332,342.115,109.285,246693888,20.13,75.691,14.355,1,575.916,0.820,0,0.00,3801.2,5651.8,4694.5,956.8,356.1,1474.8,309.0,7877.6,0.964,1,0.000,0.010,0.000,0.000,0.000
5,256,218.765,372.514,117.499,271380480,24.37,83.550,17.716,1,628.691,0.820,0,0.00,3801.2,5653.7,4696.4,956.8,356.1,1469.7,293.9,7879.9,0.741,1,0.000,0.010,0.000,0.000,0.000
6,256,205.918,350.286,112.887,252911616,28.13,76.352,16.679,0,605.669,0.820,0,0.00,3801.2,5653.3,4696.0,956.8,356.1,1468.8,291.4,7880.4,0.985,1,0.000,0.011,0.000,0.000,0.000
7,256,181.245,261.744,109.626,180129792,31.85,58.463,13.157,21,562.135,0.820,0,0.08,3801.2,5652.3,4694.9,956.8,356.1,1467.1,286.2,7883.6,0.795,1,0.000,0.009,0.000,0.000,0.000
8,256,208.223,356.543,112.276,260517888,34.59,80.897,15.050,1,604.114,0.820,0,0.00,3801.2,5654.0,4696.7,956.8,356.1,1461.1,266.5,7888.6,0.636,1,0.000,0.011,0.000,0.000,0.000
9,256,229.472,445.296,113.978,327081984,36.62,97.343,18.150,0,635.541,0.820,0,0.00,3801.2,5653.2,4695.9,956.8,356.1,1461.8,267.2,7888.9,0.689,1,0.000,0.011,0.000,0.000,0.000
10,256,221.977,417.611,109.989,298045440,38.58,91.929,20.058,0,605.639,0.820,0,0.00,3801.2,5652.0,4694.7,956.8,356.1,1460.9,264.6,7889.1,0.927,1,0.000,0.010,0.000,0.000,0.000
11,256,175.704,265.962,108.830,190992384,40.88,56.579,10.295,20,529.214,0.820,0,0.08,3801.2,5652.0,4694.7,956.8,356.0,1460.9,264.6,7889.4,0.747,1,0.000,0.009,0.000,0.000,0.000
12,256,240.202,489.602,111.751,356901440,42.13,108.184,20.267,0,646.227,0.820,0,0.00,3801.2,5653.6,4696.3,956.8,356.0,1458.3,262.0,7889.6,0.715,1,0.000,0.009,0.000,0.000,0.000
13,256,199.534,314.686,118.467,230301696,43.85,65.984,15.082,0,611.507,0.820,0,0.00,3801.2,5653.6,4696.3,956.8,356.0,1458.1,261.8,7890.1,0.969,1,0.000,0.011,0.000,0.000,0.000
14,256,269.551,602.097,111.214,449347584,44.42,136.346,21.991,0,684.411,0.820,0,0.00,3801.2,5653.6,4696.3,956.8,356.0,1458.1,261.8,7890.4,0.788,1,0.000,0.012,0.000,0.000,0.000
15,256,178.606,252.552,107.704,180031488,46.11,59.766,11.136,20,535.187,0.820,0,0.08,3801.2,5653.6,4696.3,956.8,355.9,1456.6,245.2,7892.1,0.741,1,0.000,0.009,0.000,0.000,0.000
16,256,162.021,190.873,110.422,137072640,47.83,43.277,8.321,0,516.742,0.820,0,0.00,3801.2,5653.6,4696.3,956.8,355.9,1456.6,245.2,7892.4,0.935,1,0.000,0.009,0.000,0.000,0.000
17,256,172.674,206.491,114.596,152580096,49.34,49.283,8.795,0,540.703,0.820,0,0.00,3801.2,5653.6,4696.3,956.8,355.9,1455.5,244.0,7893.4,0.741,1,0.000,0.009,0.000,0.000,0.000
18,256,292.780,702.124,108.656,504840192,49.41,158.692,25.432,0,699.769,0.820,0,0.00,3801.2,5653.7,4696.4,956.8,355.9,1454.8,243.2,7893.9,0.826,1,0.000,0.011,0.000,0.000,0.000
19,256,197.558,295.900,121.241,214794240,50.53,64.149,12.167,20,602.664,0.820,0,0.08,3801.2,5653.7,4696.4,956.8,355.9,1454.5,243.0,7894.1,0.832,1,0.000,0.031,0.000,0.000,0.000
