# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=6 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4000 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=2 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,651.800,471.380,198.137,588681216,4.98,381.873,71.790,16470,2797.793,-1.000,0,64.34,4000.0,5677.0,4797.3,879.3,397.7,1546.8,231.2,7977.1,0.419,1,0.000,0.007,0.000,0.000,0.000
2,256,386.157,311.228,63.751,387317760,10.96,268.673,53.732,1,1710.445,0.820,0,0.00,4000.0,5659.2,4794.7,864.0,401.3,1549.0,254.9,7969.1,1.300,1,0.000,0.005,0.000,0.000,0.000
3,256,456.359,370.980,70.902,443019264,15.30,322.421,63.036,277,2046.636,0.820,0,1.08,4000.0,5649.0,4799.8,848.8,396.4,1542.8,263.0,7980.2,0.615,1,0.000,0.006,0.000,0.000,0.000
4,256,334.898,222.034,64.986,236027904,20.62,237.944,31.969,2,1531.927,0.820,0,0.01,4000.0,5631.9,4796.7,834.8,398.4,1546.4,289.6,7974.6,0.653,1,0.000,0.005,0.000,0.000,0.000
5,256,407.240,244.220,125.965,266047488,24.87,239.964,41.310,1,1825.382,0.820,0,0.00,4000.0,5629.8,4794.6,834.8,399.5,1517.3,230.0,7995.5,0.570,1,0.000,0.008,0.000,0.000,0.000
6,256,311.361,205.316,75.160,242245632,28.66,202.378,33.822,1,1399.368,0.820,0,0.00,4000.0,5615.9,4796.5,819.0,397.4,1526.6,263.5,7995.5,0.587,1,0.000,0.006,0.000,0.000,0.000
7,256,280.307,163.888,66.574,172130304,32.40,172.243,41.490,73,1301.467,0.820,0,0.29,4000.0,5608.9,4789.4,819.0,405.6,1522.2,255.3,7988.1,0.578,1,0.000,0.005,0.000,0.000,0.000
8,256,326.303,209.224,70.113,249851904,35.18,224.155,32.035,1,1541.555,0.820,0,0.00,4000.0,5584.8,4781.5,802.9,413.3,1525.5,284.0,7978.4,0.554,1,0.000,0.006,0.000,0.000,0.000
9,256,374.949,263.468,66.036,311083008,37.26,272.417,36.496,1,1674.928,0.820,0,0.00,4000.0,5566.4,4763.0,802.9,430.5,1529.0,293.3,7956.7,4.788,1,0.000,0.006,0.000,0.000,0.000
10,256,293.890,249.569,74.639,298045440,39.18,162.784,56.466,647,1293.655,0.820,0,2.53,4000.0,5562.6,4759.8,802.4,434.3,1521.2,289.3,7951.9,0.546,1,0.000,0.007,0.000,0.000,0.000
11,256,207.246,166.024,74.257,190992384,41.45,94.345,38.644,73,926.718,0.820,0,0.29,4000.0,5558.3,4755.7,802.2,439.1,1524.2,290.6,7947.2,0.628,1,0.000,0.009,0.000,0.000,0.000
12,256,294.118,294.404,72.811,356901440,42.67,133.654,87.653,1,1251.251,0.820,0,0.00,4000.0,5586.1,4783.5,802.2,411.4,1514.4,280.9,7973.4,1.026,1,0.000,0.009,0.000,0.000,0.000
13,256,217.522,191.657,73.956,224968704,44.39,92.065,51.502,1,941.983,0.820,0,0.00,4000.0,5582.5,4779.9,802.2,415.9,1514.1,280.6,7968.7,1.164,1,0.000,0.009,0.000,0.000,0.000
14,256,334.741,323.402,75.026,414683136,45.10,158.450,101.265,1,1444.825,0.820,0,0.00,4000.0,5595.3,4792.7,802.2,401.5,1515.6,282.1,7981.0,1.132,1,0.000,0.011,0.000,0.000,0.000
15,256,188.756,149.107,76.620,177266688,46.76,69.016,43.120,73,864.412,0.820,0,0.29,4000.0,5596.8,4794.2,802.2,401.2,1512.1,278.5,7980.8,1.060,1,0.000,0.009,0.000,0.000,0.000
16,256,176.522,123.212,81.830,134406144,48.47,63.699,30.992,1,837.570,0.820,0,0.00,4000.0,5596.4,4793.9,802.2,401.2,1510.4,272.6,7983.8,1.111,1,0.000,0.010,0.000,0.000,0.000
17,256,177.141,130.910,70.675,152580096,49.96,80.771,25.695,3,830.109,0.820,0,0.01,4000.0,5596.6,4794.0,802.2,401.1,1509.6,270.6,7984.3,0.722,1,0.000,0.008,0.000,0.000,0.000
18,256,355.076,379.604,69.093,488742912,50.06,179.617,106.366,0,1432.094,0.820,0,0.00,4000.0,5597.7,4795.1,802.2,401.1,1507.2,268.1,7984.8,1.050,1,0.000,0.009,0.000,0.000,0.000
19,256,193.602,169.217,75.231,203931648,51.19,74.382,43.989,74,869.015,0.820,0,0.29,4000.0,5597.5,4794.9,802.2,400.8,1507.1,268.0,7985.8,1.036,1,0.000,0.010,0.000,0.000,0.000
20,256,173.296,133.634,80.931,152973312,52.42,60.107,32.258,2,801.256,0.820,0,0.01,4000.0,5596.7,4794.1,802.2,400.8,1507.1,267.7,7986.0,0.995,1,0.000,0.010,0.000,0.000,0.000
21,256,151.675,108.358,75.841,128876544,53.65,47.627,28.207,1,729.061,0.820,0,0.00,4000.0,5596.9,4794.3,802.2,400.8,1506.2,266.8,7986.5,1.002,1,0.000,0.009,0.000,0.000,0.000
22,256,141.988,91.388,81.861,99250176,54.89,39.125,21.002,0,711.214,0.820,0,0.00,4000.0,5596.2,4793.6,802.2,400.8,1508.1,268.7,7986.8,1.022,1,0.000,0.009,0.000,0.000,0.000
23,256,222.149,204.875,74.796,243634176,55.59,94.510,52.842,73,976.004,0.820,0,0.29,4000.0,5596.6,4794.0,802.2,400.6,1506.1,266.7,7987.8,0.884,1,0.000,0.009,0.000,0.000,0.000
24,256,132.311,82.136,73.945,86507520,56.73,40.145,18.221,2,639.896,0.820,0,0.01,4000.0,5596.4,4793.9,802.2,400.6,1504.8,265.4,7988.0,1.061,1,0.000,0.008,0.000,0.000,0.000
25,256,139.293,94.704,75.012,107053056,57.74,42.939,21.342,0,668.156,0.820,0,0.00,4000.0,5596.4,4793.8,802.2,400.6,1505.1,265.6,7988.3,0.917,1,0.000,0.008,0.000,0.000,0.000
26,256,191.630,152.034,80.350,176971776,58.48,71.195,40.086,0,881.011,0.820,0,0.00,4000.0,5596.0,4793.4,802.2,400.6,1506.3,266.9,7988.5,0.802,1,0.000,0.009,0.000,0.000,0.000
27,256,138.170,88.191,77.616,97173504,59.41,40.688,19.866,74,673.558,0.820,0,0.29,4000.0,5596.0,4793.4,802.2,400.2,1505.8,266.3,7989.0,0.880,1,0.000,0.008,0.000,0.000,0.000
28,256,150.359,108.277,76.183,123543552,60.21,49.419,24.757,1,708.773,0.820,0,0.00,4000.0,5596.5,4793.9,802.2,400.2,1504.7,265.2,7989.3,0.724,1,0.000,0.008,0.000,0.000,0.000
29,256,115.521,62.736,72.710,67055616,61.12,28.098,14.713,0,580.394,0.820,0,0.00,4000.0,5596.7,4794.1,802.2,400.2,1503.7,264.2,7989.3,1.087,1,0.000,0.008,0.000,0.000,0.000
30,256,116.361,62.657,74.457,64782336,61.99,28.625,13.280,2,571.981,0.820,0,0.01,4000.0,5597.2,4794.6,802.2,400.2,1502.7,263.2,7989.8,0.821,1,0.000,0.008,0.000,0.000,0.000
31,256,127.678,69.505,75.518,74956800,62.78,37.578,14.582,73,625.050,0.820,0,0.29,4000.0,5597.7,4795.1,802.2,400.0,1499.9,260.4,7992.0,0.671,1,0.000,0.008,0.000,0.000,0.000
32,256,101.976,48.933,68.395,50958336,63.60,25.164,8.418,1,510.692,0.820,0,0.00,4000.0,5597.7,4795.2,802.2,400.0,1501.6,262.1,7992.0,0.691,1,0.000,0.006,0.000,0.000,0.000
33,256,329.088,348.992,68.775,449740800,63.42,166.949,93.365,0,1312.001,0.820,0,0.00,4000.0,5597.6,4795.0,802.2,400.0,1500.4,260.9,7992.5,0.690,1,0.000,0.008,0.000,0.000,0.000
34,256,294.944,299.864,71.484,388706304,63.39,138.267,85.193,1,1216.839,0.820,0,0.00,4000.0,5597.1,4794.5,802.2,400.0,1501.3,261.7,7993.3,1.018,1,0.000,0.010,0.000,0.000,0.000
35,256,305.813,315.329,73.109,403918848,63.33,145.107,87.597,73,1271.381,0.820,0,0.29,4000.0,5598.2,4795.7,802.2,399.6,1498.7,259.1,7993.5,1.119,1,0.000,0.012,0.000,0.000,0.000
36,256,204.804,160.920,74.367,172228608,63.79,93.537,36.900,2,927.657,0.820,0,0.01,4000.0,5598.7,4796.1,802.2,399.6,1490.9,250.2,7995.8,1.089,1,0.000,0.010,0.000,0.000,0.000
37,256,151.502,101.386,79.757,113172480,64.35,45.294,26.450,1,729.606,0.820,0,0.00,4000.0,5599.1,4796.5,802.2,399.6,1488.8,247.0,7998.3,0.875,1,0.000,0.009,0.000,0.000,0.000
38,256,183.419,154.017,77.190,182992896,64.74,66.872,39.357,1,850.106,0.820,0,0.00,4000.0,5599.0,4796.4,802.2,399.6,1488.1,246.3,7999.3,1.046,1,0.000,0.008,0.000,0.000,0.000
39,256,160.645,111.741,79.453,126013440,65.24,52.272,28.920,73,753.965,0.820,0,0.29,4000.0,5597.3,4794.7,802.2,399.3,1487.6,245.8,8000.0,0.976,1,0.000,0.009,0.000,0.000,0.000
