# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=3754 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,593.953,735.388,354.819,623345664,4.59,153.083,86.051,22808,1656.224,-1.000,0,89.09,3754.4,5330.4,4707.6,622.4,244.0,1516.9,269.6,8237.5,0.429,1,0.000,0.010,0.000,0.000,0.000
2,256,303.148,496.756,154.682,411316224,10.37,94.852,53.614,3,830.310,0.820,0,0.01,3754.4,5329.6,4708.4,620.8,244.0,1497.9,260.2,8236.2,1.385,1,0.000,0.007,0.000,0.000,0.000
3,256,296.712,566.319,128.588,467017728,14.54,105.162,62.961,5,850.535,0.820,0,0.02,3754.4,5328.1,4708.7,619.0,244.0,1496.9,263.9,8236.0,0.661,1,0.000,0.009,0.000,0.000,0.000
4,256,220.687,320.349,132.532,249360384,19.81,55.805,32.349,2,645.832,0.820,0,0.01,3754.4,5326.7,4707.5,618.8,243.9,1484.0,257.6,8236.2,0.709,1,0.000,0.007,0.000,0.000,0.000
5,256,223.821,345.956,126.380,274046976,24.06,62.972,34.470,1,640.718,0.820,0,0.00,3754.4,5326.0,4706.8,618.8,243.9,1479.6,253.7,8236.2,0.654,1,0.000,0.007,0.000,0.000,0.000
6,256,215.549,325.332,123.807,255578112,27.82,60.838,30.903,1,618.204,0.820,0,0.00,3754.4,5325.8,4706.6,618.8,243.9,1478.2,251.2,8237.5,0.744,1,0.000,0.006,0.000,0.000,0.000
7,256,196.833,241.609,121.967,180129792,31.56,51.383,23.483,5,572.926,0.820,0,0.02,3754.4,5321.2,4702.0,618.8,249.9,1484.8,269.9,8230.5,0.653,1,0.000,0.007,0.000,0.000,0.000
8,256,216.915,334.809,123.040,263184384,34.31,59.769,34.107,1,619.665,0.820,0,0.00,3754.4,5319.3,4700.1,618.8,250.9,1469.6,265.4,8229.5,0.556,1,0.000,0.007,0.000,0.000,0.000
9,256,242.255,407.473,125.902,329748480,36.34,70.568,45.785,1,716.616,0.820,0,0.00,3754.4,5319.8,4700.6,618.8,251.5,1470.3,267.0,8231.2,0.666,1,0.000,0.006,0.000,0.000,0.000
10,256,249.361,381.275,140.383,300810240,38.29,65.800,43.178,2,712.095,0.820,0,0.01,3754.4,5319.3,4700.2,618.8,251.5,1451.2,243.2,8232.2,0.669,1,0.000,0.007,0.000,0.000,0.000
11,256,197.351,255.172,125.167,190992384,40.62,46.170,26.013,5,578.974,0.820,0,0.02,3754.4,5318.4,4699.2,618.8,251.5,1445.1,235.5,8232.2,0.636,1,0.000,0.007,0.000,0.000,0.000
12,256,252.231,443.592,125.584,356901440,41.88,79.037,47.610,2,703.061,0.820,0,0.01,3754.4,5318.6,4699.4,618.8,251.5,1450.3,240.8,8232.5,0.639,1,0.000,0.007,0.000,0.000,0.000
13,256,205.311,297.076,122.353,230301696,43.61,50.316,32.642,1,609.521,0.820,0,0.00,3754.4,5319.6,4700.4,618.8,251.5,1437.2,227.6,8232.7,0.709,1,0.000,0.008,0.000,0.000,0.000
14,256,277.095,537.528,120.889,449347584,44.19,97.221,58.986,3,776.707,0.820,0,0.01,3754.4,5319.1,4699.9,618.8,251.5,1426.9,217.3,8233.5,0.763,1,0.000,0.008,0.000,0.000,0.000
15,256,192.072,243.986,126.005,182697984,45.88,40.510,25.557,5,567.064,0.820,0,0.02,3754.4,5319.8,4700.6,618.8,251.5,1427.3,217.7,8233.7,0.612,1,0.000,0.008,0.000,0.000,0.000
16,256,176.902,182.473,123.144,137072640,47.61,34.873,18.886,1,526.533,0.820,0,0.00,3754.4,5319.7,4700.5,618.8,251.5,1424.9,215.3,8234.0,0.704,1,0.000,0.006,0.000,0.000,0.000
17,256,182.698,195.859,122.658,152580096,49.13,38.926,21.114,2,528.976,0.820,0,0.01,3754.4,5319.7,4700.6,618.8,251.5,1420.6,211.0,8234.0,0.571,1,0.000,0.007,0.000,0.000,0.000
18,256,299.065,618.862,128.107,507506688,49.20,101.320,69.638,0,835.928,0.820,0,0.00,3754.4,5319.8,4700.7,618.8,251.5,1415.0,205.4,8234.5,0.707,1,0.000,0.007,0.000,0.000,0.000
