# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4000 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,434.349,836.081,136.925,588681216,4.98,274.471,22.953,13487,1183.308,-1.000,0,52.68,4000.0,5876.5,4870.7,1005.6,381.3,1953.9,345.3,9163.2,0.376,1,0.000,0.007,0.000,0.000,0.000
2,256,258.083,534.429,98.619,387317760,10.96,143.240,16.224,0,677.504,0.820,0,0.00,4000.0,5874.6,4868.8,1005.6,382.5,1956.3,347.3,9161.5,1.478,1,0.000,0.011,0.000,0.000,0.000
3,256,278.724,628.655,112.520,443019264,15.30,143.917,22.288,4,697.164,0.820,0,0.02,4000.0,5875.1,4869.2,1005.6,382.5,1937.8,319.5,9166.8,1.057,1,0.000,0.012,0.000,0.000,0.000
4,256,202.136,330.982,115.528,236027904,20.62,71.679,14.929,1,601.224,0.820,0,0.00,4000.0,5873.8,4867.9,1005.6,382.5,1937.2,315.1,9167.2,1.263,1,0.000,0.011,0.000,0.000,0.000
5,256,220.284,369.110,119.973,266047488,24.87,82.182,18.130,1,663.878,0.820,0,0.00,4000.0,5873.3,4867.4,1005.6,382.5,1936.2,313.4,9167.8,0.917,1,0.000,0.011,0.000,0.000,0.000
6,256,198.254,341.330,109.248,242245632,28.66,72.739,16.267,0,577.804,0.820,0,0.00,4000.0,5873.0,4867.1,1005.6,382.5,1935.7,312.9,9168.2,1.227,1,0.000,0.011,0.000,0.000,0.000
7,256,178.150,246.599,110.819,172130304,32.40,54.176,13.155,4,543.065,0.820,0,0.02,4000.0,5874.4,4868.6,1005.6,382.5,1934.1,311.3,9168.5,0.946,1,0.000,0.011,0.000,0.000,0.000
8,256,210.103,350.755,120.517,249851904,35.18,74.492,15.094,1,636.193,0.820,0,0.00,4000.0,5873.7,4867.8,1005.6,382.5,1927.0,302.7,9169.5,0.836,1,0.000,0.011,0.000,0.000,0.000
9,256,232.645,428.680,119.467,311083008,37.26,94.690,18.487,0,666.732,0.820,0,0.00,4000.0,5872.8,4866.9,1005.6,382.5,1928.0,303.6,9169.5,1.045,1,0.000,0.011,0.000,0.000,0.000
10,256,226.057,417.780,113.450,298045440,39.18,92.773,19.834,0,631.911,0.820,0,0.00,4000.0,5874.7,4868.8,1005.6,382.5,1912.0,285.7,9180.5,1.069,1,0.000,0.013,0.000,0.000,0.000
