# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4000 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,470.833,724.850,180.241,588681216,4.98,209.413,81.179,11247,1618.359,-1.000,0,43.93,4000.0,6158.9,4834.7,1323.8,362.2,2107.8,300.0,9198.0,0.376,1,0.000,0.007,0.000,0.000,0.000
2,256,300.082,474.702,100.142,387317760,10.96,153.026,46.914,0,1054.307,0.820,0,0.00,4000.0,6138.7,4814.6,1323.6,382.8,2118.1,311.8,9174.0,0.715,1,0.000,0.006,0.000,0.000,0.000
3,256,267.377,524.782,101.578,443019264,15.30,81.258,84.540,1,1026.959,0.820,0,0.00,4000.0,6139.1,4815.1,1323.6,382.8,2117.6,310.2,9174.2,0.623,1,0.000,0.008,0.000,0.000,0.000
4,256,187.562,293.144,95.390,236027904,20.62,50.354,41.819,1,699.249,0.820,0,0.00,4000.0,6137.8,4813.8,1323.6,382.8,2118.3,310.6,9175.2,0.938,1,0.000,0.008,0.000,0.000,0.000
5,256,201.371,331.699,98.084,266047488,24.87,54.873,48.414,1,745.162,0.820,0,0.00,4000.0,6137.2,4813.2,1323.6,382.8,2117.7,310.0,9175.8,0.639,1,0.000,0.008,0.000,0.000,0.000
6,256,203.446,309.981,98.434,242245632,28.66,62.389,42.623,0,740.134,0.820,0,0.00,4000.0,6137.0,4812.9,1323.6,382.8,2110.5,302.5,9176.2,0.857,1,0.000,0.007,0.000,0.000,0.000
7,256,168.613,229.264,95.068,172130304,32.40,44.145,29.400,1,602.549,0.820,0,0.00,4000.0,6138.4,4814.3,1323.6,382.8,2107.7,299.7,9176.2,0.778,1,0.000,0.007,0.000,0.000,0.000
8,256,194.061,317.540,96.738,249851904,35.18,55.567,41.756,1,702.295,0.820,0,0.00,4000.0,6137.7,4813.6,1323.6,382.8,2106.5,298.5,9179.0,0.615,1,0.000,0.007,0.000,0.000,0.000
9,256,215.405,378.071,98.208,311083008,37.26,63.434,53.763,0,795.998,0.820,0,0.00,4000.0,6136.8,4812.7,1323.6,382.8,2107.1,299.1,9179.2,0.696,1,0.000,0.008,0.000,0.000,0.000
10,256,219.251,370.029,103.449,298045440,39.18,59.801,56.002,0,807.507,0.820,0,0.00,4000.0,6137.1,4813.1,1323.6,382.8,2105.4,296.3,9182.5,0.864,1,0.000,0.008,0.000,0.000,0.000
