# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4000 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,397.464,846.979,181.035,588681216,4.98,197.298,19.131,22851,778.411,-1.000,0,89.26,4000.0,5642.3,4981.8,660.1,270.9,1750.3,262.1,9346.6,0.372,1,0.000,0.006,0.000,0.000,0.000
2,256,262.016,547.918,121.088,387317760,10.96,126.513,14.415,1937,515.717,0.820,0,7.57,4000.0,5647.3,4986.8,660.1,265.2,1760.3,296.1,9341.8,1.254,1,0.000,0.006,0.000,0.000,0.000
3,256,277.035,628.348,124.090,443019264,15.30,135.651,17.294,1,533.781,0.820,0,0.00,4000.0,5640.4,4980.1,659.9,272.2,1776.7,359.2,9325.6,0.690,1,0.000,0.006,0.000,0.000,0.000
4,256,205.529,338.988,130.537,236027904,20.62,64.953,10.039,1,445.520,0.820,0,0.00,4000.0,5639.0,4978.7,659.9,272.4,1775.2,360.0,9325.1,0.665,1,0.000,0.006,0.000,0.000,0.000
5,256,216.850,370.772,127.171,266047488,24.87,77.165,12.514,1,476.163,0.820,0,0.00,4000.0,5638.5,4978.2,659.9,272.4,1756.2,341.0,9325.3,0.610,1,0.000,0.006,0.000,0.000,0.000
6,256,204.801,350.680,124.140,242245632,28.66,70.270,10.391,1,470.881,0.820,0,0.00,4000.0,5638.0,4977.7,659.9,272.4,1747.9,332.7,9325.8,0.916,1,0.000,0.005,0.000,0.000,0.000
7,256,186.269,252.575,125.486,172130304,32.40,52.047,8.736,2,420.539,0.820,0,0.01,4000.0,5639.5,4979.2,659.9,272.4,1746.0,327.9,9326.1,0.889,1,0.000,0.005,0.000,0.000,0.000
8,256,203.527,354.059,127.529,249851904,35.18,65.755,10.242,1,469.102,0.820,0,0.00,4000.0,5638.7,4978.4,659.9,272.4,1741.8,323.6,9326.6,0.537,1,0.000,0.005,0.000,0.000,0.000
9,256,241.340,445.470,154.934,311083008,37.26,74.276,12.130,1,567.282,0.820,0,0.00,4000.0,5638.0,4977.6,659.9,272.4,1730.7,303.6,9328.6,0.688,1,0.000,0.005,0.000,0.000,0.000
10,256,226.745,424.901,121.272,298045440,39.18,92.452,13.021,2,471.099,0.820,0,0.01,4000.0,5640.0,4979.7,659.9,272.4,1724.5,297.5,9329.3,0.621,1,0.000,0.006,0.000,0.000,0.000
11,256,238.546,279.045,175.206,190992384,41.45,55.115,8.225,3,562.380,0.820,0,0.01,4000.0,5639.8,4979.4,659.9,272.4,1723.1,295.6,9329.4,0.661,1,0.000,0.006,0.000,0.000,0.000
12,256,246.172,508.744,122.791,356901440,42.67,108.637,14.744,1,476.951,0.820,0,0.00,4000.0,5638.4,4978.1,659.9,272.4,1719.1,291.6,9329.6,0.700,1,0.000,0.006,0.000,0.000,0.000
