# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4000 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,387.792,677.436,167.470,588681216,4.98,144.586,75.737,23096,1024.368,-1.000,0,90.22,4000.0,5583.9,4975.3,608.2,221.9,1804.4,264.1,9549.7,0.420,1,0.000,0.007,0.000,0.000,0.000
2,256,262.185,462.920,120.286,387317760,10.96,90.017,51.883,4,688.779,0.824,0,0.02,4000.0,5569.9,4961.3,608.2,236.2,1814.0,274.9,9536.1,1.521,1,0.000,0.007,0.000,0.000,0.000
3,256,282.720,537.075,132.376,443019264,15.30,92.695,57.649,1,771.280,0.824,0,0.00,4000.0,5560.1,4951.5,608.2,246.5,1812.3,274.2,9526.1,0.700,1,0.000,0.005,0.000,0.000,0.000
4,256,212.515,311.225,123.539,236027904,20.62,58.114,30.862,2,597.098,0.824,0,0.01,4000.0,5557.6,4949.0,608.2,247.4,1809.6,271.6,9525.9,0.680,1,0.000,0.006,0.000,0.000,0.000
5,256,217.422,329.546,121.720,266047488,24.87,59.341,36.360,1,609.932,0.824,0,0.00,4000.0,5555.8,4947.2,608.2,248.6,1811.5,273.7,9524.9,0.661,1,0.000,0.006,0.000,0.000,0.000
6,256,209.332,315.502,119.781,242245632,28.66,60.876,28.674,1,572.390,0.824,0,0.00,4000.0,5554.1,4945.6,608.2,249.8,1812.8,274.8,9524.1,0.630,1,0.000,0.006,0.000,0.000,0.000
7,256,190.368,232.358,122.347,172130304,32.40,43.407,24.615,1,535.849,0.824,0,0.00,4000.0,5554.3,4945.8,608.2,250.9,1809.4,271.7,9523.4,0.667,1,0.000,0.006,0.000,0.000,0.000
8,256,211.944,314.334,122.663,249851904,35.18,57.382,31.900,1,603.589,0.824,0,0.00,4000.0,5552.5,4943.9,608.2,252.0,1805.1,267.3,9522.4,0.628,1,0.000,0.006,0.000,0.000,0.000
9,256,232.246,393.846,121.093,311083008,37.26,72.306,38.848,1,631.890,0.824,0,0.00,4000.0,5546.5,4937.9,608.2,257.1,1815.2,278.2,9517.7,0.606,1,0.000,0.006,0.000,0.000,0.000
10,256,228.298,370.040,122.402,298045440,39.18,65.769,40.127,2,657.132,0.824,0,0.01,4000.0,5536.8,4928.2,608.2,267.6,1826.8,291.7,9506.9,0.567,1,0.000,0.006,0.000,0.000,0.000
