# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=3367 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,444.057,757.159,186.839,671342592,4.05,156.893,100.325,14025,1235.862,-1.000,0,54.79,3367.1,4584.7,4200.1,384.3,364.6,1575.2,324.2,8374.9,0.493,1,0.000,0.010,0.000,0.000,0.000
2,256,478.549,529.304,322.630,432648192,9.66,91.574,64.345,4,1360.636,0.820,0,0.02,3367.1,4585.1,4200.5,384.3,364.7,1587.2,342.1,8369.2,1.252,1,0.000,0.009,0.000,0.000,0.000
3,256,316.939,592.104,139.856,496349184,13.63,98.333,78.751,10,884.559,0.820,0,0.04,3367.1,4582.9,4200.8,381.8,364.7,1591.5,399.5,8362.0,0.791,1,0.000,0.008,0.000,0.000,0.000
4,256,240.850,347.131,138.215,276025344,18.76,56.119,46.515,2,704.233,0.820,0,0.01,3367.1,4581.6,4199.6,381.8,364.7,1596.0,429.7,8357.6,0.922,1,0.000,0.007,0.000,0.000,0.000
5,256,239.436,351.632,136.638,282046464,23.03,59.047,43.751,1,652.286,0.820,0,0.00,3367.1,4579.7,4199.2,380.2,364.7,1573.9,432.9,8356.1,0.684,1,0.000,0.007,0.000,0.000,0.000
6,256,241.124,360.477,139.204,287576064,26.63,61.867,40.053,1,663.487,0.820,0,0.00,3367.1,4579.0,4198.6,380.2,364.7,1574.3,435.1,8356.4,0.692,1,0.000,0.007,0.000,0.000,0.000
7,256,225.072,237.437,153.374,180129792,30.46,46.300,25.398,11,612.363,0.820,0,0.04,3367.1,4580.6,4200.2,380.2,364.7,1562.8,419.2,8358.0,0.683,1,0.000,0.010,0.000,0.000,0.000
8,256,240.067,360.523,136.868,284516352,33.14,63.799,39.400,1,659.796,0.820,0,0.00,3367.1,4579.5,4199.1,380.2,364.7,1569.9,427.1,8358.7,0.769,1,0.000,0.007,0.000,0.000,0.000
9,256,252.059,413.189,134.755,332513280,35.22,71.749,45.555,1,672.268,0.820,0,0.00,3367.1,4581.2,4200.7,380.2,364.7,1577.4,429.5,8360.0,0.763,1,0.000,0.007,0.000,0.000,0.000
10,256,246.878,383.857,137.277,303476736,37.23,68.425,41.177,1,672.289,0.820,0,0.00,3367.1,4581.4,4200.9,380.2,364.7,1555.9,410.9,8360.0,0.599,1,0.000,0.007,0.000,0.000,0.000
11,256,209.758,253.637,136.360,190992384,39.61,46.629,26.769,11,551.450,0.820,0,0.04,3367.1,4580.5,4200.1,380.2,364.7,1563.6,421.9,8360.2,0.725,1,0.000,0.007,0.000,0.000,0.000
12,256,270.713,466.646,148.742,364999232,40.88,71.882,50.089,1,729.243,0.820,0,0.00,3367.1,4579.8,4199.4,380.2,364.6,1552.6,412.2,8362.0,0.770,1,0.000,0.008,0.000,0.000,0.000
13,256,220.913,312.418,134.490,238301184,42.62,52.044,34.379,1,588.635,0.820,0,0.00,3367.1,4579.3,4198.8,380.2,364.6,1559.8,420.8,8361.5,0.744,1,0.000,0.007,0.000,0.000,0.000
14,256,298.428,556.642,137.729,465641472,43.18,96.309,64.390,2,818.561,0.820,0,0.01,3367.1,4580.8,4200.3,380.2,364.6,1587.0,455.2,8361.0,0.729,1,0.000,0.008,0.000,0.000,0.000
15,256,206.017,254.929,132.853,190697472,44.88,45.112,28.053,10,545.951,0.820,0,0.04,3367.1,4579.4,4199.1,380.0,364.3,1556.3,423.8,8361.5,0.788,1,0.000,0.008,0.000,0.000,0.000
16,256,194.932,188.953,138.232,137072640,46.65,36.973,19.727,1,495.590,0.820,0,0.00,3367.1,4575.3,4195.4,379.5,368.1,1562.9,430.6,8357.0,0.808,1,0.000,0.008,0.000,0.000,0.000
17,256,202.990,224.717,133.587,171638784,48.14,46.001,23.402,2,508.724,0.820,0,0.01,3367.1,4567.3,4187.6,379.4,375.4,1557.2,425.8,8349.5,0.821,1,0.000,0.008,0.000,0.000,0.000
18,256,322.683,645.374,138.441,531603456,48.15,111.565,72.677,0,885.772,0.820,0,0.00,3367.1,4568.8,4189.1,379.4,375.4,1552.0,419.7,8352.1,0.776,1,0.000,0.008,0.000,0.000,0.000
19,256,230.073,335.041,132.280,263086080,49.14,61.825,35.968,12,645.509,0.820,0,0.05,3367.1,4569.4,4189.7,379.4,375.3,1548.2,415.5,8352.4,0.651,1,0.000,0.007,0.000,0.000,0.000
20,256,198.524,225.233,132.814,169168896,50.39,42.325,23.384,1,514.833,0.820,0,0.00,3367.1,4569.1,4189.4,379.4,375.3,1544.3,411.5,8352.6,0.693,1,0.000,0.007,0.000,0.000,0.000
21,256,215.540,304.563,133.315,241164288,51.30,48.631,33.594,1,574.466,0.820,0,0.00,3367.1,4568.0,4188.3,379.4,375.3,1537.3,404.5,8352.9,0.659,1,0.000,0.007,0.000,0.000,0.000
22,256,182.665,151.243,138.746,107249664,52.59,28.680,15.240,0,481.465,0.820,0,0.00,3367.1,4568.7,4189.0,379.4,375.3,1528.6,394.6,8363.6,0.666,1,0.000,0.007,0.000,0.000,0.000
23,256,238.870,370.717,137.677,297259008,53.20,58.886,42.307,11,655.931,0.820,0,0.04,3367.1,4567.7,4188.0,379.4,375.3,1530.0,396.0,8365.3,0.804,1,0.000,0.007,0.000,0.000,0.000
24,256,207.838,204.309,145.890,145268736,54.23,41.958,19.990,1,526.191,0.820,0,0.00,3367.1,4568.4,4188.7,379.4,375.3,1508.7,352.5,8371.5,0.754,1,0.000,0.009,0.000,0.000,0.000
25,256,187.316,178.353,133.582,131444736,55.25,36.110,17.624,0,470.567,0.820,0,0.00,3367.1,4568.9,4189.2,379.4,375.3,1498.8,342.6,8371.5,0.793,1,0.000,0.008,0.000,0.000,0.000
26,256,204.845,247.275,133.080,193167360,56.02,43.128,28.637,0,528.943,0.820,0,0.00,3367.1,4567.4,4187.7,379.4,375.3,1510.9,354.2,8371.5,0.679,1,0.000,0.007,0.000,0.000,0.000
27,256,200.787,226.165,132.917,177364992,56.79,44.195,23.676,12,496.159,0.820,0,0.05,3367.1,4569.2,4189.5,379.4,375.3,1514.8,358.1,8371.8,0.697,1,0.000,0.007,0.000,0.000,0.000
28,256,204.687,254.867,132.919,193560576,57.48,45.526,26.241,1,536.312,0.820,0,0.00,3367.1,4567.4,4187.7,379.4,375.3,1500.6,343.9,8373.0,0.722,1,0.000,0.007,0.000,0.000,0.000
29,256,198.396,218.888,133.358,160481280,58.21,41.601,23.437,0,507.269,0.820,0,0.00,3367.1,4567.8,4188.1,379.4,375.3,1502.1,345.4,8373.0,0.743,1,0.000,0.007,0.000,0.000,0.000
30,256,193.700,194.736,133.789,145072128,58.95,39.709,20.203,4,492.121,0.820,0,0.02,3367.1,4568.5,4188.8,379.4,375.2,1495.7,339.0,8373.0,0.658,1,0.000,0.006,0.000,0.000,0.000
31,256,186.785,162.264,132.587,120582144,59.71,36.297,17.901,11,479.804,0.820,0,0.04,3367.1,4568.1,4188.4,379.4,375.2,1487.7,331.0,8373.0,0.654,1,0.000,0.006,0.000,0.000,0.000
32,256,173.403,114.780,133.894,75251712,60.54,28.211,11.299,1,421.730,0.820,0,0.00,3367.1,4568.5,4188.9,379.4,375.2,1487.0,329.0,8373.8,0.638,1,0.000,0.007,0.000,0.000,0.000
33,256,297.549,573.735,144.964,471269376,60.39,90.465,62.121,0,851.025,0.820,0,0.00,3367.1,4569.2,4189.5,379.4,375.2,1493.0,332.0,8376.1,0.701,1,0.000,0.008,0.000,0.000,0.000
34,256,317.385,588.271,149.816,482525184,60.21,100.560,67.009,1,893.361,0.820,0,0.00,3367.1,4568.6,4188.9,379.4,375.1,1501.0,339.5,8376.6,0.683,1,0.000,0.007,0.000,0.000,0.000
35,256,284.974,533.659,135.960,441839616,60.14,87.977,61.037,11,792.529,0.820,0,0.04,3367.1,4567.4,4187.7,379.4,375.1,1515.3,353.8,8377.4,0.736,1,0.000,0.007,0.000,0.000,0.000
36,256,220.550,300.607,136.782,228225024,60.54,52.702,31.067,2,587.635,0.820,0,0.01,3367.1,4569.7,4190.0,379.4,375.1,1499.6,335.5,8380.9,0.758,1,0.000,0.007,0.000,0.000,0.000
37,256,198.163,206.545,132.384,153661440,61.09,43.083,22.695,1,514.154,0.820,0,0.00,3367.1,4568.8,4189.1,379.4,375.1,1498.8,333.9,8381.7,0.688,1,0.000,0.007,0.000,0.000,0.000
38,256,221.429,314.553,139.860,244518912,61.43,48.637,32.931,1,616.970,0.820,0,0.00,3367.1,4569.7,4190.0,379.4,375.1,1497.6,331.2,8385.2,0.732,1,0.000,0.007,0.000,0.000,0.000
39,256,202.419,238.195,136.256,174403584,61.89,40.445,25.719,11,547.190,0.820,0,0.04,3367.1,4568.3,4188.6,379.4,375.1,1497.4,331.0,8386.4,0.738,1,0.000,0.007,0.000,0.000,0.000
40,256,256.070,405.530,153.732,313847808,62.05,58.867,43.471,0,696.089,0.820,0,0.00,3367.1,4569.3,4189.6,379.4,375.1,1502.8,327.3,8387.4,0.746,1,0.000,0.008,0.000,0.000,0.000
41,256,267.391,473.713,138.409,388902912,62.06,75.015,53.967,1,729.590,0.820,0,0.00,3367.1,4569.1,4189.4,379.4,375.1,1498.6,319.2,8390.7,0.659,1,0.000,0.008,0.000,0.000,0.000
42,256,287.701,556.178,139.240,448155648,61.94,86.426,62.035,0,799.346,0.820,0,0.00,3367.1,4568.4,4188.7,379.4,375.1,1496.3,316.9,8390.9,0.596,1,0.000,0.008,0.000,0.000,0.000
43,256,187.095,176.247,133.912,131837952,62.44,34.523,18.660,11,476.958,0.820,0,0.04,3367.1,4569.5,4189.9,379.4,375.1,1486.5,307.1,8391.2,0.700,1,0.000,0.007,0.000,0.000,0.000
44,256,228.321,305.898,142.143,233754624,62.73,53.587,32.591,1,641.569,0.820,0,0.00,3367.1,4569.8,4190.2,379.4,375.1,1477.0,295.9,8400.9,0.672,1,0.000,0.008,0.000,0.000,0.000
45,256,189.908,173.994,132.657,129662976,63.20,38.002,19.250,2,473.518,0.820,0,0.01,3367.1,4567.7,4188.0,379.4,375.1,1472.2,291.1,8405.6,0.629,1,0.000,0.007,0.000,0.000,0.000
46,256,205.174,232.605,139.018,172130304,63.58,42.460,23.696,0,536.403,0.820,0,0.00,3367.1,4569.5,4189.8,379.4,375.1,1465.6,282.7,8407.1,0.867,1,0.000,0.008,0.000,0.000,0.000
47,256,226.872,327.748,135.187,252518400,63.80,55.782,35.903,11,612.184,0.820,0,0.04,3367.1,4569.7,4190.0,379.4,375.1,1475.4,292.6,8407.9,0.612,1,0.000,0.008,0.000,0.000,0.000
48,256,232.687,330.453,138.075,259436544,63.99,58.391,36.221,1,627.445,0.820,0,0.00,3367.1,4568.7,4189.0,379.4,375.1,1482.7,299.2,8407.9,0.766,1,0.000,0.007,0.000,0.000,0.000
49,256,197.196,211.504,134.127,154742784,64.37,41.580,21.488,0,532.919,0.820,0,0.00,3367.1,4569.0,4189.3,379.4,375.1,1471.1,287.7,8408.1,0.783,1,0.000,0.007,0.000,0.000,0.000
50,256,174.282,121.992,132.505,83742720,64.85,27.765,14.012,1,450.198,0.820,0,0.00,3367.1,4570.1,4190.4,379.4,375.1,1462.5,278.7,8408.6,0.684,1,0.000,0.006,0.000,0.000,0.000
51,256,225.854,255.713,152.991,187932672,65.14,43.823,29.040,10,580.463,0.820,0,0.04,3367.1,4555.1,4176.0,378.8,386.8,1537.9,357.7,8395.6,0.755,1,0.000,0.009,0.000,0.000,0.000
52,256,160.921,87.285,131.193,56487936,65.63,20.535,9.193,2,394.077,0.820,0,0.01,3367.1,4556.7,4177.6,378.8,386.8,1533.7,353.7,8395.4,0.620,1,0.000,0.007,0.000,0.000,0.000
53,256,212.255,157.492,155.893,104681472,66.03,38.939,17.423,1,530.355,0.820,0,0.00,3367.1,4557.1,4178.0,378.8,386.8,1538.5,358.2,8396.9,0.737,1,0.000,0.009,0.000,0.000,0.000
54,256,152.423,38.657,136.524,21331968,66.55,11.059,4.840,1,385.110,0.820,0,0.00,3367.1,4557.1,4178.0,378.8,386.8,1553.9,376.1,8390.4,0.669,1,0.000,0.009,0.000,0.000,0.000
55,256,203.270,225.379,131.537,171540480,66.81,42.516,29.217,11,553.624,0.820,0,0.04,3367.1,4556.5,4177.4,378.8,386.8,1547.1,371.4,8387.1,0.796,1,0.000,0.007,0.000,0.000,0.000
56,256,206.218,245.788,138.923,188424192,67.05,39.832,27.463,2,575.771,0.820,0,0.01,3367.1,4556.3,4177.2,378.8,386.8,1557.1,384.0,8379.6,0.770,1,0.000,0.008,0.000,0.000,0.000
57,256,184.271,147.109,138.261,100036608,67.41,31.988,14.021,1,472.808,0.820,0,0.00,3367.1,4557.5,4178.4,378.8,386.8,1556.0,383.3,8376.6,0.713,1,0.000,0.007,0.000,0.000,0.000
58,256,223.146,302.769,138.753,238497792,67.55,48.131,36.262,1,611.898,0.820,0,0.00,3367.1,4556.3,4177.3,378.8,386.8,1561.7,388.8,8369.9,0.701,1,0.000,0.007,0.000,0.000,0.000
59,256,353.756,720.991,137.439,611303424,67.15,125.690,90.627,11,980.157,0.820,0,0.04,3367.1,4554.8,4177.5,377.0,386.8,1570.9,414.4,8361.4,0.865,1,0.000,0.009,0.000,0.000,0.000
60,256,218.801,289.112,139.575,217362432,67.32,47.593,31.633,1,601.121,0.820,0,0.00,3367.1,4553.0,4176.9,375.8,386.8,1571.0,416.3,8360.9,0.682,1,0.000,0.008,0.000,0.000,0.000
61,256,235.417,329.701,142.989,259829760,67.43,53.748,38.679,0,648.058,0.820,0,0.00,3367.1,4546.9,4176.7,369.9,386.8,1579.4,431.7,8359.4,0.771,1,0.000,0.008,0.000,0.000,0.000
62,256,273.961,415.140,156.675,337944576,67.43,71.318,45.967,0,752.079,0.820,0,0.00,3367.1,4547.1,4178.2,368.7,386.8,1565.0,419.2,8358.6,0.671,1,0.000,0.007,0.000,0.000,0.000
63,256,281.472,519.960,140.966,420802560,67.31,82.237,58.269,10,782.258,0.820,0,0.04,3367.1,4547.3,4178.4,368.7,386.7,1580.5,434.7,8359.6,0.627,1,0.000,0.008,0.000,0.000,0.000
64,256,174.428,119.758,134.585,80683008,67.66,27.761,12.083,0,451.356,0.820,0,0.00,3367.1,4546.5,4177.5,368.7,386.7,1564.9,418.8,8360.1,0.715,1,0.000,0.007,0.000,0.000,0.000
65,256,241.843,370.738,136.944,292024320,67.71,64.417,40.482,0,649.786,0.820,0,0.00,3367.1,4546.9,4178.0,368.7,386.7,1562.1,411.1,8362.1,0.656,1,0.000,0.007,0.000,0.000,0.000
66,256,261.807,345.929,166.437,273653760,67.79,57.355,38.015,1,693.194,0.820,0,0.00,3367.1,4546.1,4177.2,368.7,386.7,1534.2,379.2,8383.9,0.610,1,0.000,0.008,0.000,0.000,0.000
67,256,191.351,163.786,139.126,115642368,68.07,35.717,16.508,83,488.310,0.820,0,0.32,3367.1,4546.7,4177.8,368.7,386.4,1517.4,359.7,8393.7,0.807,1,0.000,0.009,0.000,0.000,0.000
68,256,240.093,370.383,137.547,295084032,68.11,62.228,40.318,2,662.398,0.820,0,0.01,3367.1,4546.6,4177.6,368.7,386.4,1514.5,356.5,8394.0,0.731,1,0.000,0.007,0.000,0.000,0.000
