# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=3684 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,477.582,610.809,225.540,623345664,4.59,158.104,93.938,15758,1647.800,-1.000,0,61.55,3684.7,5024.8,4558.6,465.7,325.7,1468.0,278.2,8288.9,0.493,1,0.000,0.009,0.000,0.000,0.000
2,256,318.798,432.647,139.755,424648704,10.24,107.853,71.190,3,1035.641,0.824,0,0.01,3684.7,5025.3,4559.3,465.6,325.7,1471.0,339.4,8284.4,1.674,1,0.000,0.008,0.000,0.000,0.000
3,256,340.712,480.854,151.985,472350720,14.37,110.209,78.518,29,1124.532,0.824,0,0.11,3684.7,5019.7,4553.9,465.4,331.3,1480.3,403.6,8273.9,0.690,1,0.000,0.009,0.000,0.000,0.000
4,256,248.979,296.107,129.923,257359872,19.59,76.634,42.423,1,775.205,0.824,0,0.00,3684.7,5013.2,4548.3,464.5,335.8,1488.6,450.6,8266.2,0.673,1,0.000,0.008,0.000,0.000,0.000
5,256,257.216,322.200,123.927,276713472,23.84,91.704,41.584,1,779.977,0.824,0,0.00,3684.7,5014.4,4549.5,464.5,336.3,1459.6,423.9,8265.7,0.745,1,0.000,0.007,0.000,0.000,0.000
6,256,253.785,304.760,134.442,263577600,27.56,81.455,37.888,1,789.607,0.824,0,0.00,3684.7,5013.0,4548.1,464.5,337.4,1447.6,413.9,8264.7,0.744,1,0.000,0.007,0.000,0.000,0.000
7,256,209.518,215.682,113.824,182796288,31.30,68.396,27.298,28,618.575,0.824,0,0.11,3684.7,5010.9,4546.0,464.5,338.3,1453.8,424.1,8263.9,0.678,1,0.000,0.007,0.000,0.000,0.000
8,256,246.315,302.944,127.910,255184896,34.12,84.015,34.390,1,755.788,0.824,0,0.00,3684.7,5011.4,4546.5,464.5,339.6,1453.2,421.0,8262.7,0.643,1,0.000,0.008,0.000,0.000,0.000
9,256,273.458,361.635,131.518,327081984,36.17,98.073,43.867,1,864.761,0.824,0,0.00,3684.7,5009.7,4544.8,464.5,339.9,1451.4,419.7,8262.7,0.755,1,0.000,0.008,0.000,0.000,0.000
10,256,258.828,334.598,124.613,300810240,38.14,94.205,40.010,1,800.030,0.824,0,0.00,3684.7,5009.2,4544.4,464.5,339.9,1443.4,411.1,8263.2,0.658,1,0.000,0.007,0.000,0.000,0.000
11,256,217.150,239.029,115.463,193658880,40.45,75.600,26.087,29,645.958,0.824,0,0.11,3684.7,5008.9,4544.0,464.5,339.9,1443.9,408.8,8263.4,0.763,1,0.000,0.008,0.000,0.000,0.000
12,256,288.323,399.299,132.986,362234432,41.70,103.723,51.615,2,936.134,0.824,0,0.01,3684.7,5010.5,4545.6,464.5,339.9,1447.1,409.9,8264.7,0.714,1,0.000,0.007,0.000,0.000,0.000
13,256,235.702,279.116,116.277,227635200,43.45,86.608,32.817,1,700.086,0.824,0,0.00,3684.7,5009.4,4544.5,464.5,339.9,1432.9,395.7,8264.7,0.659,1,0.000,0.007,0.000,0.000,0.000
14,256,326.304,479.927,138.497,452014080,44.03,124.033,63.774,1,1073.538,0.824,0,0.00,3684.7,5009.0,4544.2,464.5,339.9,1436.8,399.4,8265.2,0.752,1,0.000,0.007,0.000,0.000,0.000
15,256,212.482,232.778,114.131,193462272,45.68,68.972,29.380,29,632.939,0.824,0,0.11,3684.7,5010.1,4545.2,464.5,339.9,1440.9,403.6,8265.7,0.652,1,0.000,0.007,0.000,0.000,0.000
16,256,200.055,173.799,117.996,139739136,47.40,62.447,19.612,1,575.006,0.824,0,0.00,3684.7,5009.4,4544.5,464.5,339.9,1428.7,379.9,8269.4,0.722,1,0.000,0.008,0.000,0.000,0.000
17,256,209.946,181.052,121.343,152580096,48.94,66.228,22.375,2,581.433,0.824,0,0.01,3684.7,5009.8,4544.9,464.5,339.9,1430.7,361.8,8273.4,0.697,1,0.000,0.008,0.000,0.000,0.000
18,256,606.285,568.058,380.858,518270976,48.97,150.928,74.499,0,1799.367,0.824,0,0.00,3684.7,5009.8,4544.9,464.5,339.9,1397.6,305.6,8285.9,0.694,1,0.000,0.008,0.000,0.000,0.000
19,256,239.905,276.554,129.755,233459712,50.03,79.416,30.734,29,748.277,0.824,0,0.11,3684.7,5009.9,4545.1,464.5,339.8,1392.1,281.0,8288.4,0.721,1,0.000,0.008,0.000,0.000,0.000
20,256,218.845,233.707,114.787,193265664,51.16,77.706,26.352,1,651.638,0.824,0,0.00,3684.7,5009.8,4544.9,464.5,339.8,1384.7,273.6,8288.7,0.717,1,0.000,0.007,0.000,0.000,0.000
