# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=3685 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,471.061,652.408,256.839,626012160,4.57,127.717,86.505,18012,1332.349,-1.000,0,70.36,3685.7,5050.2,4585.3,464.6,298.2,1394.6,231.2,8267.0,0.493,1,0.000,0.011,0.000,0.000,0.000
2,256,735.522,489.792,582.383,408649728,10.38,92.036,61.103,4,2184.087,0.820,0,0.02,3685.7,5033.4,4570.2,462.8,313.5,1465.5,284.3,8278.0,1.571,1,0.000,0.012,0.000,0.000,0.000
3,256,291.390,523.564,148.789,469684224,14.53,78.956,63.646,11,860.652,0.820,0,0.04,3685.7,5016.9,4553.6,462.8,327.9,1525.3,353.2,8263.5,0.760,1,0.000,0.007,0.000,0.000,0.000
4,256,231.309,303.130,140.047,260026368,19.71,48.489,42.773,2,689.476,0.820,0,0.01,3685.7,4991.4,4535.6,455.4,347.3,1548.9,420.8,8241.3,0.741,1,0.000,0.009,0.000,0.000,0.000
5,256,235.295,338.128,134.900,276713472,23.95,57.071,43.325,1,699.777,0.820,0,0.00,3685.7,4983.9,4528.1,455.4,354.3,1548.8,425.5,8231.8,0.761,1,0.000,0.006,0.000,0.000,0.000
6,256,235.891,325.104,147.238,271577088,27.61,50.784,37.869,1,693.839,0.820,0,0.00,3685.7,4979.4,4523.5,455.4,358.3,1549.4,431.1,8228.0,0.764,1,0.000,0.009,0.000,0.000,0.000
7,256,211.946,233.863,142.247,180129792,31.37,41.948,27.750,11,606.770,0.820,0,0.04,3685.7,4978.7,4522.9,455.4,360.7,1544.0,430.6,8225.0,0.864,1,0.000,0.008,0.000,0.000,0.000
8,256,226.883,324.057,140.101,263184384,34.13,48.623,38.159,1,648.188,0.820,0,0.00,3685.7,4975.1,4519.3,455.4,363.5,1544.9,435.4,8221.8,0.682,1,0.000,0.008,0.000,0.000,0.000
9,256,401.536,401.984,278.757,329748480,36.17,76.325,46.454,1,1169.861,0.820,0,0.00,3685.7,4968.2,4512.3,455.4,368.8,1540.2,404.9,8223.0,0.775,1,0.000,0.010,0.000,0.000,0.000
10,256,250.173,360.811,139.868,300810240,38.13,68.538,41.768,2,742.427,0.820,0,0.01,3685.7,4970.4,4514.5,455.4,368.9,1551.8,423.7,8225.7,0.683,1,0.000,0.008,0.000,0.000,0.000
11,256,217.322,251.194,145.323,190992384,40.46,45.430,26.570,11,604.050,0.820,0,0.04,3685.7,4969.3,4513.5,455.4,369.4,1525.9,400.2,8225.2,0.891,1,0.000,0.010,0.000,0.000,0.000
12,256,258.646,424.888,144.262,364999232,41.69,64.485,49.899,1,771.892,0.820,0,0.00,3685.7,4959.0,4503.9,454.7,378.4,1544.8,423.7,8216.2,0.772,1,0.000,0.009,0.000,0.000,0.000
13,256,221.177,299.584,136.468,232968192,43.42,51.059,33.650,1,628.984,0.820,0,0.00,3685.7,4952.9,4497.8,454.7,385.8,1556.9,438.4,8208.9,0.678,1,0.000,0.007,0.000,0.000,0.000
14,256,297.378,522.107,155.691,454680576,43.99,79.787,61.900,2,876.487,0.820,0,0.01,3685.7,4952.2,4497.1,454.7,386.3,1534.3,407.1,8209.4,0.754,1,0.000,0.007,0.000,0.000,0.000
15,256,206.734,242.366,135.204,193462272,45.64,43.290,28.241,11,611.430,0.820,0,0.04,3685.7,4949.7,4494.6,454.7,386.9,1535.7,409.7,8208.9,0.696,1,0.000,0.007,0.000,0.000,0.000
16,256,197.114,184.178,143.265,131739648,47.40,33.632,20.217,1,548.418,0.820,0,0.00,3685.7,4951.3,4496.2,454.7,386.9,1568.4,446.7,8207.9,0.724,1,0.000,0.006,0.000,0.000,0.000
17,256,196.838,198.406,133.917,152580096,48.94,40.807,22.114,2,547.687,0.820,0,0.01,3685.7,4949.4,4494.3,454.7,386.9,1538.4,416.8,8206.7,0.855,1,0.000,0.008,0.000,0.000,0.000
18,256,311.360,568.658,154.967,510173184,49.00,86.496,69.897,0,919.575,0.820,0,0.00,3685.7,4949.2,4494.1,454.7,386.9,1550.8,429.6,8206.4,0.720,1,0.000,0.008,0.000,0.000,0.000
19,256,231.863,306.411,139.025,244420608,50.02,60.686,32.152,12,657.107,0.820,0,0.05,3685.7,4949.7,4494.6,454.7,386.9,1546.1,424.9,8206.7,0.666,1,0.000,0.007,0.000,0.000,0.000
