# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4000 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,448.883,595.169,200.159,588681216,4.98,176.252,72.473,14110,1671.143,-1.000,0,55.12,4000.0,5929.0,4810.6,1118.1,386.2,1818.9,368.8,9057.7,0.372,1,0.000,0.009,0.000,0.000,0.000
2,256,264.674,407.661,92.645,387317760,10.96,120.248,51.782,0,981.185,0.820,0,0.00,4000.0,5928.7,4811.1,1117.2,386.2,1811.1,380.5,9055.9,1.220,1,0.000,0.007,0.000,0.000,0.000
3,256,249.023,466.792,99.250,443019264,15.30,68.612,81.160,19,983.624,0.820,0,0.07,4000.0,5929.1,4811.5,1117.2,386.2,1807.8,376.9,9057.2,0.689,1,0.000,0.009,0.000,0.000,0.000
4,256,182.031,269.241,93.805,236027904,20.62,48.064,40.162,1,684.501,0.820,0,0.00,4000.0,5927.9,4810.4,1117.2,386.2,1809.1,378.2,9057.4,0.847,1,0.000,0.007,0.000,0.000,0.000
5,256,196.146,298.857,94.990,266047488,24.87,54.110,47.045,1,740.157,0.820,0,0.00,4000.0,5927.5,4810.0,1117.2,386.2,1808.0,377.0,9057.7,0.646,1,0.000,0.008,0.000,0.000,0.000
6,256,181.600,278.343,93.883,242245632,28.66,48.151,39.566,0,689.015,0.820,0,0.00,4000.0,5926.9,4809.4,1117.2,386.2,1808.3,377.4,9057.7,0.682,1,0.000,0.009,0.000,0.000,0.000
7,256,163.104,215.388,93.388,172130304,32.40,41.630,28.086,19,592.332,0.820,0,0.07,4000.0,5928.4,4810.9,1117.2,386.2,1807.5,376.6,9057.9,0.721,1,0.000,0.008,0.000,0.000,0.000
8,256,183.062,288.626,93.847,249851904,35.18,50.981,38.234,1,677.606,0.820,0,0.00,4000.0,5927.7,4810.2,1117.2,386.2,1805.8,371.9,9058.4,0.604,1,0.000,0.008,0.000,0.000,0.000
9,256,206.115,353.481,95.588,311083008,37.26,58.745,51.782,0,771.936,0.820,0,0.00,4000.0,5926.8,4809.3,1117.2,386.2,1806.0,372.1,9058.7,0.694,1,0.000,0.008,0.000,0.000,0.000
10,256,205.541,342.492,97.943,298045440,39.18,55.913,51.685,0,772.467,0.820,0,0.00,4000.0,5927.2,4809.6,1117.2,386.2,1805.6,371.6,9059.7,0.701,1,0.000,0.010,0.000,0.000,0.000
11,256,167.264,235.135,95.334,190992384,41.45,41.670,30.260,18,617.616,0.820,0,0.07,4000.0,5927.9,4810.3,1117.2,386.0,1805.1,371.1,9060.2,0.762,1,0.000,0.009,0.000,0.000,0.000
12,256,220.122,387.579,93.461,356901440,42.67,70.990,55.670,0,820.265,0.820,0,0.00,4000.0,5927.9,4810.4,1117.2,386.0,1800.5,365.3,9060.4,0.730,1,0.000,0.007,0.000,0.000,0.000
13,256,183.608,270.566,96.365,224968704,44.39,48.247,38.996,0,682.442,0.820,0,0.00,4000.0,5928.9,4811.4,1117.2,386.0,1798.9,360.8,9062.2,0.928,1,0.000,0.009,0.000,0.000,0.000
14,256,238.845,449.802,98.492,414683136,45.10,66.276,74.077,0,928.153,0.820,0,0.00,4000.0,5927.5,4810.0,1117.2,386.0,1799.3,360.1,9062.2,0.932,1,0.000,0.010,0.000,0.000,0.000
15,256,161.664,214.065,91.526,177266688,46.76,42.627,27.512,19,590.178,0.820,0,0.07,4000.0,5928.8,4811.2,1117.2,385.9,1798.5,359.3,9062.2,0.730,1,0.000,0.008,0.000,0.000,0.000
16,256,146.892,166.480,91.156,134406144,48.47,35.913,19.823,0,532.981,0.820,0,0.00,4000.0,5928.4,4810.9,1117.2,385.9,1798.4,359.2,9062.4,0.769,1,0.000,0.007,0.000,0.000,0.000
17,256,155.606,180.638,92.276,152580096,49.96,39.909,23.420,0,557.973,0.820,0,0.00,4000.0,5928.4,4810.9,1117.2,385.9,1798.8,359.5,9062.7,0.583,1,0.000,0.007,0.000,0.000,0.000
18,256,263.856,527.276,99.681,488742912,50.06,74.210,89.965,0,1046.530,0.820,0,0.00,4000.0,5929.5,4812.0,1117.2,385.9,1796.8,357.5,9062.9,0.675,1,0.000,0.009,0.000,0.000,0.000
19,256,171.538,240.336,95.646,203931648,51.19,41.264,34.628,19,643.154,0.820,0,0.07,4000.0,5929.1,4811.6,1117.2,385.8,1797.0,357.3,9062.9,0.843,1,0.000,0.009,0.000,0.000,0.000
20,256,152.383,184.530,90.241,152973312,52.42,39.514,22.628,0,544.408,0.820,0,0.00,4000.0,5928.3,4810.8,1117.2,385.8,1797.6,357.8,9063.4,0.697,1,0.000,0.008,0.000,0.000,0.000
21,256,141.217,157.961,86.481,128876544,53.65,36.204,18.532,0,498.811,0.820,0,0.00,4000.0,5928.5,4811.0,1117.2,385.8,1797.1,357.4,9063.4,0.639,1,0.000,0.006,0.000,0.000,0.000
22,256,130.312,128.157,86.829,99250176,54.89,30.408,13.075,0,467.601,0.820,0,0.00,4000.0,5927.8,4810.3,1117.2,385.8,1798.2,358.4,9063.7,0.583,1,0.000,0.006,0.000,0.000,0.000
23,256,179.601,278.002,92.128,243634176,55.59,49.699,37.775,19,664.917,0.820,0,0.07,4000.0,5927.9,4810.4,1117.2,385.8,1797.2,356.7,9063.9,0.537,1,0.000,0.009,0.000,0.000,0.000
24,256,131.260,117.715,90.306,86507520,56.73,28.048,12.907,1,469.665,0.820,0,0.00,4000.0,5927.8,4810.3,1117.2,385.8,1797.8,357.3,9063.9,0.664,1,0.000,0.008,0.000,0.000,0.000
25,256,129.363,129.389,86.248,107053056,57.74,28.629,14.485,0,465.676,0.820,0,0.00,4000.0,5927.7,4810.2,1117.2,385.8,1799.1,358.6,9064.2,0.589,1,0.000,0.006,0.000,0.000,0.000
26,256,166.745,213.563,92.082,176971776,58.48,47.951,26.712,0,596.493,0.820,0,0.00,4000.0,5927.4,4809.8,1117.2,385.8,1799.0,355.8,9065.2,0.511,1,0.000,0.007,0.000,0.000,0.000
27,256,136.712,120.462,93.269,97173504,59.41,27.741,15.702,19,491.405,0.820,0,0.07,4000.0,5927.2,4809.6,1117.2,385.7,1799.8,356.6,9065.2,0.591,1,0.000,0.006,0.000,0.000,0.000
28,256,147.246,157.827,90.296,123543552,60.21,39.570,17.380,0,511.886,0.820,0,0.00,4000.0,5927.5,4810.0,1117.2,385.7,1797.3,354.1,9065.2,0.510,1,0.000,0.007,0.000,0.000,0.000
29,256,118.727,86.851,85.787,67055616,61.12,22.233,10.707,0,434.178,0.820,0,0.00,4000.0,5928.0,4810.4,1117.2,385.7,1799.5,356.3,9065.4,0.670,1,0.000,0.006,0.000,0.000,0.000
30,256,120.346,82.573,87.858,64782336,61.99,22.495,9.993,0,431.747,0.820,0,0.00,4000.0,5928.3,4810.8,1117.2,385.7,1798.4,355.2,9065.4,0.536,1,0.000,0.006,0.000,0.000,0.000
31,256,126.656,93.327,87.348,74956800,62.78,27.282,12.026,19,453.348,0.820,0,0.07,4000.0,5928.5,4811.0,1117.2,385.7,1794.1,337.9,9067.5,0.509,1,0.000,0.006,0.000,0.000,0.000
32,256,114.914,70.151,86.979,50958336,63.60,20.159,7.776,0,415.974,0.820,0,0.00,4000.0,5928.7,4811.1,1117.2,385.5,1795.8,339.5,9067.5,0.538,1,0.000,0.005,0.000,0.000,0.000
