# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4000 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,494.761,619.350,157.413,586014720,5.02,260.855,76.493,13830,1864.681,-1.000,0,54.02,4000.0,5856.9,4817.1,1039.5,383.0,1790.6,372.9,8907.5,0.375,1,0.000,0.007,0.000,0.000,0.000
2,256,318.484,437.951,71.519,395317248,10.91,195.777,51.187,1,1170.070,0.820,0,0.00,4000.0,5857.5,4817.7,1039.5,383.1,1788.6,372.1,8899.3,1.297,1,0.000,0.006,0.000,0.000,0.000
3,256,298.370,469.021,87.941,440352768,15.28,114.062,96.366,10,1193.852,0.820,0,0.04,4000.0,5857.9,4818.1,1039.5,383.1,1783.0,361.2,8900.6,0.735,1,0.000,0.010,0.000,0.000,0.000
4,256,219.812,282.867,90.792,241360896,20.56,74.288,54.732,1,847.401,0.820,0,0.00,4000.0,5856.7,4816.9,1039.5,383.1,1783.6,358.6,8902.8,1.194,1,0.000,0.009,0.000,0.000,0.000
5,256,229.785,307.667,90.744,266047488,24.81,79.152,59.889,1,884.937,0.820,0,0.00,4000.0,5856.1,4816.3,1039.5,383.1,1781.4,355.4,8903.1,1.122,1,0.000,0.011,0.000,0.000,0.000
6,256,215.609,280.088,90.512,247578624,28.57,70.780,54.317,0,858.927,0.820,0,0.00,4000.0,5855.7,4815.9,1039.5,383.1,1781.0,351.6,8904.1,1.005,1,0.000,0.009,0.000,0.000,0.000
7,256,196.235,232.970,91.556,174796800,32.30,67.354,37.324,11,710.191,0.820,0,0.04,4000.0,5857.2,4817.4,1039.5,383.1,1774.8,344.1,8907.9,1.104,1,0.000,0.009,0.000,0.000,0.000
8,256,219.280,275.869,90.680,241852416,35.13,79.169,49.431,1,846.053,0.820,0,0.00,4000.0,5856.6,4816.8,1039.5,383.0,1770.7,323.1,8912.4,0.782,1,0.000,0.008,0.000,0.000,0.000
9,256,239.543,334.803,89.700,308416512,37.24,85.090,64.753,0,948.929,0.820,0,0.00,4000.0,5855.7,4815.9,1039.5,383.0,1769.4,321.7,8912.6,0.915,1,0.000,0.010,0.000,0.000,0.000
10,256,242.944,346.827,90.875,298045440,39.16,89.077,62.993,0,928.254,0.820,0,0.00,4000.0,5855.7,4815.9,1039.5,383.0,1769.6,318.9,8913.1,1.023,1,0.000,0.010,0.000,0.000,0.000
11,256,206.812,241.737,98.028,193658880,41.42,68.672,40.112,10,777.724,0.820,0,0.04,4000.0,5856.6,4816.7,1039.5,383.0,1767.6,316.9,8913.1,0.977,1,0.000,0.010,0.000,0.000,0.000
12,256,266.634,383.180,90.737,356901440,42.64,100.046,75.851,0,1053.800,0.820,0,0.00,4000.0,5856.7,4816.9,1039.5,383.0,1768.4,317.6,8913.9,0.990,1,0.000,0.009,0.000,0.000,0.000
13,256,224.291,272.588,94.953,224968704,44.36,79.154,50.184,0,855.203,0.820,0,0.00,4000.0,5857.6,4817.8,1039.5,383.0,1766.0,315.1,8913.9,1.121,1,0.000,0.009,0.000,0.000,0.000
14,256,285.728,435.931,91.424,412016640,45.08,104.799,89.505,0,1169.585,0.820,0,0.00,4000.0,5856.1,4816.3,1039.5,383.0,1767.3,313.2,8914.7,1.137,1,0.000,0.011,0.000,0.000,0.000
15,256,198.154,232.546,93.438,188030976,46.70,62.541,42.175,10,756.587,0.820,0,0.04,4000.0,5857.3,4817.5,1039.5,383.0,1767.1,312.9,8915.2,1.049,1,0.000,0.009,0.000,0.000,0.000
16,256,170.031,171.047,90.469,137072640,48.40,51.100,28.462,0,616.072,0.820,0,0.00,4000.0,5857.1,4817.3,1039.5,383.0,1766.3,307.3,8915.4,1.002,1,0.000,0.009,0.000,0.000,0.000
17,256,184.100,178.873,93.235,152580096,49.89,59.067,31.798,1,674.162,0.820,0,0.00,4000.0,5857.1,4817.3,1039.5,382.8,1765.0,304.0,8916.2,1.033,1,0.000,0.008,0.000,0.000,0.000
18,256,322.716,533.736,90.044,491409408,49.98,125.651,107.021,0,1300.020,0.820,0,0.00,4000.0,5858.3,4818.5,1039.5,382.8,1762.6,301.6,8916.4,1.019,1,0.000,0.009,0.000,0.000,0.000
