# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=3287 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,5676.959,2095.013,5566.087,671342592,4.05,28.669,82.204,8902,15804.432,-1.000,0,34.77,3287.1,4408.3,4096.1,311.8,387.2,1453.9,235.5,6801.6,0.400,1,0.000,0.019,0.000,0.000,0.000
2,256,4224.691,1357.657,4117.607,443314176,9.56,52.442,54.643,3,12491.586,0.820,0,0.01,3287.1,4408.9,4096.7,311.8,387.2,1436.1,243.6,6820.2,3.426,1,0.000,0.017,0.000,0.000,0.000
3,256,4463.321,1612.996,4389.717,509681664,13.41,10.885,62.719,23,13137.707,0.820,0,0.09,3287.1,4409.3,4097.2,311.7,387.1,1401.8,216.4,6851.0,0.618,1,0.000,0.021,0.000,0.000,0.000
4,256,4928.282,1205.628,4884.116,276025344,18.56,9.375,34.791,1,14392.693,0.820,0,0.00,3287.1,4359.6,4063.3,295.9,419.7,1361.9,267.4,6866.7,0.727,1,0.000,0.024,0.000,0.000,0.000
5,256,5976.384,1378.523,5903.437,284712960,22.82,8.617,64.330,2160,17522.926,0.820,0,8.44,3287.1,4200.9,3932.7,267.8,552.4,1336.2,241.8,6810.8,0.665,1,0.000,0.021,0.000,0.000,0.000
6,256,7587.203,880.909,7473.098,290242560,26.42,4.907,109.198,10225,20626.441,0.820,0,39.94,3287.1,3527.2,3441.3,85.4,1043.4,1220.4,170.9,6556.7,0.694,1,0.000,0.023,0.000,0.000,0.000
7,256,7478.052,875.073,7421.878,182796288,30.25,0.000,56.174,1318,22176.080,0.820,0,5.15,3287.1,3171.7,3107.6,63.7,1376.0,1242.0,263.3,6212.7,0.693,1,0.000,0.017,0.000,0.000,0.000
8,256,3650.687,1079.293,3552.871,284516352,32.94,17.826,79.990,5789,10731.704,0.820,0,22.61,3287.1,3428.1,3368.1,59.6,1116.8,1220.5,239.6,6491.5,0.622,1,0.000,0.018,0.000,0.000,0.000
9,256,4426.651,1211.806,4334.344,332513280,35.04,1.365,90.943,3783,13028.065,0.820,0,14.78,3287.1,3731.4,3671.4,59.6,812.7,1203.9,221.5,6797.4,0.665,1,0.000,0.021,0.000,0.000,0.000
10,256,4956.044,1235.881,4880.422,303476736,37.05,0.000,75.622,1297,14536.148,0.820,0,5.07,3287.1,3820.0,3773.1,46.4,711.2,1224.1,268.5,6890.2,0.609,1,0.000,0.021,0.000,0.000,0.000
11,256,7017.447,1188.692,6928.509,190992384,39.44,33.062,55.875,641,20381.798,0.820,0,2.50,3287.1,3720.0,3696.3,23.3,788.9,1224.8,271.0,6784.7,0.643,1,0.000,0.024,0.000,0.000,0.000
12,256,4905.951,1476.282,4783.296,367764032,40.71,21.838,100.817,1307,14186.787,0.820,0,5.11,3287.1,4051.6,4027.9,23.3,457.5,1136.7,181.1,7118.7,0.720,1,0.000,0.020,0.000,0.000,0.000
13,256,5148.601,1229.132,5101.584,238301184,42.46,7.219,39.798,20,15156.035,0.820,0,0.08,3287.1,4075.5,4058.1,16.9,426.2,1144.3,233.4,7139.7,0.659,1,0.000,0.016,0.000,0.000,0.000
14,256,3862.363,1488.000,3799.190,465641472,43.03,0.000,63.172,3,11353.422,0.820,0,0.01,3287.1,4102.1,4084.8,16.9,398.9,1130.7,208.3,7177.6,0.624,1,0.000,0.014,0.000,0.000,0.000
15,256,4688.398,850.355,4645.494,190697472,44.73,15.046,27.858,23,13746.411,0.820,0,0.09,3287.1,4070.6,4053.5,16.7,430.4,1168.4,197.5,7155.9,0.631,1,0.000,0.022,0.000,0.000,0.000
16,256,5116.772,792.251,5083.337,137072640,46.50,7.972,25.463,1345,15153.745,0.820,0,5.25,3287.1,3972.4,3956.1,15.9,528.8,1164.2,285.0,7250.6,3.144,1,0.000,0.021,0.000,0.000,0.000
17,256,4401.042,945.767,4362.312,171638784,48.00,4.351,34.379,1584,13064.052,0.820,0,6.19,3287.1,4042.0,4025.7,15.9,458.1,1173.4,268.8,7329.7,0.557,1,0.000,0.018,0.000,0.000,0.000
18,256,4857.728,2034.612,4741.502,531603456,48.02,40.206,76.021,646,14141.153,0.820,0,2.52,3287.1,4101.2,4084.8,15.9,398.8,1171.1,264.9,7392.2,0.721,1,0.000,0.019,0.000,0.000,0.000
19,256,4749.441,1336.175,4688.207,308416512,48.85,19.324,41.910,24,13872.323,0.820,0,0.09,3287.1,4104.4,4088.5,15.4,396.5,1244.8,223.7,7432.9,0.615,1,0.000,0.022,0.000,0.000,0.000
20,256,3997.266,1187.800,3945.891,356806656,49.44,6.038,45.337,1,11852.925,0.820,0,0.00,3287.1,4104.4,4088.5,15.4,396.5,1231.3,205.5,7440.0,0.713,1,0.000,0.021,0.000,0.000,0.000
21,256,4365.103,1420.475,4329.760,263282688,50.32,0.000,35.343,1,12942.980,0.820,0,0.00,3287.1,4104.8,4088.9,15.4,396.5,1222.8,195.2,7442.7,0.623,1,0.000,0.019,0.000,0.000,0.000
22,256,4065.531,664.262,4048.864,115249152,51.62,0.000,16.667,0,12084.898,0.820,0,0.00,3287.1,4102.5,4086.8,15.3,396.5,1247.7,264.7,7427.0,0.696,1,0.000,0.021,0.000,0.000,0.000
23,256,4465.538,1366.378,4422.422,297259008,52.25,4.109,39.007,23,13050.387,0.820,0,0.09,3287.1,4101.9,4088.2,13.3,396.5,1174.8,268.1,7421.8,0.567,1,0.000,0.024,0.000,0.000,0.000
24,256,4267.202,835.443,4239.701,145268736,53.32,7.925,19.577,1,12675.161,0.820,0,0.00,3287.1,4102.6,4088.9,13.3,396.5,1163.7,253.0,7427.6,0.731,1,0.000,0.022,0.000,0.000,0.000
25,256,4299.053,910.946,4268.247,142110720,54.33,10.642,20.164,0,12627.903,0.820,0,0.00,3287.1,4070.7,4057.9,12.4,425.5,1138.8,275.0,7381.8,0.742,1,0.000,0.022,0.000,0.000,0.000
26,256,4171.664,966.830,4137.899,193167360,55.13,6.452,27.312,1,12349.151,0.820,0,0.00,3287.1,4079.1,4066.3,12.4,419.0,1107.8,238.2,7398.5,0.645,1,0.000,0.021,0.000,0.000,0.000
27,256,3528.653,801.917,3499.098,177364992,55.93,2.507,27.048,23,10482.207,0.820,0,0.09,3287.1,4100.5,4087.6,12.4,396.3,1104.8,225.4,7423.8,0.587,1,0.000,0.019,0.000,0.000,0.000
28,256,3616.025,983.420,3582.251,193560576,56.64,7.298,26.476,1,10695.487,0.820,0,0.00,3287.1,4101.0,4088.2,12.4,396.3,1097.2,217.3,7425.8,0.606,1,0.000,0.020,0.000,0.000,0.000
29,256,4091.302,901.427,4060.766,160481280,57.40,7.621,22.916,0,12123.171,0.820,0,0.00,3287.1,4101.5,4088.6,12.4,396.3,1092.3,212.3,7427.8,0.738,1,0.000,0.020,0.000,0.000,0.000
30,256,4676.985,812.774,4655.439,147836928,58.15,1.103,20.443,6,13836.585,0.820,0,0.02,3287.1,4097.6,4086.6,10.6,398.5,1144.0,268.6,7409.0,0.582,1,0.000,0.023,0.000,0.000,0.000
31,256,4171.621,874.463,4151.783,136581120,58.89,0.000,19.838,612,12195.106,0.820,0,2.39,3287.1,4099.7,4088.7,10.6,396.2,1121.1,233.9,7414.8,0.672,1,0.000,0.021,0.000,0.000,0.000
32,256,3939.016,540.922,3927.565,75251712,59.74,0.000,11.451,1,11729.493,0.820,0,0.00,3287.1,4098.9,4088.0,10.6,396.2,1113.8,225.7,7416.8,0.706,1,0.000,0.019,0.000,0.000,0.000
33,256,4163.521,1685.021,4087.645,479268864,59.58,15.099,60.777,0,12249.589,0.820,0,0.00,3287.1,4099.7,4088.8,10.6,396.2,1107.7,219.2,7418.1,0.639,1,0.000,0.017,0.000,0.000,0.000
