# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=3081 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,422.590,814.600,160.681,711340032,3.60,165.977,95.932,14141,1143.753,-1.000,0,55.24,3081.3,4394.7,3994.3,400.1,284.2,1517.8,267.9,6813.0,0.372,1,0.000,0.009,0.000,0.000,0.000
2,256,287.933,537.620,121.382,453980160,9.04,105.470,61.081,2,764.965,0.820,0,0.01,3081.3,4316.0,3920.5,395.1,358.7,1597.2,366.2,6731.7,1.731,1,0.000,0.007,0.000,0.000,0.000
3,256,311.046,639.845,128.863,525680640,12.80,117.224,64.959,1,826.990,0.820,0,0.00,3081.3,4316.3,3920.9,395.1,358.8,1508.2,274.2,6723.5,0.621,1,0.000,0.006,0.000,0.000,0.000
4,256,227.204,356.465,121.502,284024832,17.93,64.515,41.188,2,619.071,0.820,0,0.01,3081.3,4313.9,3919.7,393.9,358.8,1502.7,270.6,6723.2,0.597,1,0.000,0.006,0.000,0.000,0.000
5,256,226.268,360.396,122.600,290045952,22.20,60.431,43.238,1,626.331,0.820,0,0.00,3081.3,4313.1,3918.9,393.9,358.8,1507.3,274.2,6724.0,0.660,1,0.000,0.006,0.000,0.000,0.000
6,256,227.314,367.857,124.395,295575552,25.81,59.878,43.042,1,630.170,0.820,0,0.00,3081.3,4313.0,3918.8,393.9,358.8,1507.3,270.5,6724.7,0.695,1,0.000,0.006,0.000,0.000,0.000
7,256,246.664,254.246,171.357,188129280,29.64,46.909,28.398,1,658.301,0.820,0,0.00,3081.3,4313.9,3919.7,393.9,358.8,1504.6,206.0,6743.0,0.656,1,0.000,0.008,0.000,0.000,0.000
8,256,225.989,365.617,127.933,287182848,32.36,56.746,41.311,1,631.402,0.820,0,0.00,3081.3,4311.3,3918.9,392.1,358.8,1556.0,255.8,6742.7,0.628,1,0.000,0.008,0.000,0.000,0.000
9,256,242.166,410.102,129.469,332513280,34.49,66.133,46.564,1,675.220,0.820,0,0.00,3081.3,4311.3,3918.8,392.1,358.8,1537.2,240.7,6742.2,0.641,1,0.000,0.006,0.000,0.000,0.000
10,256,235.600,386.939,123.565,306143232,36.52,67.948,44.087,1,649.884,0.820,0,0.00,3081.3,4312.4,3920.1,392.0,358.8,1538.4,244.2,6741.7,0.583,1,0.000,0.006,0.000,0.000,0.000
11,256,194.756,255.390,123.266,196325376,38.91,42.127,29.363,1,555.182,0.820,0,0.00,3081.3,4311.7,3919.4,392.0,358.8,1562.3,268.4,6741.0,0.690,1,0.000,0.006,0.000,0.000,0.000
12,256,270.420,462.611,146.515,370430528,40.19,71.255,52.650,2,758.372,0.820,0,0.01,3081.3,4312.2,3919.9,392.0,358.8,1553.4,234.7,6741.0,0.672,1,0.000,0.007,0.000,0.000,0.000
13,256,635.969,342.392,538.021,243732480,41.94,62.706,35.241,1,1512.499,0.820,0,0.00,3081.3,4297.8,3905.7,391.9,373.4,1642.9,236.9,6935.5,0.651,1,0.000,0.009,0.000,0.000,0.000
14,256,292.418,581.899,127.335,470974464,42.51,103.828,61.255,2,795.596,0.820,0,0.01,3081.3,4282.6,3890.4,391.9,387.4,1633.0,241.0,6913.8,0.635,1,0.000,0.006,0.000,0.000,0.000
15,256,199.346,259.688,124.000,193363968,44.22,46.502,28.845,1,546.471,0.820,0,0.00,3081.3,4282.3,3890.1,391.9,387.4,1655.9,260.8,6914.5,0.573,1,0.000,0.007,0.000,0.000,0.000
16,256,189.845,207.208,128.477,155738112,45.94,39.709,21.659,1,528.618,0.820,0,0.00,3081.3,4282.1,3890.1,391.8,387.4,1653.2,199.0,6908.3,0.638,1,0.000,0.006,0.000,0.000,0.000
17,256,481.977,229.347,405.968,177168384,47.44,52.289,23.719,2,1357.001,0.820,0,0.01,3081.3,4271.0,3891.7,379.0,387.3,1643.7,200.9,6900.2,0.729,1,0.000,0.007,0.000,0.000,0.000
18,256,326.797,653.725,127.764,547602432,47.42,121.068,77.965,0,908.222,0.820,0,0.00,3081.3,4267.6,3892.0,375.4,387.3,1648.8,264.1,6892.4,0.748,1,0.000,0.007,0.000,0.000,0.000
19,256,261.570,478.132,119.216,386433024,47.98,90.487,51.866,2,722.902,0.820,0,0.01,3081.3,4267.7,3892.0,375.4,387.3,1608.3,254.1,6888.7,0.582,1,0.000,0.006,0.000,0.000,0.000
20,256,251.717,453.930,121.403,362139648,48.60,79.722,50.592,1,699.162,0.820,0,0.00,3081.3,4266.3,3890.8,375.3,387.3,1596.3,252.6,6887.7,0.636,1,0.000,0.006,0.000,0.000,0.000
21,256,231.496,386.210,123.162,290439168,49.41,66.049,42.285,1,632.910,0.820,0,0.00,3081.3,4266.3,3890.7,375.3,387.3,1616.7,276.2,6887.4,0.566,1,0.000,0.006,0.000,0.000,0.000
22,256,182.509,195.152,121.681,117915648,50.73,43.856,16.972,0,476.833,0.820,0,0.00,3081.3,4266.6,3891.1,375.3,387.3,1611.4,272.0,6887.7,0.590,1,0.000,0.005,0.000,0.000,0.000
23,256,230.574,384.130,122.331,310788096,51.35,64.705,43.538,1,639.164,0.820,0,0.00,3081.3,4267.5,3891.9,375.3,387.3,1599.7,263.5,6887.2,0.626,1,0.000,0.005,0.000,0.000,0.000
24,256,183.391,206.860,122.726,150601728,52.43,38.271,22.395,1,516.997,0.820,0,0.00,3081.3,4266.1,3890.5,375.3,387.3,1599.3,266.9,6887.2,0.640,1,0.000,0.006,0.000,0.000,0.000
25,256,196.006,190.566,132.969,144777216,53.46,41.728,21.308,0,552.972,0.820,0,0.00,3081.3,4267.4,3891.8,375.3,387.3,1594.4,260.8,6900.7,0.612,1,0.000,0.006,0.000,0.000,0.000
26,256,216.868,259.038,131.461,201166848,54.26,56.025,29.383,0,616.253,0.820,0,0.00,3081.3,4266.0,3890.4,375.3,387.3,1609.6,282.1,6912.8,0.658,1,0.000,0.007,0.000,0.000,0.000
27,256,192.403,227.293,124.313,177364992,55.09,43.701,24.389,2,528.367,0.820,0,0.01,3081.3,4265.9,3890.4,375.3,387.3,1581.3,258.1,6912.3,0.636,1,0.000,0.007,0.000,0.000,0.000
