# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=2998 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,681.534,847.352,465.311,732672000,3.36,120.451,95.771,9684,1805.806,-1.000,0,37.83,2998.4,4236.8,3835.0,401.4,359.6,1696.6,315.5,6860.7,0.373,1,0.000,0.011,0.000,0.000,0.000
2,256,938.954,579.333,780.865,467312640,8.70,90.667,67.421,3,2634.974,0.824,0,0.01,2998.4,4208.5,3811.6,396.4,383.3,1735.1,283.7,6862.7,1.571,1,0.000,0.013,0.000,0.000,0.000
3,256,554.372,610.414,376.340,525680640,12.49,108.048,69.984,19,1603.743,0.824,0,0.07,2998.4,4203.8,3809.6,393.8,385.7,1700.4,253.3,6866.7,0.639,1,0.000,0.009,0.000,0.000,0.000
4,256,228.489,388.534,125.165,297357312,17.54,64.423,38.902,2,572.876,0.824,0,0.01,2998.4,4202.4,3808.2,393.8,385.7,1699.2,252.7,6864.5,0.630,1,0.000,0.007,0.000,0.000,0.000
5,256,224.325,368.359,117.889,290045952,21.85,66.977,39.460,1,528.689,0.824,0,0.00,2998.4,4204.3,3810.1,393.8,385.7,1699.4,256.3,6860.5,0.713,1,0.000,0.006,0.000,0.000,0.000
6,256,230.888,388.411,124.297,308908032,25.39,64.719,41.873,1,583.122,0.824,0,0.00,2998.4,4203.6,3809.3,393.8,385.7,1706.9,267.2,6856.7,0.629,1,0.000,0.006,0.000,0.000,0.000
7,256,186.190,247.035,114.535,188129280,29.25,47.002,24.653,19,439.923,0.824,0,0.07,2998.4,4202.7,3808.5,393.8,385.7,1704.7,267.6,6852.5,0.779,1,0.000,0.006,0.000,0.000,0.000
8,256,221.247,364.548,121.134,287182848,31.99,62.243,37.870,1,540.036,0.824,0,0.00,2998.4,4204.5,3810.3,393.8,385.8,1696.8,262.0,6850.5,0.599,1,0.000,0.007,0.000,0.000,0.000
9,256,233.253,411.838,116.197,332513280,34.14,71.274,45.782,1,555.048,0.824,0,0.00,2998.4,4204.0,3809.8,393.8,386.0,1715.9,281.8,6846.7,0.605,1,0.000,0.007,0.000,0.000,0.000
10,256,232.395,406.440,115.114,322142208,36.11,74.324,42.957,2,547.283,0.820,0,0.01,2998.4,4203.1,3808.9,393.8,386.0,1716.2,282.8,6841.7,0.541,1,0.000,0.006,0.000,0.000,0.000
