# compute_trace v1
# model=/data/local/tmp/moe-stream/Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_threads=4 io_threads=4 o_direct=1 overlap=1
turn,phase,step,seq,layer,op,name,wall_ns,majflt
0,0,33,0,-1,LAYER,pre,4289948,113
0,0,33,1,0,LAYER,blk.0,6646719,0
0,0,33,2,0,LAYER,blk.0,125865781,0
0,0,33,3,1,LAYER,blk.1,5800937,0
0,0,33,4,1,LAYER,blk.1,119596615,0
0,0,33,5,2,LAYER,blk.2,17720364,0
0,0,33,6,2,LAYER,blk.2,142837500,0
0,0,33,7,3,LAYER,blk.3,10065990,0
0,0,33,8,3,LAYER,blk.3,121351771,0
0,0,33,9,4,LAYER,blk.4,14451875,0
0,0,33,10,4,LAYER,blk.4,96061666,0
0,0,33,11,5,LAYER,blk.5,5736354,0
0,0,33,12,5,LAYER,blk.5,82551511,0
0,0,33,13,6,LAYER,blk.6,8220781,0
0,0,33,14,6,LAYER,blk.6,55476302,0
0,0,33,15,7,LAYER,blk.7,9071354,0
0,0,33,16,7,LAYER,blk.7,64630052,0
0,0,33,17,8,LAYER,blk.8,11257865,0
0,0,33,18,8,LAYER,blk.8,75131042,0
0,0,33,19,9,LAYER,blk.9,11960625,0
0,0,33,20,9,LAYER,blk.9,60025677,0
0,0,33,21,10,LAYER,blk.10,10189791,0
0,0,33,22,10,LAYER,blk.10,93832188,1
0,0,33,23,11,LAYER,blk.11,7797656,0
0,0,33,24,11,LAYER,blk.11,74942396,0
0,0,33,25,12,LAYER,blk.12,10703489,0
0,0,33,26,12,LAYER,blk.12,66859375,0
0,0,33,27,13,LAYER,blk.13,15820157,0
0,0,33,28,13,LAYER,blk.13,74828281,0
0,0,33,29,14,LAYER,blk.14,12174792,0
0,0,33,30,14,LAYER,blk.14,84887395,0
0,0,33,31,15,LAYER,blk.15,9258907,0
0,0,33,32,15,LAYER,blk.15,86857864,0
0,0,33,33,16,LAYER,blk.16,12047448,0
0,0,33,34,16,LAYER,blk.16,83838021,0
0,0,33,35,17,LAYER,blk.17,9311719,0
0,0,33,36,17,LAYER,blk.17,94687239,0
0,0,33,37,18,LAYER,blk.18,6528854,0
0,0,33,38,18,LAYER,blk.18,101489740,0
0,0,33,39,19,LAYER,blk.19,9844427,0
0,0,33,40,19,LAYER,blk.19,135708437,0
0,0,33,41,20,LAYER,blk.20,17158542,0
0,0,33,42,20,LAYER,blk.20,142959323,0
0,0,33,43,21,LAYER,blk.21,21115000,1
0,0,33,44,21,LAYER,blk.21,127742552,0
0,0,33,45,22,LAYER,blk.22,28482708,1
0,0,33,46,22,LAYER,blk.22,226095469,1
0,0,33,47,23,LAYER,blk.23,21196667,0
0,0,33,48,23,LAYER,blk.23,165611718,1
0,0,33,49,24,LAYER,blk.24,10334063,8
0,0,33,50,24,LAYER,blk.24,89660625,1
0,0,33,51,25,LAYER,blk.25,11618593,8
0,0,33,52,25,LAYER,blk.25,222367188,0
0,0,33,53,26,LAYER,blk.26,61626406,2786
0,0,33,54,26,LAYER,blk.26,236487188,0
0,0,33,55,27,LAYER,blk.27,36754895,2861
0,0,33,56,27,LAYER,blk.27,327021042,0
