# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,394.443,552.872,157.109,452689920,6.53,171.880,65.454,16701,1420.248,-1.000,0,65.24,5000.0,7000.2,5879.3,1120.5,317.1,1694.8,274.3,9650.6,0.376,1,0.000,0.007,0.000,0.000,0.000
2,256,244.382,383.671,91.000,312655872,13.10,113.168,40.214,0,856.328,0.820,0,0.00,5000.0,6972.0,5851.1,1120.5,346.1,1714.1,294.8,9619.6,5.595,1,0.000,0.006,0.000,0.000,0.000
3,256,235.828,452.442,97.890,365690880,17.95,69.512,68.426,1,868.359,0.820,0,0.00,5000.0,6972.5,5851.6,1120.5,346.1,1713.2,291.6,9620.1,0.561,1,0.000,0.008,0.000,0.000,0.000
4,256,162.131,214.864,87.978,172032000,23.58,44.803,29.350,1,592.524,0.820,0,0.00,5000.0,6971.1,5850.2,1120.5,346.1,1708.8,287.1,9620.6,0.909,1,0.000,0.007,0.000,0.000,0.000
5,256,188.099,308.801,93.246,242049024,27.78,51.943,42.910,1,675.614,0.820,0,0.00,5000.0,6970.6,5849.7,1120.5,346.1,1710.3,288.5,9620.6,0.615,1,0.000,0.008,0.000,0.000,0.000
6,256,167.967,248.940,91.257,196915200,31.68,41.360,35.349,0,617.002,0.820,0,0.00,5000.0,6970.2,5849.3,1120.5,346.1,1708.6,286.8,9620.6,0.811,1,0.000,0.007,0.000,0.000,0.000
7,256,199.962,195.424,121.100,142798848,35.41,54.709,24.153,1,628.750,0.820,0,0.00,5000.0,6971.6,5850.7,1120.5,346.1,1693.3,178.3,9646.6,0.648,1,0.000,0.007,0.000,0.000,0.000
8,256,255.398,260.315,113.243,199188480,38.31,114.491,27.663,1,854.569,0.820,0,0.00,5000.0,6970.2,5850.0,1119.8,346.1,1689.9,165.2,9658.5,0.568,1,0.000,0.008,0.000,0.000,0.000
9,256,266.785,312.758,95.277,239087616,40.63,145.846,25.663,0,883.280,0.820,0,0.00,5000.0,6969.8,5851.5,1117.9,346.2,1691.5,196.0,9654.0,1.609,1,0.000,0.007,0.000,0.000,0.000
10,256,267.289,323.451,97.465,250048512,42.62,140.418,29.406,0,904.156,0.820,0,0.00,5000.0,6969.2,5850.9,1117.9,346.2,1697.9,219.8,9648.5,4.597,1,0.000,0.005,0.000,0.000,0.000
11,256,238.810,233.184,93.493,166993920,44.84,125.223,20.094,0,775.785,0.820,0,0.00,5000.0,6959.6,5850.1,1109.1,346.2,1699.6,238.8,9643.5,5.330,1,0.000,0.006,0.000,0.000,0.000
12,256,268.038,339.843,99.209,268907072,46.32,128.311,40.518,0,936.576,0.820,0,0.00,5000.0,6951.8,5847.8,1103.6,348.1,1709.8,265.6,9637.8,0.609,1,0.000,0.006,0.000,0.000,0.000
13,256,262.813,289.818,84.363,214204416,47.92,140.855,37.595,0,875.157,0.820,0,0.00,5000.0,6938.8,5848.7,1089.8,348.1,1709.7,278.7,9635.4,0.573,1,0.000,0.006,0.000,0.000,0.000
