# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4985 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,631.701,799.956,353.285,455356416,6.50,276.904,1.512,19713,1742.261,-1.000,0,77.00,4985.3,6416.3,6272.4,143.6,479.9,831.7,125.8,9671.2,0.401,1,0.000,0.008,0.000,0.000,0.000
2,256,443.101,654.420,217.858,312655872,13.08,222.900,2.343,0,1091.241,0.820,0,0.00,4985.3,6335.6,6209.6,125.8,542.5,814.6,117.9,9622.6,15.084,1,0.000,0.005,0.000,0.000,0.000
3,256,433.576,602.444,181.230,365690880,17.93,250.772,1.574,36,1083.897,0.820,0,0.14,4985.3,6255.8,6146.9,108.6,605.2,812.1,115.8,9551.5,0.582,1,0.000,0.008,0.000,0.000,0.000
4,256,199.296,254.459,99.396,172032000,23.55,98.714,1.186,534,562.800,0.820,0,2.09,4985.3,6255.2,6146.3,108.6,606.1,822.2,125.1,9543.0,0.627,1,0.000,0.006,0.000,0.000,0.000
5,256,244.041,354.170,98.461,242049024,27.75,143.355,2.224,4833,656.249,0.820,0,18.88,4985.3,6272.1,6165.1,106.8,587.4,831.0,132.7,9551.8,0.525,1,0.000,0.006,0.000,0.000,0.000
6,256,214.792,283.462,90.490,196915200,31.66,122.909,1.394,5268,619.422,0.820,0,20.58,4985.3,6290.7,6185.6,104.9,567.0,838.0,142.7,9562.5,0.523,1,0.000,0.007,0.000,0.000,0.000
7,256,203.740,213.353,99.440,142798848,35.39,102.131,2.168,3535,588.615,0.820,0,13.81,4985.3,6302.7,6199.3,103.1,553.1,843.9,149.7,9567.0,0.550,1,0.000,0.006,0.000,0.000,0.000
8,256,199.608,284.858,83.835,201854976,38.28,114.547,1.225,4438,560.095,0.820,0,17.34,4985.3,6319.8,6216.4,103.1,535.7,851.9,158.1,9573.0,0.551,1,0.000,0.006,0.000,0.000,0.000
9,256,227.211,340.279,89.714,239087616,40.60,136.118,1.378,4194,617.386,0.820,0,16.38,4985.3,6334.2,6232.9,101.0,519.4,860.1,166.6,9577.5,0.574,1,0.000,0.006,0.000,0.000,0.000
10,256,245.241,366.453,102.492,255381504,42.57,140.465,2.284,4926,680.142,0.820,0,19.24,4985.3,6344.3,6244.9,99.1,507.4,861.9,162.2,9585.4,0.540,1,0.000,0.007,0.000,0.000,0.000
