# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,567.554,985.558,228.659,452689920,6.53,337.204,1.691,19522,1547.505,-1.000,0,76.26,5000.0,6083.3,6065.7,17.2,701.9,693.1,141.9,9515.8,0.404,1,0.000,0.010,0.000,0.000,0.000
2,256,290.356,492.554,88.841,312655872,13.10,199.385,2.130,7960,752.122,0.820,0,31.09,5000.0,6114.5,6096.9,17.2,670.6,710.4,149.1,9530.5,1.416,1,0.000,0.006,0.000,0.000,0.000
3,256,309.810,570.883,82.220,365690880,17.95,226.135,1.455,7285,781.499,0.820,0,28.46,5000.0,6140.5,6122.9,17.2,644.5,725.0,147.4,9539.0,4.742,1,0.000,0.005,0.000,0.000,0.000
4,256,235.307,267.832,87.882,172032000,23.58,146.170,1.255,3266,666.849,0.820,0,12.76,5000.0,6150.3,6132.7,17.2,634.8,738.9,149.5,9535.3,0.575,1,0.000,0.005,0.000,0.000,0.000
5,256,249.242,358.026,89.724,242049024,27.78,157.304,2.213,4915,664.489,0.820,0,19.20,5000.0,6161.4,6143.9,17.1,623.5,742.2,133.7,9541.8,0.552,1,0.000,0.005,0.000,0.000,0.000
6,256,225.890,297.169,88.644,196915200,31.68,135.850,1.396,5474,621.991,0.820,0,21.38,5000.0,6182.4,6164.9,17.1,602.4,750.8,141.8,9551.6,0.559,1,0.000,0.005,0.000,0.000,0.000
7,256,224.981,212.085,96.967,142798848,35.41,125.756,2.258,3587,645.341,0.820,0,14.01,5000.0,6196.3,6178.8,17.1,588.4,752.4,129.1,9557.4,0.570,1,0.000,0.006,0.000,0.000,0.000
8,256,230.234,301.501,88.010,199188480,38.31,140.985,1.238,4455,616.222,0.820,0,17.40,5000.0,6201.3,6183.8,17.1,583.6,753.3,117.6,9556.6,0.561,1,0.000,0.004,0.000,0.000,0.000
9,256,264.676,366.610,86.505,239087616,40.63,176.851,1.320,4172,705.293,0.820,0,16.30,5000.0,6199.1,6181.7,17.1,586.0,759.4,112.5,9548.6,0.574,1,0.000,0.005,0.000,0.000,0.000
10,256,278.136,373.173,87.117,250048512,42.62,188.784,2.235,4929,740.310,0.820,0,19.25,5000.0,6196.5,6179.0,17.1,588.2,764.2,112.5,9540.0,0.529,1,0.000,0.005,0.000,0.000,0.000
11,256,298.500,335.867,137.871,166993920,44.84,159.198,1.431,4021,819.342,0.820,0,15.71,5000.0,6188.8,6171.4,17.0,596.0,766.7,98.6,9527.3,5.245,1,0.000,0.006,0.000,0.000,0.000
12,256,388.811,579.054,99.683,268907072,46.32,287.515,1.613,5369,940.573,0.820,0,20.97,5000.0,6148.4,6131.2,16.8,636.1,773.8,122.3,9480.9,7.568,1,0.000,0.006,0.000,0.000,0.000
13,256,297.003,373.084,94.387,214204416,47.92,200.295,2.321,2121,785.773,0.820,0,8.29,5000.0,6129.4,6112.5,16.5,654.9,759.4,127.2,9473.6,4.164,1,0.000,0.005,0.000,0.000,0.000
14,256,321.943,611.376,75.835,411918336,48.47,244.765,1.343,3064,794.588,0.820,0,11.97,5000.0,6130.6,6114.5,15.7,653.0,785.8,160.5,9507.4,0.559,1,0.000,0.005,0.000,0.000,0.000
15,256,217.003,246.034,95.969,163835904,50.05,118.976,2.059,40,612.103,0.820,0,0.16,5000.0,6125.8,6109.7,15.7,657.9,791.2,167.9,9509.6,0.531,1,0.000,0.007,0.000,0.000,0.000
16,256,197.223,183.156,89.323,126308352,51.64,106.638,1.262,1,554.309,0.820,0,0.00,5000.0,6119.5,6103.4,15.7,664.1,795.8,169.5,9498.6,0.706,1,0.000,0.006,0.000,0.000,0.000
17,256,224.350,220.713,86.611,152580096,53.00,136.307,1.431,0,616.074,0.820,0,0.00,5000.0,6110.8,6094.7,15.7,673.0,801.4,165.4,9484.8,0.506,1,0.000,0.006,0.000,0.000,0.000
18,256,236.015,325.286,81.527,225263616,53.98,152.378,2.109,0,628.714,0.820,0,0.00,5000.0,6105.9,6089.9,15.6,677.6,807.8,174.8,9471.1,5.188,1,0.000,0.006,0.000,0.000,0.000
19,256,199.529,188.367,93.188,128778240,55.24,105.067,1.274,755,578.253,0.820,0,2.95,5000.0,6104.9,6088.9,15.6,678.6,812.8,182.0,9461.6,0.506,1,0.000,0.006,0.000,0.000,0.000
20,256,199.392,146.321,96.899,101621760,56.51,101.187,1.307,0,578.931,0.820,0,0.00,5000.0,6096.6,6080.7,15.6,687.0,814.5,175.3,9449.9,0.561,1,0.000,0.005,0.000,0.000,0.000
21,256,191.671,147.828,86.359,101720064,57.68,103.414,1.898,0,552.283,0.820,0,0.00,5000.0,6091.4,6075.4,15.6,692.1,818.7,181.5,9438.6,0.511,1,0.000,0.005,0.000,0.000,0.000
22,256,178.434,145.515,96.705,93917184,58.80,80.556,1.173,239,531.058,0.820,0,0.93,5000.0,6090.3,6074.4,15.5,693.1,823.0,190.0,9431.1,0.505,1,0.000,0.005,0.000,0.000,0.000
23,256,190.090,161.366,96.898,104189952,59.81,91.223,1.969,40,547.034,0.820,0,0.16,5000.0,6090.4,6074.5,15.5,693.0,830.5,201.9,9421.6,5.324,1,0.000,0.005,0.000,0.000,0.000
