# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4939 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,567.034,617.398,296.270,466022400,6.37,190.012,80.751,16476,1752.985,-1.000,0,64.36,4939.9,6108.8,5837.3,271.1,298.6,1112.1,152.1,9763.7,0.378,1,0.000,0.010,0.000,0.000,0.000
2,256,279.532,374.540,112.134,315322368,12.94,130.658,36.739,0,921.850,0.820,0,0.00,4939.9,6078.6,5807.0,271.1,329.2,1161.4,178.1,9725.3,0.975,1,0.000,0.006,0.000,0.000,0.000
3,256,301.953,473.299,93.463,365690880,17.80,164.406,44.083,10,1007.557,0.820,0,0.04,4939.9,6075.8,5807.7,267.7,329.2,1167.1,147.6,9716.9,0.539,1,0.000,0.005,0.000,0.000,0.000
4,256,212.941,227.479,116.540,174698496,23.42,72.299,24.102,1,714.775,0.820,0,0.00,4939.9,6074.5,5806.4,267.7,329.2,1178.5,152.8,9706.0,0.592,1,0.000,0.005,0.000,0.000,0.000
5,256,230.900,299.720,90.960,242049024,27.63,109.664,30.276,1,778.635,0.820,0,0.00,4939.9,6072.7,5808.3,264.0,329.2,1182.8,157.6,9695.7,0.545,1,0.000,0.006,0.000,0.000,0.000
6,256,1174.387,282.712,1053.615,202248192,31.51,96.226,24.546,0,3566.448,0.820,0,0.00,4939.9,6064.4,5808.1,256.0,329.2,1214.8,154.4,9642.1,4.622,1,0.000,0.007,0.000,0.000,0.000
7,256,193.047,195.088,104.793,142798848,35.25,62.536,25.719,10,574.264,0.820,0,0.04,4939.9,6063.3,5806.9,256.0,329.2,1221.1,146.7,9635.4,0.562,1,0.000,0.007,0.000,0.000,0.000
8,256,799.061,270.318,685.478,204521472,38.13,81.029,32.553,1,2446.285,0.820,0,0.00,4939.9,6054.8,5806.0,248.4,329.2,1249.2,163.2,9599.3,0.525,1,0.000,0.006,0.000,0.000,0.000
9,256,237.607,300.658,110.637,241754112,40.44,89.722,37.249,0,807.125,0.820,0,0.00,4939.9,6052.8,5807.7,244.7,329.2,1255.7,174.5,9589.4,4.874,1,0.000,0.009,0.000,0.000,0.000
10,256,241.765,326.131,95.907,258048000,42.40,113.708,32.149,0,810.061,0.820,0,0.00,4939.9,6048.7,5807.3,241.0,329.2,1262.3,183.6,9587.4,1.790,1,0.000,0.008,0.000,0.000,0.000
11,256,214.975,231.646,97.272,169660416,44.62,92.422,25.281,8,706.427,0.820,0,0.03,4939.9,6044.1,5806.3,237.4,329.2,1265.3,189.2,9584.7,0.594,1,0.000,0.007,0.000,0.000,0.000
12,256,246.435,366.194,91.830,284906048,46.03,116.366,38.239,0,817.573,0.820,0,0.00,4939.9,6042.4,5808.6,233.5,329.2,1271.0,201.8,9572.7,6.723,1,0.000,0.009,0.000,0.000,0.000
13,256,227.923,288.577,83.864,214204416,47.64,113.512,30.547,0,774.071,0.820,0,0.00,4939.9,6040.8,5806.9,233.5,329.2,1283.5,221.1,9558.5,0.597,1,0.000,0.008,0.000,0.000,0.000
14,256,283.488,502.402,86.162,411918336,48.21,139.845,57.481,0,985.218,0.820,0,0.00,4939.9,6037.5,5807.2,229.9,330.1,1294.2,239.1,9546.9,5.616,1,0.000,0.008,0.000,0.000,0.000
15,256,195.377,221.774,100.286,163835904,49.79,75.358,19.733,8,648.325,0.820,0,0.03,4939.9,6033.7,5805.7,227.6,330.1,1304.6,256.2,9535.9,0.548,1,0.000,0.008,0.000,0.000,0.000
16,256,202.549,175.578,112.835,126308352,51.40,73.850,15.863,0,643.674,0.820,0,0.00,4939.9,6031.7,5805.4,225.9,330.1,1312.2,264.5,9525.6,0.579,1,0.000,0.008,0.000,0.000,0.000
17,256,216.289,207.452,96.242,152580096,52.77,101.166,18.881,3,696.666,0.820,0,0.01,4939.9,6028.0,5805.6,222.0,330.0,1319.4,284.0,9518.0,0.588,1,0.000,0.009,0.000,0.000,0.000
18,256,235.393,302.489,103.630,225263616,53.76,103.817,27.945,0,768.839,0.820,0,0.00,4939.9,6028.3,5805.9,222.0,330.4,1322.6,287.5,9511.7,0.614,1,0.000,0.008,0.000,0.000,0.000
19,256,187.460,177.051,102.255,128778240,55.03,66.179,19.026,8,618.898,0.820,0,0.03,4939.9,6024.9,5806.0,218.5,330.4,1329.7,299.9,9503.7,0.557,1,0.000,0.006,0.000,0.000,0.000
20,256,195.389,143.695,102.859,104288256,56.29,75.667,16.863,0,629.255,0.820,0,0.00,4939.9,6025.3,5806.4,218.5,330.4,1319.8,283.5,9500.7,0.586,1,0.000,0.006,0.000,0.000,0.000
21,256,171.449,141.312,93.527,101720064,57.47,63.386,14.537,1,561.304,0.820,0,0.00,4939.9,6024.1,5805.2,218.5,331.4,1325.0,266.6,9598.1,0.523,1,0.000,0.005,0.000,0.000,0.000
22,256,118.433,123.627,78.029,93917184,58.60,26.685,13.719,0,406.448,0.820,0,0.00,4939.9,6017.9,5799.1,218.4,338.0,1337.1,278.7,9588.6,0.555,1,0.000,0.006,0.000,0.000,0.000
23,256,122.308,140.371,76.791,104189952,59.62,29.708,15.809,8,426.748,0.820,0,0.03,4939.9,6013.0,5794.3,218.4,342.7,1344.2,285.9,9580.6,0.566,1,0.000,0.005,0.000,0.000,0.000
24,256,100.772,67.638,76.132,45723648,60.76,17.633,7.007,2,351.758,0.820,0,0.01,4939.9,6009.6,5790.9,218.4,346.3,1349.0,290.2,9574.9,0.531,1,0.000,0.005,0.000,0.000,0.000
25,256,119.806,122.876,78.412,96387072,61.67,27.535,13.859,0,415.807,0.820,0,0.00,4939.9,6005.6,5786.8,218.4,349.5,1357.0,298.1,9570.1,0.593,1,0.000,0.006,0.000,0.000,0.000
26,256,127.205,155.116,77.033,125718528,62.45,32.183,17.989,0,431.697,0.820,0,0.00,4939.9,6006.0,5787.2,218.4,349.5,1356.4,297.5,9570.2,0.591,1,0.000,0.007,0.000,0.000,0.000
27,256,113.596,96.283,78.364,70017024,63.34,25.096,10.136,8,396.543,0.820,0,0.03,4939.9,6006.1,5787.3,218.4,349.4,1355.4,296.4,9570.2,0.544,1,0.000,0.006,0.000,0.000,0.000
28,256,113.106,99.532,78.017,72192000,64.17,24.851,10.238,0,389.537,0.820,0,0.00,4939.9,6006.2,5787.5,218.4,349.4,1356.0,296.1,9571.7,0.518,1,0.000,0.006,0.000,0.000,0.000
29,256,98.585,68.149,74.298,45428736,65.03,16.751,7.536,0,354.653,0.820,0,0.00,4939.9,6005.5,5786.7,218.4,349.4,1357.4,297.6,9571.7,0.588,1,0.000,0.006,0.000,0.000,0.000
