# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,424.684,604.077,180.400,452689920,6.53,184.142,60.142,14385,1393.380,-1.000,0,56.19,5000.0,6271.6,5873.1,398.3,323.4,1227.3,171.7,9700.4,0.400,1,0.000,0.008,0.000,0.000,0.000
2,256,343.418,402.652,134.380,312655872,13.10,167.963,41.075,0,1078.880,0.820,0,0.00,5000.0,6241.1,5873.9,366.9,323.4,1209.6,119.0,9703.7,1.418,1,0.000,0.006,0.000,0.000,0.000
3,256,311.457,454.961,77.051,365690880,17.95,188.087,46.320,32,1040.033,0.820,0,0.12,5000.0,6237.0,5874.3,362.4,323.3,1215.0,117.9,9692.9,0.546,1,0.000,0.005,0.000,0.000,0.000
4,256,219.371,232.378,96.087,172032000,23.58,97.634,25.649,1,737.320,0.820,0,0.00,5000.0,6230.3,5873.1,356.9,323.3,1222.6,121.6,9682.9,0.588,1,0.000,0.006,0.000,0.000,0.000
5,256,262.118,307.445,93.195,242049024,27.78,131.442,37.481,1,879.723,0.820,0,0.00,5000.0,6229.9,5872.7,356.9,323.3,1233.3,133.8,9667.1,0.522,1,0.000,0.006,0.000,0.000,0.000
6,256,235.573,266.030,95.603,196915200,31.68,116.757,23.213,0,789.886,0.820,0,0.00,5000.0,6227.8,5872.2,355.3,323.3,1243.6,145.5,9655.1,0.528,1,0.000,0.006,0.000,0.000,0.000
7,256,212.693,204.892,99.682,142798848,35.41,91.427,21.584,33,687.411,0.820,0,0.13,5000.0,6225.8,5873.7,351.8,323.2,1248.9,160.0,9645.4,0.578,1,0.000,0.006,0.000,0.000,0.000
8,256,234.407,257.968,95.292,199188480,38.31,103.490,35.624,1,786.535,0.820,0,0.00,5000.0,6225.1,5873.0,351.8,323.2,1258.9,163.8,9632.9,0.513,1,0.000,0.005,0.000,0.000,0.000
9,256,260.584,314.934,96.439,239087616,40.63,132.326,31.818,0,872.059,0.820,0,0.00,5000.0,6224.8,5874.7,349.8,323.2,1262.5,156.7,9624.5,0.572,1,0.000,0.006,0.000,0.000,0.000
10,256,258.347,334.116,87.442,250048512,42.62,141.872,29.033,0,831.560,0.820,0,0.00,5000.0,6219.0,5874.2,344.5,323.2,1272.5,167.8,9611.8,0.518,1,0.000,0.005,0.000,0.000,0.000
11,256,239.784,232.562,86.770,166993920,44.84,124.470,28.544,32,803.216,0.820,0,0.12,5000.0,6218.0,5873.2,344.5,323.0,1282.7,179.5,9598.5,0.555,1,0.000,0.005,0.000,0.000,0.000
12,256,255.267,354.520,93.909,268907072,46.32,126.802,34.556,0,877.471,0.820,0,0.00,5000.0,6216.5,5872.9,343.3,323.0,1292.2,193.7,9585.8,5.236,1,0.000,0.006,0.000,0.000,0.000
13,256,254.444,293.371,79.827,214204416,47.92,148.875,25.743,0,803.777,0.820,0,0.00,5000.0,6215.7,5873.3,342.2,323.4,1303.5,206.5,9570.9,4.761,1,0.000,0.005,0.000,0.000,0.000
14,256,315.605,523.875,75.572,411918336,48.47,192.829,47.204,0,1055.230,0.820,0,0.00,5000.0,6215.2,5874.4,340.5,323.4,1314.2,219.1,9559.8,0.978,1,0.000,0.005,0.000,0.000,0.000
15,256,347.913,243.293,179.838,163835904,50.05,142.335,25.740,32,973.406,0.820,0,0.12,5000.0,6181.4,5872.7,308.4,323.7,1299.9,158.6,9581.5,0.547,1,0.000,0.006,0.000,0.000,0.000
16,256,209.551,169.415,85.743,126308352,51.64,104.845,18.963,0,670.438,0.820,0,0.00,5000.0,6180.3,5872.3,307.7,325.0,1303.7,148.2,9576.1,0.599,1,0.000,0.005,0.000,0.000,0.000
17,256,216.098,206.547,87.888,152580096,53.00,102.013,26.197,3,699.824,0.820,0,0.01,5000.0,6157.2,5854.5,302.4,341.8,1328.8,182.0,9550.2,0.531,1,0.000,0.006,0.000,0.000,0.000
18,256,261.919,305.887,84.106,225263616,53.98,142.130,35.682,0,859.450,0.820,0,0.00,5000.0,6111.8,5814.6,296.9,382.9,1375.6,240.9,9499.4,1.713,1,0.000,0.006,0.000,0.000,0.000
19,256,200.120,177.653,102.714,128778240,55.24,81.946,15.459,32,657.335,0.820,0,0.12,5000.0,6111.5,5814.3,296.9,383.5,1378.4,248.5,9495.7,5.528,1,0.000,0.006,0.000,0.000,0.000
20,256,199.376,144.275,93.881,101621760,56.51,88.858,16.638,0,636.065,0.820,0,0.00,5000.0,6102.6,5811.0,291.4,386.7,1384.3,261.6,9485.5,0.552,1,0.000,0.005,0.000,0.000,0.000
21,256,199.835,150.126,93.355,101720064,57.68,84.528,21.953,1,643.172,0.820,0,0.00,5000.0,6105.3,5813.7,291.4,384.2,1389.6,273.4,9481.4,0.520,1,0.000,0.005,0.000,0.000,0.000
22,256,199.116,140.946,100.923,93917184,58.80,86.763,11.430,0,640.166,0.820,0,0.00,5000.0,6092.7,5806.4,286.0,391.3,1393.9,282.3,9473.0,0.519,1,0.000,0.006,0.000,0.000,0.000
23,256,217.364,148.680,110.094,104189952,59.81,92.197,15.073,33,685.602,0.820,0,0.13,5000.0,6094.9,5813.7,280.9,384.2,1379.6,240.4,9491.3,0.516,1,0.000,0.006,0.000,0.000,0.000
24,256,165.587,71.456,116.317,45723648,60.95,43.209,6.061,1,541.486,0.820,0,0.00,5000.0,6094.7,5813.5,280.9,384.7,1388.3,253.4,9483.8,0.520,1,0.000,0.005,0.000,0.000,0.000
25,256,194.469,140.396,89.917,96387072,61.86,80.409,24.142,0,611.684,0.820,0,0.00,5000.0,6083.2,5807.2,275.8,388.7,1394.5,268.2,9474.6,0.563,1,0.000,0.006,0.000,0.000,0.000
26,256,210.609,161.261,102.905,120188928,62.64,91.881,15.822,0,674.971,0.820,0,0.00,5000.0,6073.0,5797.0,275.8,400.4,1395.1,268.8,9460.3,0.937,1,0.000,0.006,0.000,0.000,0.000
27,256,176.722,106.163,101.447,70017024,63.52,56.761,18.513,33,571.744,0.820,0,0.13,5000.0,6078.2,5802.1,275.8,393.3,1401.7,283.2,9461.4,0.516,1,0.000,0.006,0.000,0.000,0.000
28,256,175.135,101.853,102.421,69525504,64.36,64.209,8.505,921,566.269,0.820,0,3.60,5000.0,6071.1,5800.3,270.5,397.4,1399.6,283.4,9455.9,0.526,1,0.000,0.005,0.000,0.000,0.000
29,256,166.915,68.342,122.147,45428736,65.21,32.413,12.354,0,576.804,0.820,0,0.00,5000.0,6076.9,5806.1,270.5,391.9,1404.7,292.5,9455.8,0.588,1,0.000,0.006,0.000,0.000,0.000
