# bmoe_metrics v2
# engine=0.23.0
# model=qwen3.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4126 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,486.517,703.995,203.449,572682240,5.17,202.928,80.140,24369,1681.129,-1.000,0,95.19,4126.6,5594.4,5030.4,555.7,364.8,1035.1,231.9,8776.8,0.379,1,0.000,0.010,0.000,0.000,0.000
2,256,286.397,435.322,92.439,376651776,11.23,138.779,55.179,2,1021.584,0.820,0,0.01,4126.6,5578.7,5021.3,549.2,374.8,1049.3,249.1,8762.3,1.533,1,0.000,0.006,0.000,0.000,0.000
3,256,311.364,497.756,81.841,440352768,15.57,164.879,64.644,37,1157.777,0.820,0,0.14,4126.6,5560.7,5009.7,542.7,386.7,1066.3,276.5,8741.8,0.608,1,0.000,0.005,0.000,0.000,0.000
4,256,243.377,299.859,90.682,222695424,20.98,116.104,36.592,1,833.195,0.820,0,0.00,4126.6,5551.2,5007.0,536.0,388.1,1072.6,292.7,8736.5,0.637,1,0.000,0.006,0.000,0.000,0.000
5,256,263.400,310.796,98.390,263380992,25.22,126.950,38.061,1,910.370,0.820,0,0.00,4126.6,5536.9,5002.8,525.9,392.0,1073.3,276.4,8736.5,0.600,1,0.000,0.005,0.000,0.000,0.000
6,256,278.807,310.340,126.048,236912640,29.02,110.766,41.993,0,895.398,0.820,0,0.00,4126.6,5506.0,4981.1,516.7,413.2,1085.0,261.1,8722.5,0.689,1,0.000,0.004,0.000,0.000,0.000
7,256,206.256,234.718,100.076,169463808,32.76,81.965,24.214,35,702.550,0.820,0,0.14,4126.6,5478.8,4953.8,516.7,441.7,1117.3,294.8,8690.0,0.882,1,0.000,0.006,0.000,0.000,0.000
8,256,250.586,317.127,106.087,244518912,35.55,101.752,42.747,1,889.980,0.820,0,0.00,4126.6,5463.1,4944.7,510.1,450.1,1115.2,289.9,8683.7,0.608,1,0.000,0.005,0.000,0.000,0.000
9,256,255.392,367.399,81.247,305750016,37.64,128.703,45.442,1,925.966,0.820,0,0.00,4126.6,5456.1,4937.7,510.1,458.7,1113.7,291.4,8672.2,2.753,1,0.000,0.004,0.000,0.000,0.000
10,256,270.632,372.430,83.712,295378944,39.55,145.248,41.672,1,933.123,0.820,0,0.00,4126.6,5440.9,4928.8,503.9,467.1,1113.3,287.3,8666.7,0.554,1,0.000,0.005,0.000,0.000,0.000
11,256,228.211,226.975,112.037,190992384,41.80,88.654,27.520,36,793.807,0.820,0,0.14,4126.6,5425.8,4919.9,497.6,474.8,1095.9,265.8,8667.7,0.616,1,0.000,0.005,0.000,0.000,0.000
12,256,271.363,409.870,82.896,356901440,43.01,135.726,52.741,1,986.465,0.820,0,0.00,4126.6,5445.2,4939.3,497.6,455.1,1094.9,264.7,8686.4,0.627,1,0.000,0.005,0.000,0.000,0.000
13,256,227.372,290.688,90.046,222203904,44.72,97.665,39.661,1,792.606,0.820,0,0.00,4126.6,5433.6,4934.0,491.4,462.2,1103.0,284.2,8676.1,0.614,1,0.000,0.005,0.000,0.000,0.000
14,256,307.402,470.556,80.097,414683136,45.41,155.888,71.417,1,1142.660,0.820,0,0.00,4126.6,5445.3,4951.8,485.2,442.7,1105.3,297.0,8693.1,0.605,1,0.000,0.006,0.000,0.000,0.000
15,256,215.517,244.237,92.405,174600192,47.08,90.379,32.733,35,730.596,0.820,0,0.14,4126.6,5437.9,4944.5,485.2,451.3,1106.9,297.0,8684.1,0.558,1,0.000,0.006,0.000,0.000,0.000
16,256,200.249,222.712,94.462,134406144,48.77,77.641,28.146,54,649.446,0.820,0,0.21,4126.6,5436.9,4947.9,485.2,446.1,1112.9,303.0,8684.2,0.605,1,0.000,0.005,0.000,0.000,0.000
17,256,202.410,205.776,93.960,152580096,50.24,86.169,22.281,2,678.789,0.820,0,0.01,4126.6,5428.7,4946.2,478.9,449.7,1113.8,314.8,8676.7,0.680,1,0.000,0.005,0.000,0.000,0.000
18,256,302.771,463.906,88.891,400748544,50.67,148.969,64.911,0,1109.250,0.820,0,0.00,4126.6,5421.0,4944.7,472.7,449.6,1117.9,328.2,8674.1,0.620,1,0.000,0.005,0.000,0.000,0.000
19,256,248.478,267.516,101.984,174600192,51.89,121.931,24.563,37,790.322,0.820,0,0.14,4126.6,5408.6,4944.6,460.4,450.6,1118.8,350.4,8670.8,0.719,1,0.000,0.005,0.000,0.000,0.000
20,256,199.592,202.206,100.539,144875520,53.12,74.462,24.591,141,662.193,0.820,0,0.55,4126.6,5411.9,4948.3,460.0,448.0,1120.1,356.3,8670.8,0.628,1,0.000,0.005,0.000,0.000,0.000
21,256,193.523,184.231,95.679,120582144,54.35,75.285,22.559,1,638.886,0.820,0,0.00,4126.6,5399.9,4942.0,454.2,454.3,1121.3,363.3,8664.6,0.554,1,0.000,0.005,0.000,0.000,0.000
22,256,188.562,157.322,108.282,96583680,55.57,65.072,15.208,620,628.947,0.820,0,2.42,4126.6,5398.7,4946.8,448.2,449.2,1121.1,372.7,8668.1,0.563,1,0.000,0.005,0.000,0.000,0.000
