# bmoe_metrics v2
# engine=0.23.0
# model=qwen3.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4616 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,513.798,691.234,235.719,508686336,5.89,203.978,74.101,3732,1635.545,-1.000,0,14.58,4616.8,5643.1,5024.2,610.7,396.1,1111.5,248.9,8781.8,0.401,1,0.000,0.006,0.000,0.000,0.000
2,256,382.457,445.174,217.250,333987840,12.32,121.030,44.176,1,1255.525,0.633,0,0.00,4616.8,5620.9,5022.1,590.6,396.2,1118.2,280.2,8774.8,3.036,1,0.000,0.006,0.000,0.000,0.000
3,256,471.333,569.064,228.167,389689344,17.02,188.582,54.583,1,1508.893,0.633,0,0.00,4616.8,5586.0,5022.5,555.4,396.3,1121.8,321.2,8766.8,0.617,1,0.000,0.006,0.000,0.000,0.000
4,256,359.368,321.133,207.531,206696448,22.43,125.302,26.535,1,1125.908,0.633,0,0.00,4616.8,5566.2,5023.8,534.2,396.3,1126.7,351.4,8760.0,0.634,1,0.000,0.006,0.000,0.000,0.000
5,256,392.951,375.258,223.033,250146816,26.66,137.000,32.918,1,1232.268,0.633,0,0.00,4616.8,5544.1,5023.0,513.0,396.7,1122.8,373.3,8752.1,0.613,1,0.000,0.005,0.000,0.000,0.000
6,256,328.696,308.930,201.557,223580160,30.46,91.232,35.907,1,1048.586,0.633,0,0.00,4616.8,5505.1,4998.2,498.7,421.0,1162.9,427.9,8722.4,0.758,1,0.000,0.006,0.000,0.000,0.000
7,256,247.533,203.553,172.178,148131840,34.24,53.750,21.605,1,788.264,0.633,0,0.00,4616.8,5497.3,4992.1,497.0,426.0,1156.0,422.2,8717.1,0.627,1,0.000,0.005,0.000,0.000,0.000
8,256,295.637,307.767,181.099,212520960,37.13,84.112,30.427,1,934.336,0.633,0,0.00,4616.8,5488.2,4990.4,489.9,429.5,1159.6,435.1,8710.4,0.653,1,0.000,0.006,0.000,0.000,0.000
9,256,274.059,322.194,164.573,263086080,39.38,66.609,42.877,1,899.632,0.633,0,0.00,4616.8,5487.3,4989.5,489.7,429.5,1160.5,434.6,8711.1,0.720,1,0.000,0.020,0.000,0.000,0.000
10,256,292.175,331.778,163.572,279379968,41.28,84.320,44.282,1,963.364,0.633,0,0.00,4616.8,5486.6,4988.9,489.7,429.5,1158.7,427.4,8713.9,0.593,1,0.000,0.007,0.000,0.000,0.000
