# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,322.499,550.686,146.646,452689920,6.53,110.922,64.931,11906,1101.501,-1.000,0,46.51,5000.0,6372.8,5802.1,570.4,394.5,1370.0,238.7,9567.8,0.379,1,0.000,0.006,0.000,0.000,0.000
2,256,229.939,370.488,109.870,312655872,13.29,73.997,46.072,12,811.614,0.820,0,0.05,5000.0,6365.3,5802.8,562.1,394.5,1375.1,256.2,9561.8,1.579,1,0.000,0.005,1.696,0.000,0.000
3,256,240.821,427.999,111.658,368357376,18.32,76.417,52.746,63,895.654,0.820,0,0.25,5000.0,6350.0,5803.5,546.1,394.2,1381.8,268.7,9553.0,0.603,1,0.000,0.005,2.258,0.000,0.000
4,256,183.157,212.728,113.535,174796800,24.03,43.214,26.408,15,680.561,0.820,0,0.06,5000.0,6343.0,5802.4,540.2,394.1,1383.1,250.9,9552.2,0.639,1,0.000,0.006,1.974,0.000,0.000
5,256,201.084,292.295,111.571,242049024,28.29,54.718,34.795,1,740.711,0.820,0,0.00,5000.0,6342.4,5801.8,540.2,394.1,1388.7,249.3,9545.4,0.687,1,0.000,0.004,0.651,0.000,0.000
6,256,188.018,260.136,113.765,207581184,32.45,43.380,30.872,2,705.976,0.820,0,0.01,5000.0,6337.7,5804.0,533.2,394.1,1389.4,248.5,9539.9,0.648,1,0.000,0.005,3.205,0.000,0.000
7,256,166.035,191.810,112.919,156131328,36.32,30.070,23.045,63,642.882,0.820,0,0.25,5000.0,6328.4,5802.2,525.9,395.0,1402.9,268.6,9534.5,0.896,1,0.000,0.005,1.308,0.000,0.000
8,256,199.008,269.990,114.774,212520960,39.30,53.834,30.400,1,729.550,0.820,0,0.00,5000.0,6323.7,5804.0,519.4,395.0,1390.5,252.6,9543.6,0.505,1,0.000,0.004,3.054,0.000,0.000
9,256,235.510,331.911,119.941,244420608,41.82,70.984,44.585,0,809.357,0.820,0,0.00,5000.0,6315.1,5802.1,512.6,396.0,1371.1,244.3,9572.6,0.539,1,0.000,0.005,10.894,0.000,0.000
10,256,225.919,357.862,120.332,266047488,43.87,68.205,37.382,0,780.589,0.820,0,0.00,5000.0,6306.8,5801.3,505.1,396.2,1358.8,235.1,9588.8,0.587,1,0.000,0.005,1.748,0.000,0.000
11,256,183.556,222.559,114.689,182992896,46.08,43.659,25.208,63,692.053,0.820,0,0.25,5000.0,6301.3,5803.2,497.7,396.0,1372.1,256.9,9590.7,0.642,1,0.000,0.004,1.541,0.000,0.000
12,256,214.443,335.423,113.209,282239552,47.52,60.458,40.776,2,786.338,0.820,0,0.01,5000.0,6291.0,5800.3,490.2,396.0,1382.0,279.2,9582.9,0.633,1,0.000,0.005,2.213,0.000,0.000
13,256,186.639,254.402,114.236,208871424,49.25,39.596,32.808,1,716.868,0.820,0,0.00,5000.0,6286.7,5803.7,482.6,396.0,1383.2,296.1,9576.2,0.619,1,0.000,0.005,3.618,0.000,0.000
14,256,255.384,467.079,112.555,409251840,49.77,86.650,56.180,1,922.842,0.820,0,0.00,5000.0,6277.3,5801.8,475.1,396.5,1392.7,318.6,9567.2,0.564,1,0.000,0.004,0.000,0.000,0.000
15,256,173.887,222.919,113.784,182501376,51.40,32.552,27.550,63,680.555,0.820,0,0.25,5000.0,6271.4,5803.6,467.4,397.1,1395.4,330.3,9560.7,0.554,1,0.000,0.006,2.747,0.000,0.000
16,256,153.937,171.916,112.395,147935232,53.03,21.158,20.384,0,610.996,0.820,0,0.00,5000.0,6264.9,5803.9,460.6,394.0,1403.6,349.9,9556.7,0.604,1,0.000,0.005,0.991,0.000,0.000
17,256,173.369,191.977,114.985,160579584,54.40,36.124,22.260,2,659.480,0.820,0,0.01,5000.0,6254.9,5793.9,460.6,403.4,1405.0,350.1,9547.0,0.547,1,0.000,0.004,0.804,0.000,0.000
18,256,220.516,350.708,114.390,290340864,55.12,63.926,42.200,0,804.040,0.820,0,0.00,5000.0,6243.1,5789.7,453.0,406.8,1410.9,369.5,9536.2,0.610,1,0.000,0.006,1.250,0.000,0.000
19,256,185.968,252.772,113.675,211931136,56.15,42.607,29.686,62,714.785,0.820,0,0.24,5000.0,6234.2,5788.5,445.4,408.4,1414.9,384.1,9528.2,0.561,1,0.000,0.005,2.069,0.000,0.000
20,256,197.295,252.116,115.265,203243520,57.18,53.752,28.279,0,706.975,0.820,0,0.00,5000.0,6227.7,5782.0,445.4,414.0,1426.1,397.1,9552.2,0.626,1,0.000,0.004,0.886,0.000,0.000
21,256,171.248,218.222,113.076,187834368,58.13,30.041,28.131,1,671.585,0.820,0,0.00,5000.0,6249.1,5803.5,445.2,395.5,1415.6,387.8,9567.2,0.549,1,0.000,0.004,0.674,0.000,0.000
22,256,149.179,136.819,114.422,107347968,59.33,17.190,17.568,0,601.959,0.820,0,0.00,5000.0,6246.8,5801.3,445.1,396.0,1419.7,390.8,9569.7,0.590,1,0.000,0.005,2.148,0.000,0.000
23,256,168.441,185.088,113.779,155443200,60.31,30.342,24.319,63,647.669,0.820,0,0.25,5000.0,6245.4,5800.3,444.7,396.7,1410.1,376.3,9579.2,0.558,1,0.000,0.004,1.953,0.000,0.000
24,256,148.989,139.744,114.836,112877568,61.38,17.083,17.069,1,593.228,0.820,0,0.00,5000.0,6247.3,5802.4,444.5,397.3,1410.0,368.1,9580.5,0.598,1,0.000,0.004,1.863,0.000,0.000
25,256,153.171,157.444,112.489,136581120,62.25,20.908,19.774,0,620.166,0.820,0,0.00,5000.0,6246.9,5802.0,444.5,395.3,1409.2,367.3,9582.4,0.622,1,0.000,0.004,0.327,0.000,0.000
26,256,169.328,196.730,113.238,168972288,62.97,27.815,28.275,0,656.329,0.820,0,0.00,5000.0,6248.8,5804.4,444.0,393.7,1416.3,375.2,9583.6,0.564,1,0.000,0.004,3.948,0.000,0.000
27,256,140.919,113.363,112.435,89075712,63.86,14.966,13.518,64,569.294,0.820,0,0.25,5000.0,6246.8,5802.5,443.9,393.4,1411.0,370.1,9584.1,0.611,1,0.000,0.004,0.760,0.000,0.000
28,256,152.414,152.129,112.260,123346944,64.64,21.244,18.910,1,595.637,0.820,0,0.00,5000.0,6251.5,5807.5,443.6,393.4,1411.2,370.6,9583.8,0.582,1,0.000,0.005,2.522,0.000,0.000
29,256,142.435,114.158,112.074,90955776,65.45,16.301,14.059,0,576.748,0.820,0,0.00,5000.0,6251.1,5807.3,443.5,393.4,1404.2,363.0,9583.8,0.613,1,0.000,0.004,0.648,0.000,0.000
30,256,139.852,92.768,114.387,73076736,66.24,13.502,11.963,1,552.847,0.820,0,0.00,5000.0,6246.7,5803.1,443.2,393.4,1407.4,361.3,9584.3,0.584,1,0.000,0.004,0.536,0.000,0.000
31,256,185.952,103.105,136.519,80388096,67.02,23.482,25.951,63,680.907,0.820,0,0.25,5000.0,6246.0,5805.9,439.7,393.2,1390.0,285.9,9609.5,0.565,1,0.000,0.006,10.021,0.000,0.000
32,256,154.516,85.829,117.857,64389120,67.79,25.354,11.305,1,576.524,0.820,0,0.00,5000.0,6238.1,5807.8,429.9,394.3,1387.5,274.1,9616.8,0.553,1,0.000,0.005,0.693,0.000,0.000
33,256,193.214,270.574,114.418,227733504,68.09,45.765,33.032,0,740.916,0.820,0,0.00,5000.0,6233.9,5803.6,429.9,393.2,1396.5,288.0,9612.9,0.862,1,0.000,0.004,1.349,0.000,0.000
34,256,173.511,214.157,111.848,187637760,68.48,34.618,27.044,1,664.689,0.820,0,0.00,5000.0,6232.0,5808.6,423.0,393.2,1397.1,299.7,9606.4,0.532,1,0.000,0.005,1.482,0.000,0.000
35,256,187.972,244.090,114.648,211636224,68.77,43.585,29.739,63,707.448,0.820,0,0.25,5000.0,6220.0,5803.7,416.0,393.0,1407.4,321.1,9599.4,0.621,1,0.000,0.005,0.785,0.000,0.000
36,256,145.043,112.039,113.245,88485888,69.39,15.046,16.752,0,576.865,0.820,0,0.00,5000.0,6212.3,5802.9,409.0,393.0,1406.9,333.3,9603.3,0.614,1,0.000,0.004,5.358,0.000,0.000
37,256,128.107,61.895,111.093,48390144,70.01,8.486,8.527,1,517.052,0.820,0,0.00,5000.0,6212.5,5803.2,409.0,393.0,1408.4,337.9,9599.5,0.562,1,0.000,0.005,0.251,0.000,0.000
38,256,147.052,133.093,113.441,110407680,70.51,17.097,16.514,1,589.696,0.820,0,0.00,5000.0,6205.2,5803.0,401.9,393.4,1413.4,354.1,9593.8,0.575,1,0.000,0.004,2.127,0.000,0.000
39,256,135.309,96.773,112.741,77819904,71.06,10.056,12.512,62,552.708,0.820,0,0.24,5000.0,6207.8,5805.5,401.9,393.1,1412.4,360.7,9589.8,0.603,1,0.000,0.005,1.076,0.000,0.000
40,256,145.287,123.547,115.419,104681472,71.52,14.712,15.155,0,578.125,0.820,0,0.00,5000.0,6205.6,5803.5,401.7,393.1,1403.9,352.2,9591.6,0.632,1,0.000,0.004,0.753,0.000,0.000
41,256,142.739,112.547,114.468,94015488,71.98,13.883,14.388,1,577.706,0.820,0,0.00,5000.0,6205.3,5803.8,401.1,393.1,1403.7,352.8,9592.6,0.565,1,0.000,0.004,1.061,0.000,0.000
42,256,191.006,220.761,117.592,176873472,72.26,42.738,30.676,0,708.848,0.820,0,0.00,5000.0,6205.1,5803.9,400.7,393.1,1396.8,329.7,9594.4,0.611,1,0.000,0.004,3.662,0.000,0.000
43,256,158.219,134.891,116.215,107544576,72.68,26.056,15.948,64,607.130,0.820,0,0.25,5000.0,6197.9,5802.8,394.7,395.0,1406.0,345.5,9590.4,0.575,1,0.000,0.005,1.375,0.000,0.000
44,256,146.453,133.271,114.380,112582656,73.11,12.899,19.174,1,588.598,0.820,0,0.00,5000.0,6197.5,5802.5,394.6,395.0,1397.4,339.7,9587.1,0.523,1,0.000,0.004,4.276,0.000,0.000
45,256,149.737,110.197,113.658,91447296,73.50,19.858,16.220,2,581.207,0.820,0,0.01,5000.0,6195.7,5802.5,392.9,395.0,1399.2,344.4,9587.2,0.611,1,0.000,0.004,1.645,0.000,0.000
46,256,143.969,117.818,113.781,96780288,73.89,14.375,15.813,0,577.271,0.820,0,0.00,5000.0,6195.8,5802.5,392.9,395.0,1406.3,352.3,9586.7,0.658,1,0.000,0.004,1.470,0.000,0.000
47,256,154.259,116.431,118.944,94212096,74.25,19.611,15.704,63,601.089,0.820,0,0.25,5000.0,6196.3,5803.1,392.9,394.7,1396.5,339.9,9597.7,0.572,1,0.000,0.005,1.447,0.000,0.000
48,256,138.439,66.569,116.573,48488448,74.67,14.540,7.325,1,551.190,0.820,0,0.00,5000.0,6189.5,5798.9,390.2,398.2,1408.4,354.6,9592.7,0.675,1,0.000,0.004,0.062,0.000,0.000
49,256,124.254,59.159,112.999,45821952,75.09,3.890,7.364,0,512.088,0.820,0,0.00,5000.0,6189.7,5799.1,390.2,398.2,1398.3,346.3,9591.7,0.590,1,0.000,0.004,1.031,0.000,0.000
50,256,130.174,74.017,113.187,59252736,75.48,7.220,9.767,1,537.293,0.820,0,0.00,5000.0,6188.9,5799.2,389.2,398.2,1398.5,347.7,9591.5,0.583,1,0.000,0.004,0.000,0.000,0.000
51,256,154.789,148.757,113.658,115544064,75.76,23.837,17.295,62,597.274,0.820,0,0.24,5000.0,6183.5,5799.5,383.6,398.2,1407.6,369.0,9587.9,0.600,1,0.000,0.004,0.988,0.000,0.000
52,256,120.456,44.120,112.127,32391168,76.14,3.200,5.129,2,505.530,0.820,0,0.01,5000.0,6183.2,5799.6,383.2,398.2,1405.7,367.9,9589.9,0.531,1,0.000,0.004,0.081,0.000,0.000
53,256,125.773,57.764,113.398,45527040,76.51,3.852,8.524,0,514.116,0.820,0,0.00,5000.0,6182.8,5799.5,382.9,398.2,1399.6,362.3,9591.1,0.521,1,0.000,0.004,0.717,0.000,0.000
54,256,118.198,34.632,113.739,21725184,76.89,0.000,4.459,1,498.047,0.820,0,0.00,5000.0,6182.1,5799.5,382.2,398.2,1406.9,371.1,9590.9,0.606,1,0.000,0.005,0.698,0.000,0.000
55,256,138.367,91.159,114.257,72585216,77.20,11.842,12.267,63,557.522,0.820,0,0.25,5000.0,6181.9,5800.0,381.5,398.0,1401.0,366.7,9590.6,0.626,1,0.000,0.004,0.802,0.000,0.000
56,256,137.322,84.468,113.264,70017024,77.49,12.439,11.619,2,540.543,0.820,0,0.01,5000.0,6181.8,5800.5,380.9,398.0,1409.0,375.7,9590.7,0.617,1,0.000,0.004,0.906,0.000,0.000
57,256,138.350,94.734,113.984,70213632,77.77,12.525,11.841,1,555.657,0.820,0,0.00,5000.0,6179.8,5798.5,380.9,398.0,1402.1,368.9,9590.7,0.604,1,0.000,0.004,1.523,0.000,0.000
58,256,127.565,69.069,112.906,50860032,78.09,3.147,11.512,1,530.784,0.820,0,0.00,5000.0,6179.4,5798.5,380.5,398.0,1402.0,365.5,9590.2,0.589,1,0.000,0.004,2.642,0.000,0.000
59,256,206.212,279.945,115.306,233459712,78.13,54.497,36.409,63,792.628,0.820,0,0.25,5000.0,6167.2,5798.2,368.6,397.7,1416.5,399.7,9585.4,0.670,1,0.000,0.005,3.230,0.000,0.000
60,256,139.404,117.947,113.358,96583680,78.37,12.121,13.924,1,567.743,0.820,0,0.00,5000.0,6167.4,5798.5,368.5,397.7,1416.2,406.8,9579.9,0.564,1,0.000,0.004,1.667,0.000,0.000
61,256,130.885,74.694,113.940,58957824,78.65,7.678,9.266,0,522.998,0.820,0,0.00,5000.0,6167.3,5798.5,368.4,397.7,1412.6,403.6,9579.9,0.659,1,0.000,0.004,0.293,0.000,0.000
62,256,126.319,79.248,113.247,61919232,78.93,4.658,8.414,0,518.743,0.820,0,0.00,5000.0,6167.3,5798.9,368.0,397.7,1410.7,400.6,9579.6,0.602,1,0.000,0.004,0.194,0.000,0.000
63,256,188.368,169.007,123.908,144678912,79.07,40.013,24.447,62,706.365,0.820,0,0.24,5000.0,6166.8,5798.7,367.7,397.5,1395.9,372.2,9586.7,0.590,1,0.000,0.004,2.333,0.000,0.000
64,256,141.260,65.510,116.639,43155456,79.34,13.315,11.306,0,542.126,0.820,0,0.00,5000.0,6161.4,5798.9,362.1,397.5,1395.4,370.2,9594.9,0.602,1,0.000,0.005,3.910,0.000,0.000
65,256,135.150,79.378,113.530,54018048,79.59,11.973,9.647,0,534.563,0.820,0,0.00,5000.0,6161.8,5799.3,362.1,397.5,1404.2,381.8,9658.9,0.574,1,0.000,0.004,1.968,0.000,0.000
66,256,129.131,64.192,114.903,48291840,79.84,3.050,11.179,1,530.200,0.820,0,0.00,5000.0,6161.2,5798.9,361.9,397.5,1419.3,387.6,9659.5,0.523,1,0.000,0.004,2.389,0.000,0.000
