# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=6 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,379.399,595.274,157.668,452689920,6.53,145.414,76.317,11736,1688.464,-1.000,0,45.84,5000.0,6377.2,5801.8,575.0,395.0,1342.7,210.3,9589.2,0.377,1,0.000,0.016,0.000,0.000,0.000
2,256,275.471,442.626,128.932,312655872,13.43,75.607,70.932,8,1369.646,0.820,0,0.03,5000.0,6371.4,5802.9,568.2,395.0,1347.2,224.3,9579.2,1.696,1,0.000,0.011,4.853,0.000,0.000
3,256,284.181,511.810,121.199,368357376,18.73,88.509,74.473,65,1379.295,0.820,0,0.25,5000.0,6361.9,5803.5,558.0,394.8,1354.6,249.2,9571.1,0.534,1,0.000,0.012,8.180,0.000,0.000
4,256,184.665,244.644,89.006,188129280,24.56,52.837,42.822,1,916.604,0.820,0,0.00,5000.0,6351.7,5802.3,549.0,394.8,1360.5,267.7,9563.1,1.205,1,0.000,0.010,13.343,0.000,0.000
5,256,256.274,363.022,129.267,244813824,28.95,77.292,49.715,1,1249.647,0.820,0,0.00,5000.0,6350.4,5801.8,548.3,394.8,1349.2,259.1,9564.1,0.595,1,0.000,0.013,4.436,0.000,0.000
6,256,202.036,275.694,107.942,207581184,32.93,56.642,37.452,0,1050.129,0.820,0,0.00,5000.0,6352.3,5803.9,548.0,394.8,1347.8,259.1,9564.1,0.770,1,0.000,0.014,2.906,0.000,0.000
7,256,208.163,229.472,110.131,151093248,36.73,67.495,30.537,65,976.074,0.820,0,0.25,5000.0,6345.2,5803.2,541.7,394.5,1347.0,246.8,9576.1,0.585,1,0.000,0.011,5.668,0.000,0.000
8,256,333.069,415.706,163.820,212520960,39.71,121.381,47.869,1,1460.180,0.820,0,0.00,5000.0,6338.5,5804.8,533.3,394.5,1323.6,231.8,9623.7,0.511,1,0.000,0.011,13.566,0.000,0.000
9,256,307.317,439.655,142.151,247382016,42.10,106.047,59.119,0,1403.777,0.820,0,0.00,5000.0,6330.9,5804.1,526.4,394.8,1323.7,240.8,9632.4,0.582,1,0.000,1.876,7.787,0.000,0.000
10,256,226.366,345.426,110.783,276713472,44.19,68.889,46.694,0,1115.909,0.820,0,0.00,5000.0,6321.6,5803.2,518.0,395.0,1335.0,267.3,9622.6,0.526,1,0.000,0.011,3.176,0.000,0.000
11,256,175.895,242.148,96.920,182992896,46.41,53.961,25.014,65,859.322,0.820,0,0.25,5000.0,6314.0,5805.2,508.4,394.6,1337.4,282.2,9616.5,0.599,1,0.000,0.009,1.382,0.000,0.000
12,256,241.044,362.581,111.118,282239552,47.98,78.643,51.283,2,1167.607,0.820,0,0.01,5000.0,6305.7,5801.0,504.3,395.9,1345.8,298.9,9608.0,0.582,1,0.000,0.012,8.859,0.000,0.000
