# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,487.843,548.668,222.226,452689920,6.53,184.876,80.740,11413,1794.602,-1.000,0,44.58,5000.0,6352.7,5819.4,533.0,377.1,1256.5,157.3,9634.1,0.528,1,0.000,0.010,0.000,0.000,0.000
2,256,444.242,399.247,250.338,312655872,13.32,126.607,67.296,15,1524.216,0.824,0,0.06,5000.0,6325.4,5820.4,504.7,377.0,1255.7,133.5,9632.7,1.902,1,0.000,0.009,6.995,0.000,0.000
3,256,356.049,445.356,115.392,368357376,18.34,174.859,65.798,69,1362.863,0.824,0,0.27,5000.0,6322.6,5821.0,501.3,376.7,1259.5,142.7,9627.2,5.420,1,0.000,0.006,9.615,0.000,0.000
4,256,283.577,247.013,140.242,174698496,24.07,94.487,48.848,2,1022.316,0.824,0,0.01,5000.0,6321.5,5820.0,501.3,376.7,1265.2,148.8,9621.4,0.770,1,0.000,0.006,8.439,0.000,0.000
5,256,325.512,316.578,139.042,242049024,28.33,141.495,44.974,1,1181.546,0.824,0,0.00,5000.0,6317.3,5819.4,497.7,376.7,1267.7,153.8,9618.5,0.741,1,0.000,0.006,5.727,0.000,0.000
6,256,304.100,278.648,153.401,207581184,32.49,96.451,54.248,1,1125.758,0.824,0,0.00,5000.0,6313.2,5819.1,493.9,376.7,1270.2,161.2,9613.8,5.314,1,0.000,0.007,20.649,0.000,0.000
7,256,270.725,215.681,155.765,148131840,36.34,76.300,38.661,55,960.017,0.824,0,0.21,5000.0,6314.9,5820.7,493.9,376.5,1272.0,164.5,9609.8,0.765,1,0.000,0.006,5.245,0.000,0.000
8,256,292.869,270.974,136.296,209854464,39.31,102.603,53.971,1,1080.987,0.824,0,0.00,5000.0,6310.2,5820.0,489.9,376.5,1277.2,175.2,9604.9,4.722,1,0.000,0.005,13.044,0.000,0.000
9,256,300.518,307.074,139.273,236421120,41.74,111.631,49.614,0,1119.629,0.824,0,0.00,5000.0,6311.7,5821.5,489.9,376.5,1280.1,178.1,9598.9,0.767,1,0.000,0.006,9.504,0.000,0.000
10,256,324.755,335.548,126.059,263380992,43.69,151.076,47.620,0,1218.996,0.824,0,0.00,5000.0,6311.0,5820.8,489.9,376.5,1285.1,186.8,9595.1,0.692,1,0.000,0.005,5.164,0.000,0.000
11,256,279.348,250.301,147.510,182992896,45.92,98.396,33.443,54,1014.287,0.824,0,0.21,5000.0,6306.3,5820.1,485.9,376.2,1289.6,195.4,9591.4,4.802,1,0.000,0.006,4.089,0.000,0.000
12,256,322.426,364.794,132.344,282239552,47.36,136.512,53.571,2,1193.921,0.824,0,0.01,5000.0,6306.1,5819.9,485.9,376.2,1293.4,200.3,9585.6,0.773,1,0.000,0.005,10.195,0.000,0.000
13,256,316.516,287.356,118.982,208871424,49.13,139.350,58.184,1,1117.441,0.824,0,0.00,5000.0,6305.2,5823.3,481.7,376.2,1290.8,202.1,9585.5,0.798,1,0.000,0.007,16.620,0.000,0.000
14,256,366.833,497.473,117.953,409251840,49.67,169.407,79.473,0,1402.202,0.824,0,0.00,5000.0,6303.9,5821.9,481.7,376.2,1299.2,192.0,9580.0,1.029,1,0.000,0.007,0.000,0.000,0.000
15,256,415.165,280.303,270.808,177168384,51.31,94.628,49.729,54,1256.182,0.824,0,0.21,5000.0,6302.6,5824.4,477.9,376.0,1394.3,228.2,9760.7,0.674,1,0.000,0.008,11.021,0.000,0.000
16,256,291.092,213.839,144.609,150503424,52.93,109.197,37.286,0,1007.949,0.824,0,0.00,5000.0,6296.6,5821.9,474.4,376.0,1395.6,229.5,9756.5,0.801,1,0.000,0.007,5.588,0.000,0.000
17,256,606.385,238.901,396.951,163344384,54.33,169.918,39.516,0,1776.186,0.824,0,0.00,5000.0,6289.2,5818.2,470.7,378.7,1377.2,165.8,9794.1,0.703,1,0.000,0.007,3.238,0.000,0.000
18,256,338.821,382.319,127.621,290340864,55.03,164.814,46.386,0,1231.392,0.824,0,0.00,5000.0,6288.8,5818.0,470.5,378.7,1389.6,180.9,9787.4,0.816,1,0.000,0.006,0.000,0.000,0.000
19,256,310.437,275.731,141.729,209166336,56.05,129.836,38.871,54,1135.385,0.824,0,0.21,5000.0,6273.9,5807.0,466.5,390.1,1402.9,198.6,9771.9,0.720,1,0.000,0.007,5.602,0.000,0.000
20,256,299.061,278.548,133.076,192479232,57.05,132.912,33.074,0,1073.518,0.824,0,0.00,5000.0,6268.0,5805.0,462.8,391.1,1407.9,211.1,9766.4,5.956,1,0.000,0.006,0.887,0.000,0.000
21,256,295.300,259.210,138.094,185167872,58.04,105.816,51.391,1,1064.280,0.824,0,0.00,5000.0,6269.1,5806.0,462.8,390.4,1410.6,218.5,9763.1,5.664,1,0.000,0.006,4.251,0.000,0.000
22,256,253.990,154.695,155.944,101916672,59.23,60.181,37.865,0,896.376,0.824,0,0.00,5000.0,6260.6,5802.1,458.3,394.9,1410.6,222.9,9758.7,0.693,1,0.000,0.006,4.427,0.000,0.000
23,256,276.003,208.915,152.655,147443712,60.21,98.146,25.203,55,967.645,0.824,0,0.21,5000.0,6256.6,5798.0,458.3,398.8,1413.5,227.7,9752.2,5.314,1,0.000,0.006,0.400,0.000,0.000
24,256,261.951,165.102,180.300,110211072,61.29,50.922,30.728,1,934.226,0.824,0,0.00,5000.0,6261.4,5807.1,454.0,392.4,1411.4,233.5,9756.1,0.725,1,0.000,0.006,11.523,0.000,0.000
25,256,254.326,184.514,147.606,136581120,62.18,71.710,35.010,0,911.562,0.824,0,0.00,5000.0,6255.0,5805.2,449.5,392.3,1414.0,244.4,9754.2,5.269,1,0.000,0.007,3.988,0.000,0.000
26,256,293.029,227.759,154.743,163442688,62.90,106.862,31.425,0,1027.431,0.824,0,0.00,5000.0,6251.3,5805.5,445.5,392.4,1414.6,252.8,9752.3,0.696,1,0.000,0.006,4.157,0.000,0.000
27,256,288.862,136.533,193.409,97075200,63.78,68.168,27.286,56,992.454,0.824,0,0.22,5000.0,6244.4,5798.6,445.5,397.4,1414.0,205.7,9765.2,0.688,1,0.000,0.006,10.724,0.000,0.000
28,256,289.750,182.879,174.121,123248640,64.54,91.837,23.792,1,976.853,0.824,0,0.00,5000.0,6248.4,5805.0,443.2,398.1,1408.5,198.6,9764.0,0.894,1,0.000,0.006,4.990,0.000,0.000
29,256,275.786,126.693,192.874,90955776,65.35,59.862,23.051,0,954.029,0.824,0,0.00,5000.0,6245.6,5802.2,443.2,398.0,1403.0,175.9,9762.4,0.770,1,0.000,0.007,5.812,0.000,0.000
