# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,376.115,529.798,157.852,452689920,6.53,160.300,57.962,25340,1277.088,-1.000,0,98.98,5000.0,6381.9,5940.9,440.6,255.9,1198.7,175.3,9885.4,0.362,1,0.000,0.007,0.000,0.000,0.000
2,256,230.737,367.168,75.015,312655872,13.29,113.359,42.362,26,799.192,0.820,0,0.10,5000.0,6373.8,5942.0,431.4,255.9,1210.4,194.1,9868.4,1.386,1,0.000,0.003,5.977,0.000,0.000
3,256,250.242,440.599,66.765,368357376,18.32,138.394,45.083,41,847.531,0.820,0,0.16,5000.0,6367.2,5942.4,424.3,255.6,1219.6,206.3,9855.4,0.441,1,0.000,0.004,5.415,0.000,0.000
4,256,192.332,218.904,77.792,172032000,24.03,93.842,20.698,1,654.770,0.820,0,0.00,5000.0,6365.5,5941.3,423.8,255.6,1229.8,206.2,9843.7,0.426,1,0.000,0.003,2.892,0.000,0.000
5,256,212.840,304.081,73.936,242049024,28.29,103.362,35.543,1,702.419,0.820,0,0.00,5000.0,6358.6,5940.5,417.7,255.6,1241.5,212.3,9828.5,0.460,1,0.000,0.003,10.867,0.000,0.000
6,256,185.310,265.532,66.674,207581184,32.45,82.019,36.616,1,638.491,0.820,0,0.00,5000.0,6349.8,5939.4,410.1,256.4,1254.7,238.0,9815.1,0.453,1,0.000,0.003,15.662,0.000,0.000
7,256,148.296,190.064,63.783,150798336,36.32,61.563,22.951,24,525.794,0.820,0,0.09,5000.0,6343.4,5940.9,402.1,256.4,1262.4,250.7,9803.9,0.388,1,0.000,0.003,7.534,0.000,0.000
8,256,175.243,259.553,66.899,212520960,39.30,78.941,29.402,1,617.014,0.820,0,0.00,5000.0,6344.8,5942.5,401.9,256.4,1257.1,248.9,9791.2,0.418,1,0.000,0.003,7.600,0.000,0.000
9,256,162.999,291.567,72.845,239087616,41.74,49.960,40.194,1,580.466,0.820,0,0.00,5000.0,6342.1,5941.7,399.9,256.4,1263.7,256.7,9784.7,0.425,1,0.000,0.004,7.661,0.000,0.000
10,256,191.093,316.594,78.670,263380992,43.69,77.455,34.967,1,666.366,0.820,0,0.00,5000.0,6337.0,5940.7,395.8,256.8,1268.5,248.4,9778.7,0.376,1,0.000,0.004,0.399,0.000,0.000
11,256,175.282,264.408,70.609,185659392,46.01,72.235,32.438,25,587.786,0.820,0,0.10,5000.0,6326.3,5937.7,388.2,258.9,1281.0,208.5,9774.4,0.406,1,0.000,0.004,9.939,0.000,0.000
12,256,228.944,343.599,64.556,282239552,47.45,124.683,39.705,2,792.579,0.820,0,0.01,5000.0,6311.1,5934.1,376.6,262.3,1296.1,239.1,9756.9,0.406,1,0.000,0.003,8.721,0.000,0.000
13,256,187.804,262.939,60.349,208871424,49.19,95.356,32.098,2,637.946,0.820,0,0.01,5000.0,6283.8,5922.2,361.2,277.5,1315.0,269.2,9729.1,0.442,1,0.000,0.004,10.760,0.000,0.000
14,256,257.846,483.118,66.668,409251840,49.72,147.309,43.869,1,878.839,0.820,0,0.00,5000.0,6243.7,5889.8,353.4,308.3,1349.4,310.0,9679.6,0.368,1,0.000,0.004,0.103,0.000,0.000
15,256,147.845,226.223,74.476,179834880,51.35,44.849,28.521,24,507.096,0.820,0,0.09,5000.0,6235.5,5882.1,352.9,318.6,1353.5,306.8,9675.3,0.525,1,0.000,0.004,6.813,0.000,0.000
16,256,121.430,185.311,70.582,150503424,52.98,29.826,21.023,1,434.855,0.820,0,0.00,5000.0,6229.3,5877.8,351.1,320.3,1372.7,325.0,9669.3,0.425,1,0.000,0.004,3.281,0.000,0.000
17,256,155.811,203.542,78.641,163246080,54.31,53.328,23.842,2,528.858,0.820,0,0.01,5000.0,6212.2,5863.4,348.3,333.6,1392.0,344.7,9650.6,0.539,1,0.000,0.005,1.464,0.000,0.000
18,256,224.954,389.719,77.879,290340864,55.04,102.490,44.585,0,747.356,0.820,0,0.00,5000.0,6182.5,5840.0,342.1,356.8,1411.7,303.8,9625.6,0.351,1,0.000,0.005,3.032,0.000,0.000
19,256,195.959,262.739,63.797,211931136,56.06,98.289,33.873,24,660.274,0.820,0,0.09,5000.0,6147.6,5812.3,334.8,384.8,1440.4,320.9,9591.9,0.349,1,0.000,0.003,14.325,0.000,0.000
20,256,192.415,233.392,61.737,195145728,57.04,107.491,23.187,1,643.124,0.820,0,0.00,5000.0,6138.2,5809.8,327.9,386.5,1456.9,342.9,9572.4,0.417,1,0.000,0.003,4.244,0.000,0.000
21,256,201.313,231.744,79.523,182403072,58.08,89.952,31.838,1,669.148,0.820,0,0.00,5000.0,6131.2,5802.8,327.9,396.1,1444.6,293.5,9565.9,0.366,1,0.000,0.003,14.118,0.000,0.000
22,256,127.745,134.295,57.086,104583168,59.26,53.776,16.883,0,440.889,0.820,0,0.00,5000.0,6116.3,5794.3,321.6,403.2,1449.2,291.1,9555.8,0.412,1,0.000,0.003,6.849,0.000,0.000
23,256,156.027,185.817,58.932,150110208,60.24,69.887,27.209,25,522.739,0.820,0,0.10,5000.0,6102.4,5780.4,321.6,416.6,1448.4,266.9,9540.8,0.407,1,0.000,0.002,13.167,0.000,0.000
24,256,150.298,136.853,75.335,107544576,61.32,52.497,22.466,1,508.788,0.820,0,0.00,5000.0,6094.9,5779.4,315.1,420.1,1421.4,237.8,9558.2,0.378,1,0.000,0.002,12.204,0.000,0.000
