# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4988 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,365.744,545.193,165.141,455356416,6.50,123.887,76.717,13810,1299.169,-1.000,0,53.95,4988.5,6264.0,5856.0,407.7,328.1,1200.1,108.9,9623.4,0.402,1,0.000,0.007,0.000,0.000,0.000
2,256,264.006,359.924,107.260,312655872,13.32,109.916,46.830,9,947.062,0.820,0,0.04,4988.5,6255.4,5856.8,398.2,328.1,1206.4,121.2,9612.4,5.849,1,0.000,0.005,7.313,0.000,0.000
3,256,270.156,421.939,90.705,368357376,18.34,124.044,55.406,45,982.376,0.820,0,0.18,4988.5,6255.9,5857.3,398.2,327.9,1210.8,125.0,9600.7,0.557,1,0.000,0.004,2.781,0.000,0.000
4,256,206.157,210.693,104.891,172032000,24.05,77.797,23.469,1,711.353,0.820,0,0.00,4988.5,6253.0,5858.7,393.9,327.9,1218.8,131.5,9589.5,1.275,1,0.000,0.004,3.376,0.000,0.000
5,256,235.855,287.589,85.621,242049024,28.31,107.100,43.135,1,833.068,0.820,0,0.00,4988.5,6245.9,5858.1,387.4,327.9,1218.5,115.2,9586.6,0.520,1,0.000,0.005,11.188,0.000,0.000
6,256,363.433,264.646,224.577,207581184,32.43,76.304,62.552,1,1169.116,0.820,0,0.00,4988.5,6213.1,5857.8,354.9,327.9,1217.2,143.7,9585.3,2.053,1,0.000,0.005,20.788,0.000,0.000
7,256,226.324,211.868,130.672,156327936,36.28,61.718,33.933,29,815.239,0.820,0,0.11,4988.5,6201.8,5856.6,344.8,327.9,1227.3,132.0,9573.4,0.583,1,0.000,0.005,8.904,0.000,0.000
8,256,224.591,256.495,106.732,212520960,39.26,83.814,34.044,1,798.528,0.820,0,0.00,4988.5,6202.7,5858.2,344.1,327.9,1235.1,136.5,9560.9,0.533,1,0.000,0.004,10.073,0.000,0.000
9,256,219.475,277.459,100.045,239087616,41.71,79.485,39.944,0,785.910,0.820,0,0.00,4988.5,6198.5,5857.6,340.6,327.9,1246.0,143.5,9555.3,0.565,1,0.000,0.005,8.729,0.000,0.000
10,256,234.721,311.009,93.891,263380992,43.66,107.019,33.810,0,849.185,0.820,0,0.00,4988.5,6194.3,5856.9,336.9,327.9,1255.2,152.6,9544.9,0.516,1,0.000,0.004,1.962,0.000,0.000
11,256,199.370,232.971,92.013,185659392,45.89,78.979,28.378,30,684.781,0.820,0,0.12,4988.5,6195.8,5858.6,336.8,327.7,1261.0,155.9,9539.8,5.210,1,0.000,0.005,7.392,0.000,0.000
12,256,242.445,324.252,98.212,282239552,47.33,97.837,46.396,2,896.387,0.820,0,0.01,4988.5,6191.9,5858.3,333.2,327.7,1268.5,168.2,9528.0,0.592,1,0.000,0.004,8.567,0.000,0.000
13,256,210.340,262.519,91.881,208871424,49.08,84.119,34.340,0,754.097,0.820,0,0.00,4988.5,6192.4,5858.8,333.2,327.9,1276.5,171.0,9519.6,5.641,1,0.000,0.005,8.102,0.000,0.000
14,256,310.776,456.023,89.335,409251840,49.60,166.610,54.830,0,1121.300,0.820,0,0.00,4988.5,6187.8,5857.7,329.8,327.9,1279.0,171.3,9511.9,5.075,1,0.000,0.005,0.363,0.000,0.000
15,256,214.560,221.065,113.039,179834880,51.24,61.354,40.167,30,752.026,0.820,0,0.12,4988.5,6184.6,5857.8,326.4,327.6,1277.6,168.2,9515.0,5.751,1,0.000,0.005,13.307,0.000,0.000
16,256,206.675,196.974,120.517,155836416,52.86,53.043,33.114,0,733.373,0.820,0,0.00,4988.5,6181.8,5855.0,326.4,330.2,1285.7,168.8,9505.3,0.590,1,0.000,0.005,5.867,0.000,0.000
17,256,207.807,206.062,94.681,163344384,54.20,89.631,23.496,2,722.003,0.820,0,0.01,4988.5,6144.8,5821.6,322.8,362.9,1323.7,195.9,9467.5,0.543,1,0.000,0.004,3.173,0.000,0.000
18,256,251.501,351.215,95.138,293007360,54.90,118.681,37.682,0,901.854,0.820,0,0.00,4988.5,6144.1,5820.9,322.8,365.4,1329.5,208.0,9459.1,5.836,1,0.000,0.005,1.461,0.000,0.000
