# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=mmap drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,4081.069,704.537,3707.311,452689920,6.53,178.017,195.742,15135,12844.668,-1.000,0,59.12,5000.0,5297.7,4526.8,770.5,723.3,2176.0,110.2,9202.9,0.570,1,0.000,0.029,0.000,0.000,0.000
2,256,2373.821,551.119,2079.083,312655872,13.64,95.527,199.211,32167,7334.437,0.831,0,125.65,5000.0,5241.6,4443.6,797.6,807.3,2179.9,113.1,9122.4,16.378,1,0.000,0.008,61.257,0.000,0.000
3,256,463.154,533.836,256.691,363024384,18.69,53.430,153.033,10292,1829.886,0.831,0,40.20,5000.0,5581.6,4783.5,797.6,467.7,2176.1,108.2,9462.5,5.748,1,0.000,0.006,18.283,0.000,0.000
4,256,352.314,267.076,142.390,172032000,24.36,74.859,135.065,3005,1172.861,0.831,0,11.74,5000.0,5720.4,4922.5,797.5,327.4,2172.4,110.9,9609.1,0.600,1,0.000,0.005,69.639,0.000,0.000
5,256,319.465,327.180,125.001,242049024,28.60,95.238,99.225,431,1166.552,0.846,0,1.68,5000.0,5866.3,5068.3,797.6,181.1,2164.5,108.1,9770.9,0.548,1,0.000,0.006,26.712,0.000,0.000
6,256,290.026,294.731,142.462,204914688,32.73,86.068,61.497,421,983.484,0.846,0,1.64,5000.0,5871.6,5073.6,797.6,178.3,2166.9,125.0,9779.0,0.577,1,0.000,0.006,27.264,0.000,0.000
7,256,274.765,212.015,186.351,148131840,36.59,61.382,27.031,1210,900.428,0.850,0,4.73,5000.0,5870.6,5072.6,797.6,178.0,2173.7,104.8,9771.6,0.582,1,0.000,0.006,3.243,0.000,0.000
8,256,225.425,298.421,97.122,212520960,39.55,100.633,27.670,0,775.972,0.850,0,0.00,5000.0,5865.6,5067.5,797.6,182.0,2178.6,127.8,9762.4,0.606,1,0.000,0.005,2.212,0.000,0.000
9,256,250.199,323.680,107.408,239087616,42.01,87.734,55.057,1910,867.256,0.850,0,7.46,5000.0,5876.2,5078.2,797.6,173.1,2179.8,109.2,9766.1,0.580,1,0.000,0.005,25.116,0.000,0.000
10,256,242.992,355.927,95.428,263380992,43.94,108.340,39.224,617,834.559,0.850,0,2.41,5000.0,5877.0,5078.9,797.6,171.8,2189.2,136.8,9755.1,1.699,1,0.000,0.006,7.413,0.000,0.000
11,256,255.479,252.520,133.999,182992896,46.15,91.880,29.600,36,871.825,0.850,0,0.14,5000.0,5869.7,5071.7,797.6,178.0,2194.6,110.2,9744.7,5.033,1,0.000,0.004,6.447,0.000,0.000
12,256,262.261,384.896,101.858,284906048,47.60,113.265,47.138,0,916.187,0.850,0,0.00,5000.0,5869.2,5071.0,797.8,178.5,2204.8,135.8,9730.4,0.569,1,0.000,0.005,5.919,0.000,0.000
13,256,220.548,267.252,91.583,206204928,49.34,88.871,40.095,246,773.092,0.886,0,0.96,5000.0,5870.2,5072.0,797.8,180.6,2199.7,153.3,9730.0,0.632,1,0.000,0.004,11.384,0.000,0.000
14,256,310.438,527.522,79.233,411918336,49.84,171.389,59.817,0,1092.095,0.886,0,0.00,5000.0,5868.1,5069.9,797.8,181.5,2206.9,163.7,9723.0,0.573,1,0.000,0.005,1.169,0.000,0.000
15,256,227.509,243.067,116.444,179834880,51.47,77.360,33.706,35,768.053,0.886,0,0.14,5000.0,5870.4,5072.2,797.8,178.9,2210.8,187.1,9729.1,5.474,1,0.000,0.004,11.548,0.000,0.000
16,256,203.442,203.249,112.245,155836416,53.09,61.934,29.263,0,707.453,0.886,0,0.00,5000.0,5869.9,5071.6,797.8,179.5,2210.4,168.7,9728.5,0.568,1,0.000,0.005,8.112,0.000,0.000
