# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=mmap drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,5514.259,685.697,5245.200,452689920,6.53,170.231,98.829,65115,13637.430,-1.000,0,254.36,5000.0,5283.4,4521.0,762.1,729.4,2171.1,124.6,9096.9,0.402,1,0.000,0.016,0.000,0.000,0.000
2,256,659.659,460.541,447.175,312655872,13.40,65.573,146.911,17615,1917.580,0.843,0,68.81,5000.0,5585.7,4792.4,793.1,458.5,2180.7,128.8,9362.6,8.618,1,0.000,0.006,22.000,0.000,0.000
3,256,338.269,522.497,161.350,368357376,18.42,48.115,128.804,3214,1309.502,0.843,0,12.55,5000.0,5918.6,5125.3,793.1,126.2,2184.1,125.0,9690.6,0.755,1,0.000,0.004,11.297,0.000,0.000
4,256,408.718,263.876,239.209,172032000,24.11,116.561,52.948,326,1286.744,0.843,0,1.27,5000.0,5950.3,5157.0,793.1,93.2,2177.8,123.8,9722.4,0.588,1,0.000,0.005,14.339,0.000,0.000
5,256,285.935,345.821,130.661,242049024,28.37,115.052,40.221,0,982.701,0.843,0,0.00,5000.0,5951.0,5157.7,793.1,91.6,2185.1,138.1,9718.1,0.599,1,0.000,0.004,7.374,0.000,0.000
6,256,237.561,283.945,92.606,204914688,32.52,88.135,56.820,0,825.287,0.843,0,0.00,5000.0,5949.2,5156.7,792.2,92.4,2191.7,161.7,9710.6,5.706,1,0.000,0.004,23.069,0.000,0.000
7,256,202.071,211.486,108.123,148131840,36.37,65.916,28.032,1237,695.212,0.843,0,4.83,5000.0,5950.3,5157.8,792.2,92.9,2190.2,151.6,9710.8,2.397,1,0.000,0.004,2.334,0.000,0.000
8,256,232.012,299.144,99.081,212520960,39.35,92.586,40.346,2,783.227,0.843,0,0.01,5000.0,5951.6,5159.1,792.2,93.1,2189.2,151.6,9707.6,5.440,1,0.000,0.004,15.439,0.000,0.000
9,256,239.113,318.916,102.387,239087616,41.79,93.641,43.085,1728,846.029,0.843,0,6.75,5000.0,5953.2,5160.8,792.2,90.7,2191.3,171.1,9709.7,3.916,1,0.000,0.005,10.822,0.000,0.000
10,256,242.521,355.450,89.962,263380992,43.73,116.860,35.699,575,841.289,0.843,0,2.25,5000.0,5955.0,5162.5,792.2,88.5,2196.1,209.9,9708.5,5.389,1,0.000,0.005,3.770,0.000,0.000
11,256,207.550,248.142,99.352,182992896,45.96,84.458,23.740,8,710.512,0.843,0,0.03,5000.0,5951.0,5158.6,792.2,91.2,2194.6,215.3,9708.0,5.525,1,0.000,0.004,2.600,0.000,0.000
12,256,254.831,382.078,99.245,282239552,47.40,119.442,36.144,3,868.437,0.843,0,0.01,5000.0,5948.2,5155.9,792.1,93.6,2197.2,246.6,9703.1,0.566,1,0.000,0.004,2.162,0.000,0.000
13,256,227.229,288.697,80.151,208871424,49.14,96.555,50.522,144,769.598,0.843,0,0.56,5000.0,5945.8,5153.3,792.3,97.0,2196.9,243.6,9701.2,5.090,1,0.000,0.004,16.780,0.000,0.000
14,256,314.924,553.339,77.871,411918336,49.65,182.077,54.976,0,1045.195,0.843,0,0.00,5000.0,5943.6,5151.1,792.3,100.1,2197.2,277.2,9695.2,4.251,1,0.000,0.004,5.181,0.000,0.000
15,256,203.140,237.273,101.663,179834880,51.29,69.693,31.785,8,699.668,0.843,0,0.03,5000.0,5945.4,5152.9,792.3,100.9,2196.0,285.7,9693.2,0.527,1,0.000,0.004,10.872,0.000,0.000
16,256,196.837,200.721,116.753,150503424,52.91,51.577,28.507,0,697.757,0.843,0,0.00,5000.0,5948.0,5155.4,792.3,95.8,2200.8,325.3,9696.0,0.578,1,0.000,0.004,6.274,0.000,0.000
17,256,222.102,212.893,107.112,163246080,54.24,90.341,24.649,1,715.358,0.843,0,0.00,5000.0,5950.8,5158.3,792.3,92.0,2214.5,312.6,9705.1,0.515,1,0.000,0.005,0.134,0.000,0.000
18,256,267.880,390.022,96.548,290340864,54.95,129.584,41.748,0,916.839,0.843,0,0.00,5000.0,5952.1,5159.6,792.3,90.1,2219.7,363.4,9702.4,0.598,1,0.000,0.005,1.860,0.000,0.000
19,256,221.576,276.399,98.446,209166336,55.98,83.190,39.939,6,771.058,0.843,0,0.02,5000.0,5952.5,5160.1,792.1,90.1,2224.0,374.8,9696.9,1.353,1,0.000,0.004,6.792,0.000,0.000
20,256,163.699,244.627,88.699,195145728,56.97,44.391,30.609,0,588.210,0.843,0,0.00,5000.0,5953.9,5161.6,792.1,87.7,2214.0,364.9,9698.4,0.573,1,0.000,0.005,1.074,0.000,0.000
21,256,153.781,236.134,85.129,187834368,57.95,39.742,28.909,2,557.787,0.843,0,0.01,5000.0,5959.5,5167.1,792.1,87.7,2207.5,357.0,9698.6,0.592,1,0.000,0.005,2.393,0.000,0.000
22,256,112.788,132.684,75.558,104583168,59.13,18.990,18.240,0,422.509,0.843,0,0.00,5000.0,5955.1,5162.7,792.1,87.7,2213.1,362.4,9698.9,0.583,1,0.000,0.004,3.914,0.000,0.000
23,256,131.193,187.485,76.789,150110208,60.10,31.222,23.182,5,477.879,0.843,0,0.02,5000.0,5954.7,5162.3,792.1,87.7,2213.5,362.8,9699.1,0.510,1,0.000,0.005,2.500,0.000,0.000
24,256,110.980,137.982,77.314,107544576,61.17,17.423,16.243,2,427.780,0.843,0,0.01,5000.0,5960.0,5167.6,792.1,87.7,2206.4,355.5,9701.6,0.576,1,0.000,0.004,3.003,0.000,0.000
25,256,124.559,165.322,76.468,136581120,62.03,28.774,19.316,0,452.664,0.843,0,0.00,5000.0,5955.5,5163.1,792.1,87.7,2211.7,360.7,9701.9,0.567,1,0.000,0.004,0.565,0.000,0.000
26,256,138.522,210.538,80.558,171638784,62.76,32.967,24.998,0,513.229,0.843,0,0.00,5000.0,5955.9,5163.5,792.1,87.7,2209.3,358.2,9702.9,0.532,1,0.000,0.005,1.280,0.000,0.000
27,256,114.000,119.643,78.454,94408704,63.63,20.370,15.175,5,430.902,0.843,0,0.02,5000.0,5954.1,5161.6,792.3,87.7,2211.1,359.7,9702.9,0.507,1,0.000,0.004,1.355,0.000,0.000
