# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4863 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,64,394.915,612.969,151.682,474021888,6.28,194.550,48.684,22757,1271.904,-1.000,0,88.89,4863.9,6140.7,5747.2,392.9,312.6,1260.5,236.5,9774.1,0.280,1,0.000,0.005,0.000,0.000,0.000
2,64,234.524,408.082,70.215,323321856,12.97,121.444,42.865,19,801.430,0.820,0,0.07,4863.9,6130.1,5748.2,381.4,312.6,1271.5,258.1,9758.3,1.440,1,0.000,0.006,6.889,0.000,0.000
3,64,262.875,462.758,72.377,376356864,18.00,144.310,46.187,46,889.682,0.820,0,0.18,4863.9,6125.4,5748.6,376.2,312.5,1281.8,270.9,9746.1,0.422,1,0.000,0.005,9.982,0.000,0.000
4,64,175.748,227.983,60.724,177364992,23.69,91.973,23.051,1,572.138,0.820,0,0.00,4863.9,6119.4,5747.6,371.2,312.5,1290.8,256.3,9744.1,0.428,1,0.000,0.005,7.013,0.000,0.000
5,64,211.607,311.922,60.008,250048512,27.96,114.685,36.914,2,715.721,0.820,0,0.01,4863.9,6114.9,5749.5,364.9,312.5,1299.7,270.8,9726.9,0.392,1,0.000,0.005,8.012,0.000,0.000
6,64,170.106,275.897,78.078,218247168,32.07,53.467,38.561,2,605.621,0.820,0,0.01,4863.9,6112.7,5749.1,363.0,312.3,1307.2,277.4,9718.1,0.347,1,0.000,0.007,10.688,0.000,0.000
7,64,137.603,201.439,77.732,156131328,35.93,33.850,26.021,33,486.037,0.820,0,0.13,4863.9,6111.7,5748.2,363.0,312.2,1300.9,264.8,9714.9,0.342,1,0.000,0.007,3.417,0.000,0.000
8,64,161.360,267.316,79.981,220520448,38.88,51.177,30.202,1,568.694,0.820,0,0.00,4863.9,6112.9,5749.8,362.5,312.2,1300.6,264.0,9710.9,0.443,1,0.000,0.006,1.380,0.000,0.000
9,64,172.689,311.371,77.460,244420608,41.32,51.628,43.602,1,620.461,0.820,0,0.00,4863.9,6111.5,5749.0,362.0,312.2,1315.7,275.6,9710.8,0.396,1,0.000,0.007,5.628,0.000,0.000
10,64,183.908,339.126,82.283,271380480,43.23,56.036,45.589,1,656.542,0.820,0,0.00,4863.9,6110.8,5748.4,361.9,312.2,1311.4,267.8,9704.8,0.324,1,0.000,0.008,0.815,0.000,0.000
