# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=3500 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=3500 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,32,851.817,2309.908,88.790,652677120,4.26,688.133,74.894,16,1394.453,-1.000,0,0.06,3500.0,5384.2,4565.9,818.0,129.5,3100.6,138.2,9976.6,0.533,1,0.000,0.005,0.000,0.000,0.000
2,32,1035.300,1584.833,476.640,421982208,9.96,511.190,47.469,2,1372.264,0.820,0,0.01,3500.0,5286.4,4489.6,796.3,206.5,3075.6,282.9,9909.1,1.493,1,0.000,0.012,0.000,0.000,0.000
3,32,484.085,1196.738,87.327,485683200,14.00,199.647,197.111,1,1058.827,0.820,0,0.00,3500.0,5277.1,4489.9,786.8,206.5,3046.7,273.0,9924.4,0.464,1,0.000,0.006,0.000,0.000,0.000
4,32,208.693,336.840,104.237,265359360,19.18,59.264,45.192,1,692.874,0.820,0,0.00,3500.0,5278.6,4491.3,786.8,206.5,3037.1,252.4,9931.3,0.903,1,0.000,0.008,0.000,0.000,0.000
5,32,201.430,361.061,94.683,282046464,23.42,60.888,45.859,1,715.781,0.820,0,0.00,3500.0,5278.1,4490.9,786.8,206.5,3039.5,254.7,9931.3,0.469,1,0.000,0.007,0.000,0.000,0.000
6,32,194.093,346.415,86.307,274243584,27.09,59.113,48.673,1,688.161,0.820,0,0.00,3500.0,5277.7,4490.4,786.8,206.5,3029.6,223.0,9938.8,0.757,1,0.000,0.006,0.000,0.000,0.000
7,32,503.670,253.081,371.758,180129792,30.89,99.407,32.504,1,747.270,0.820,0,0.00,3500.0,5266.9,4489.2,777.3,206.8,2987.5,189.0,9956.3,0.504,1,0.000,0.012,0.000,0.000,0.000
8,32,337.883,437.963,100.250,284516352,33.54,212.688,24.946,1,957.179,0.820,0,0.00,3500.0,5181.5,4414.9,766.2,282.8,3044.5,266.7,9879.8,0.411,1,0.000,0.004,0.000,0.000,0.000
9,32,589.848,1282.383,94.102,329748480,35.62,442.081,53.665,1,866.978,0.820,0,0.00,3500.0,5176.9,4413.7,762.7,282.8,3033.5,316.1,9878.6,0.528,1,0.000,0.009,0.000,0.000,0.000
10,32,451.509,415.942,321.736,303476736,37.60,73.913,55.860,1,798.082,0.820,0,0.00,3500.0,5177.0,4413.9,762.7,282.8,3033.2,310.6,9879.2,0.770,1,0.000,0.012,0.000,0.000,0.000
11,32,347.156,273.527,260.539,190992384,39.96,50.443,36.173,1,634.710,0.820,0,0.00,3500.0,5176.1,4413.0,762.7,282.8,3032.8,281.9,9890.0,1.009,1,0.000,0.011,0.000,0.000,0.000
12,32,527.644,1136.548,240.705,362234432,41.23,234.010,52.929,1,843.685,0.820,0,0.00,3500.0,5177.1,4414.8,762.0,282.8,3026.9,265.6,9896.1,0.443,1,0.000,0.008,0.000,0.000,0.000
13,32,323.610,577.500,212.210,230301696,42.99,71.807,39.593,1,680.358,0.820,0,0.00,3500.0,5175.4,4413.2,761.8,282.8,3021.8,269.2,9900.3,1.128,1,0.000,0.009,0.000,0.000,0.000
14,32,540.044,1503.934,96.933,457347072,43.57,90.296,352.816,1,985.950,0.820,0,0.00,3500.0,5177.3,4415.1,761.8,282.8,3017.2,273.8,9902.6,0.764,1,0.000,0.009,0.000,0.000,0.000
15,32,316.044,682.923,228.480,190697472,45.25,61.176,26.388,1,579.876,0.820,0,0.00,3500.0,5176.8,4414.6,761.8,282.8,3017.2,269.2,9908.8,0.628,1,0.000,0.006,0.000,0.000,0.000
16,32,241.372,174.976,185.836,137072640,47.00,33.458,22.078,1,525.620,0.820,0,0.00,3500.0,5175.3,4413.1,761.8,282.8,3021.6,281.6,9908.8,1.097,1,0.000,0.009,0.000,0.000,0.000
17,32,399.070,208.115,222.959,155246592,48.54,148.567,27.544,3,571.843,0.820,0,0.01,3500.0,5175.2,4413.0,761.8,282.8,3020.8,280.3,9908.8,0.609,1,0.000,0.007,0.000,0.000,0.000
18,32,299.738,678.828,88.948,531603456,48.54,110.576,100.214,0,1067.809,0.820,0,0.00,3500.0,5176.1,4414.6,761.1,282.8,3024.9,288.0,9911.1,0.993,1,0.000,0.008,0.000,0.000,0.000
19,32,433.221,450.069,308.221,260419584,49.52,83.996,41.004,2,724.689,0.820,0,0.01,3500.0,5175.9,4414.7,760.7,282.8,3012.9,305.1,9993.9,0.411,1,0.000,0.010,0.000,0.000,0.000
20,32,163.308,211.776,87.102,163639296,50.77,41.370,34.837,1,524.749,0.820,0,0.00,3500.0,5175.9,4414.8,760.7,282.8,2995.6,287.5,10021.1,0.722,1,0.000,0.006,0.000,0.000,0.000
