# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4813 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,400.938,509.049,188.925,474021888,6.28,152.258,59.756,16662,1438.958,-1.000,0,65.09,4813.3,6364.7,5673.6,690.7,335.5,1067.0,195.8,8751.5,0.426,1,0.000,0.006,0.000,0.000,0.000
2,256,254.347,349.704,90.678,323321856,12.78,124.605,39.064,0,891.787,0.820,0,0.00,4813.3,6359.9,5673.9,685.6,335.8,1076.3,211.7,8741.7,5.522,1,0.000,0.006,0.000,0.000,0.000
3,256,318.993,443.862,85.826,381689856,17.51,188.785,44.383,36,1106.338,0.820,0,0.14,4813.3,6335.3,5654.1,680.7,356.3,1105.5,240.8,8711.7,0.570,1,0.000,0.005,0.000,0.000,0.000
4,256,224.077,230.671,99.195,185364480,23.06,102.113,22.769,1,753.296,0.820,0,0.00,4813.3,6312.5,5636.5,675.6,372.4,1125.9,267.8,8691.8,5.384,1,0.000,0.006,0.000,0.000,0.000
5,256,238.298,295.414,86.980,250048512,27.24,119.919,31.399,1,799.770,0.820,0,0.00,4813.3,6309.3,5638.4,670.5,372.3,1116.6,265.9,8687.2,0.542,1,0.000,0.005,0.000,0.000,0.000
6,256,165.544,255.096,87.418,210247680,31.09,41.911,36.215,0,608.772,0.820,0,0.00,4813.3,6308.3,5638.1,669.8,372.3,1120.2,270.2,8685.4,0.706,1,0.000,0.007,0.000,0.000,0.000
7,256,145.447,185.716,84.328,148131840,34.82,35.203,25.916,36,511.334,0.820,0,0.14,4813.3,6301.6,5631.3,669.8,378.2,1121.9,271.8,8676.4,0.554,1,0.000,0.006,0.000,0.000,0.000
8,256,162.946,252.691,84.275,215187456,37.66,43.776,34.894,1,584.503,0.820,0,0.00,4813.3,6291.2,5620.9,669.8,387.8,1134.4,283.9,8663.2,0.599,1,0.000,0.006,0.000,0.000,0.000
9,256,171.812,284.061,83.313,247087104,39.97,47.973,40.526,0,621.943,0.820,0,0.00,4813.3,6292.5,5622.2,669.8,388.2,1136.8,286.4,8660.7,0.651,1,0.000,0.006,0.000,0.000,0.000
10,256,187.577,309.377,91.354,266047488,41.92,49.809,46.414,1,692.564,0.820,0,0.00,4813.3,6291.7,5621.5,669.8,388.2,1136.5,283.7,8658.2,0.589,1,0.000,0.008,0.000,0.000,0.000
11,256,154.543,212.253,86.362,169660416,44.15,38.789,29.392,35,545.098,0.820,0,0.14,4813.3,6290.9,5620.6,669.8,388.0,1137.0,284.2,8656.9,0.707,1,0.000,0.007,0.000,0.000,0.000
12,256,249.576,357.115,83.371,308904512,45.47,121.424,44.781,1,868.338,0.820,0,0.00,4813.3,6292.9,5622.6,669.8,388.2,1114.0,256.7,8678.2,0.692,1,0.000,0.006,0.000,0.000,0.000
13,256,172.898,272.385,87.847,219537408,47.08,49.324,35.727,1,611.050,0.820,0,0.00,4813.3,6291.4,5621.2,669.8,388.2,1113.3,255.0,8679.9,0.729,1,0.000,0.007,0.000,0.000,0.000
14,256,226.387,456.256,90.282,411918336,47.68,63.638,72.466,1,862.968,0.820,0,0.00,4813.3,6292.3,5622.0,669.8,388.2,1109.5,249.8,8682.9,0.837,1,0.000,0.009,0.000,0.000,0.000
15,256,147.746,206.446,83.299,166502400,49.27,38.531,25.915,35,520.767,0.820,0,0.14,4813.3,6292.4,5622.1,669.8,388.0,1108.5,248.9,8683.2,0.675,1,0.000,0.007,0.000,0.000,0.000
16,256,132.676,160.182,80.820,129073152,50.89,32.603,19.253,0,463.928,0.820,0,0.00,4813.3,6293.1,5622.8,669.8,388.0,1106.9,246.5,8683.9,0.749,1,0.000,0.006,0.000,0.000,0.000
17,256,144.306,183.760,82.407,152580096,52.28,38.371,23.528,3,501.737,0.820,0,0.01,4813.3,6291.2,5620.9,669.8,387.9,1110.7,250.3,8683.9,0.614,1,0.000,0.006,0.000,0.000,0.000
18,256,169.114,281.609,84.662,227930112,53.28,47.997,36.455,0,595.140,0.820,0,0.00,4813.3,6291.3,5621.0,669.8,387.9,1105.0,244.6,8684.7,0.764,1,0.000,0.007,0.000,0.000,0.000
19,256,137.027,160.821,83.713,131444736,54.56,31.499,21.815,37,500.907,0.820,0,0.14,4813.3,6292.0,5621.7,669.8,387.8,1102.8,242.4,8685.2,0.654,1,0.000,0.007,0.000,0.000,0.000
