# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4912 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,457.210,642.028,184.830,474021888,6.28,207.532,64.848,14706,1545.550,-1.000,0,57.45,4912.6,6401.6,5736.7,664.6,371.4,1033.5,150.4,8722.2,0.417,1,0.000,0.006,0.000,0.000,0.000
2,256,343.596,453.986,85.622,323321856,12.78,212.362,45.613,0,1086.450,0.820,0,0.00,4912.6,6369.7,5724.1,645.2,384.7,1041.9,156.7,8715.7,5.727,1,0.000,0.005,0.000,0.000,0.000
3,256,335.446,492.913,82.000,368357376,17.63,209.388,44.058,56,1162.128,0.820,0,0.22,4912.6,6356.0,5716.8,638.8,392.2,1049.8,167.8,8707.5,0.571,1,0.000,0.007,0.000,0.000,0.000
4,256,249.301,243.129,87.990,174698496,23.26,134.199,27.111,144,824.097,0.820,0,0.56,4912.6,6349.3,5715.2,633.7,395.1,1049.0,171.5,8704.5,0.591,1,0.000,0.006,0.000,0.000,0.000
5,256,295.026,326.410,80.083,244715520,27.47,182.364,32.579,1,977.828,0.820,0,0.00,4912.6,6337.9,5718.0,619.6,391.6,1054.6,194.0,8700.6,0.578,1,0.000,0.006,0.000,0.000,0.000
6,256,257.900,277.017,83.259,202248192,31.36,144.193,30.448,1,889.534,0.820,0,0.00,4912.6,6328.0,5714.6,612.9,394.7,1057.2,202.8,8693.1,0.621,1,0.000,0.006,0.000,0.000,0.000
7,256,230.336,207.697,100.605,145465344,35.09,108.821,20.910,55,755.272,0.820,0,0.21,4912.6,6322.9,5716.2,606.3,392.0,1062.0,217.2,8691.2,0.570,1,0.000,0.007,0.000,0.000,0.000
8,256,262.688,279.570,85.637,207187968,37.96,149.839,27.212,1,884.398,0.820,0,0.00,4912.6,6316.7,5717.7,598.7,392.1,1061.6,226.0,8688.1,0.527,1,0.000,0.005,0.000,0.000,0.000
9,256,289.315,321.696,87.259,241754112,40.29,166.429,35.628,1,986.973,0.820,0,0.00,4912.6,6300.5,5713.9,586.2,395.3,1062.3,239.3,8686.0,0.579,1,0.000,0.005,0.000,0.000,0.000
10,256,285.615,352.303,83.978,258048000,42.26,171.794,29.842,1,941.231,0.820,0,0.00,4912.6,6280.2,5699.8,579.9,408.7,1063.9,249.6,8671.2,0.517,1,0.000,0.004,0.000,0.000,0.000
11,256,234.845,245.673,84.323,169660416,44.48,131.330,19.193,56,766.490,0.820,0,0.22,4912.6,6272.2,5692.3,579.6,418.0,1068.6,256.2,8657.0,0.581,1,0.000,0.005,0.000,0.000,0.000
12,256,301.858,404.189,81.959,298238528,45.83,185.617,34.282,1,1024.813,0.820,0,0.00,4912.6,6248.2,5674.7,573.1,435.1,1071.5,265.5,8634.5,0.585,1,0.000,0.005,0.000,0.000,0.000
13,256,297.629,314.396,72.147,216870912,47.44,199.212,26.271,1,933.741,0.820,0,0.00,4912.6,6220.3,5653.8,566.2,454.3,1073.5,274.2,8616.2,0.615,1,0.000,0.004,0.000,0.000,0.000
14,256,333.148,529.314,81.926,411918336,48.01,206.776,44.446,431,1164.106,0.820,0,1.68,4912.6,6196.7,5630.1,566.2,479.3,1070.2,270.6,8592.2,0.604,1,0.000,0.005,0.000,0.000,0.000
15,256,263.484,242.230,98.227,163835904,49.61,139.362,25.896,56,863.397,0.820,0,0.22,4912.6,6208.8,5649.0,559.4,461.5,1068.0,277.2,8610.2,0.519,1,0.000,0.006,0.000,0.000,0.000
16,256,215.420,177.344,79.727,126308352,51.22,121.533,14.160,2,695.345,0.820,0,0.01,4912.6,6191.4,5631.5,559.4,478.4,1067.9,277.1,8593.0,0.572,1,0.000,0.005,0.000,0.000,0.000
17,256,263.494,221.856,82.841,152580096,52.60,161.861,18.792,3,837.082,0.820,0,0.01,4912.6,6173.1,5613.3,559.4,496.9,1067.2,276.6,8574.5,0.518,1,0.000,0.005,0.000,0.000,0.000
18,256,177.363,290.324,84.764,225263616,53.60,50.110,42.490,4294,643.885,0.820,0,16.77,4912.6,6242.6,5682.8,559.4,425.8,1057.8,268.8,8645.0,0.595,1,0.000,0.007,0.000,0.000,0.000
19,256,129.562,168.580,77.404,128778240,54.87,30.666,21.491,56,471.492,0.820,0,0.22,4912.6,6250.3,5690.6,559.3,418.2,1059.2,270.2,8652.5,0.539,1,0.000,0.006,0.000,0.000,0.000
20,256,120.762,131.734,76.781,104288256,56.14,29.024,14.957,2,422.814,0.820,0,0.01,4912.6,6245.8,5686.9,558.6,422.2,1059.8,271.6,8648.7,0.610,1,0.000,0.006,0.000,0.000,0.000
21,256,117.594,132.136,72.545,101720064,57.32,26.131,18.919,1,416.400,0.820,0,0.00,4912.6,6267.6,5709.4,557.8,399.2,1059.6,272.5,8671.5,0.589,1,0.000,0.005,0.000,0.000,0.000
22,256,117.637,125.881,76.354,93917184,58.46,27.475,13.807,0,408.903,0.820,0,0.00,4912.6,6264.5,5706.6,557.4,402.6,1060.4,273.6,8667.5,0.562,1,0.000,0.005,0.000,0.000,0.000
23,256,121.446,140.124,74.501,104189952,59.48,30.777,16.168,55,415.372,0.820,0,0.21,4912.6,6266.2,5708.5,557.3,400.5,1059.9,273.3,8669.1,0.542,1,0.000,0.005,0.000,0.000,0.000
24,256,102.497,68.871,73.279,45723648,60.62,21.618,7.600,2,354.124,0.820,0,0.01,4912.6,6266.1,5709.3,556.4,400.5,1070.2,284.5,8669.0,0.601,1,0.000,0.005,0.000,0.000,0.000
25,256,115.913,120.352,75.321,96387072,61.54,26.890,13.702,0,411.474,0.820,0,0.00,4912.6,6266.9,5710.2,556.3,398.2,1060.8,275.2,8669.1,0.568,1,0.000,0.005,0.000,0.000,0.000
26,256,127.228,155.137,76.596,125718528,62.32,29.944,20.687,0,450.709,0.820,0,0.00,4912.6,6267.0,5710.3,556.3,398.2,1061.3,275.2,8668.4,0.571,1,0.000,0.005,0.000,0.000,0.000
27,256,107.551,93.862,75.198,70017024,63.22,22.011,10.342,55,383.768,0.820,0,0.21,4912.6,6267.5,5711.0,556.1,398.1,1059.3,273.4,8670.4,0.554,1,0.000,0.005,0.000,0.000,0.000
28,256,114.074,107.351,74.116,82857984,64.02,27.993,11.965,1,407.640,0.820,0,0.00,4912.6,6266.9,5710.5,556.1,398.1,1063.8,278.0,8666.9,0.512,1,0.000,0.005,0.000,0.000,0.000
29,256,95.635,63.367,72.971,45428736,64.88,14.569,8.094,0,350.867,0.820,0,0.00,4912.6,6266.6,5710.2,556.1,398.1,1066.3,280.5,8665.1,0.657,1,0.000,0.005,0.000,0.000,0.000
30,256,96.955,49.940,75.394,40390656,65.71,15.150,6.411,2,350.991,0.820,0,0.01,4912.6,6266.7,5710.2,556.1,398.1,1057.5,256.7,8671.6,0.505,1,0.000,0.005,0.000,0.000,0.000
31,256,100.117,71.235,73.723,53526528,66.47,17.485,8.908,56,360.959,0.820,0,0.22,4912.6,6267.0,5710.6,556.1,397.8,1054.2,246.9,8671.6,0.530,1,0.000,0.007,0.000,0.000,0.000
32,256,90.427,41.310,74.389,26861568,67.25,11.641,4.398,1,323.350,0.820,0,0.00,4912.6,6266.8,5710.3,556.1,397.8,1056.7,249.4,8670.6,0.507,1,0.000,0.005,0.000,0.000,0.000
33,256,196.252,379.089,87.115,291729408,67.35,59.057,50.080,0,705.587,0.820,0,0.00,4912.6,6268.4,5712.0,556.1,397.8,1055.6,248.3,8668.6,0.589,1,0.000,0.008,0.000,0.000,0.000
34,256,160.608,253.075,84.585,198991872,67.68,41.752,34.271,1,579.165,0.820,0,0.00,4912.6,6266.7,5710.2,556.1,397.8,1057.7,249.6,8667.9,0.787,1,0.000,0.007,0.000,0.000,0.000
35,256,197.027,375.763,89.774,299728896,67.75,55.460,51.793,55,713.011,0.820,0,0.21,4912.6,6268.2,5711.8,556.1,397.6,1054.4,246.2,8666.1,0.800,1,0.000,0.008,0.000,0.000,0.000
36,256,136.619,170.651,83.679,126406656,68.21,31.461,21.479,2,487.394,0.820,0,0.01,4912.6,6269.2,5712.7,556.1,397.6,1054.4,246.2,8665.1,0.884,1,0.000,0.008,0.000,0.000,0.000
37,256,115.705,119.818,75.123,88780800,68.73,26.331,14.251,1,407.595,0.820,0,0.00,4912.6,6266.9,5710.4,556.1,397.6,1057.0,248.8,8664.9,0.510,1,0.000,0.006,0.000,0.000,0.000
38,256,129.266,156.093,78.490,121171968,69.16,32.740,18.037,1,449.402,0.820,0,0.00,4912.6,6267.3,5710.8,556.1,397.6,1058.4,250.2,8663.4,0.566,1,0.000,0.011,0.000,0.000,0.000
39,256,115.339,119.650,76.277,88485888,69.63,25.460,13.602,55,408.966,0.820,0,0.21,4912.6,6267.5,5711.0,556.1,397.3,1057.0,248.8,8663.1,0.573,1,0.000,0.006,0.000,0.000,0.000
40,256,125.188,148.788,77.114,118112256,70.03,31.106,16.967,0,450.592,0.820,0,0.00,4912.6,6267.5,5711.0,556.1,397.3,1058.3,250.1,8661.9,0.548,1,0.000,0.006,0.000,0.000,0.000
41,256,124.347,137.693,78.470,110309376,70.43,29.260,16.617,1,441.103,0.820,0,0.00,4912.6,6267.8,5711.3,556.1,397.3,1058.1,249.5,8661.1,0.509,1,0.000,0.007,0.000,0.000,0.000
42,256,88.249,32.341,74.569,18763776,70.99,9.172,4.509,0,326.935,0.820,0,0.00,4912.6,6267.3,5710.9,556.1,397.3,1060.5,251.9,8660.6,0.544,1,0.000,0.009,0.000,0.000,0.000
43,256,121.857,134.526,76.914,104779776,71.36,29.893,15.050,56,433.366,0.820,0,0.22,4912.6,6269.5,5713.0,556.1,397.2,1057.3,248.7,8660.1,0.584,1,0.000,0.005,0.000,0.000,0.000
44,256,132.749,169.106,78.878,131444736,71.67,33.640,20.230,1,467.345,0.820,0,0.00,4912.6,6267.4,5710.9,556.1,397.2,1059.6,251.0,8658.6,0.553,1,0.000,0.005,0.000,0.000,0.000
45,256,113.882,105.996,75.673,83447808,72.05,24.823,13.386,2,410.653,0.820,0,0.01,4912.6,6267.9,5711.4,556.1,397.2,1060.1,251.5,8657.6,0.509,1,0.000,0.005,0.000,0.000,0.000
46,256,122.289,140.831,77.311,107741184,72.38,28.364,16.613,0,428.514,0.820,0,0.00,4912.6,6267.1,5710.6,556.1,397.7,1060.5,251.3,8656.9,0.539,1,0.000,0.005,0.000,0.000,0.000
