# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4895 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,429.268,534.101,199.582,474021888,6.28,157.314,72.373,20147,1537.139,-1.000,0,78.70,4895.6,6399.1,5742.2,656.4,350.6,1013.8,151.7,8719.8,0.400,1,0.000,0.009,0.000,0.000,0.000
2,256,283.914,374.554,93.054,323321856,12.78,152.643,38.216,0,963.815,0.820,0,0.00,4895.6,6387.4,5738.3,648.7,355.2,1014.2,160.1,8712.9,1.407,1,0.000,0.006,0.000,0.000,0.000
3,256,314.014,437.355,85.776,368357376,17.63,183.020,45.217,43,1091.582,0.820,0,0.17,4895.6,6354.0,5719.7,633.9,371.8,1043.4,209.0,8688.3,0.604,1,0.000,0.008,0.000,0.000,0.000
4,256,234.321,236.072,90.246,174698496,23.26,122.056,22.020,360,774.878,0.820,0,1.41,4895.6,6347.1,5712.8,633.9,380.2,1047.7,211.9,8678.1,1.915,1,0.000,0.007,0.000,0.000,0.000
5,256,260.579,298.348,99.403,244715520,27.47,129.468,31.708,1,882.591,0.820,0,0.00,4895.6,6330.3,5702.1,627.8,389.7,1065.7,241.8,8663.2,0.592,1,0.000,0.006,0.000,0.000,0.000
6,256,237.981,267.535,94.806,204914688,31.34,114.929,28.246,0,817.121,0.820,0,0.00,4895.6,6314.4,5701.5,612.4,390.3,1069.2,263.0,8658.0,0.582,1,0.000,0.006,0.000,0.000,0.000
7,256,222.359,206.746,92.006,148131840,35.06,107.986,22.367,43,707.076,0.820,0,0.17,4895.6,6308.1,5702.9,604.8,390.3,1075.4,279.7,8649.0,5.928,1,0.000,0.005,0.000,0.000,0.000
8,256,170.969,254.973,82.517,207187968,37.93,57.330,31.122,1,596.147,0.820,0,0.00,4895.6,6307.3,5702.2,604.7,390.3,1068.2,274.1,8644.0,1.068,1,0.000,0.007,0.000,0.000,0.000
9,256,175.485,287.169,85.654,244420608,40.24,44.899,44.932,1,652.008,0.820,0,0.00,4895.6,6306.4,5701.4,604.7,390.3,1069.4,275.3,8639.7,0.728,1,0.000,0.008,0.000,0.000,0.000
10,256,190.983,320.876,90.804,260714496,42.20,51.713,48.466,1,698.066,0.820,0,0.00,4895.6,6308.4,5703.3,604.7,390.3,1063.2,267.8,8641.2,0.556,1,0.000,0.008,0.000,0.000,0.000
11,256,158.051,217.942,87.724,169660416,44.42,40.965,29.363,43,567.308,0.820,0,0.17,4895.6,6307.6,5702.5,604.7,390.0,1065.0,269.6,8640.0,0.747,1,0.000,0.007,0.000,0.000,0.000
12,256,196.496,357.051,89.239,298238528,45.78,53.893,53.364,1,717.977,0.820,0,0.00,4895.6,6305.5,5700.4,604.7,391.7,1065.1,267.9,8637.2,0.709,1,0.000,0.008,0.000,0.000,0.000
13,256,170.802,272.265,87.509,216870912,47.39,44.954,38.339,1,618.407,0.820,0,0.00,4895.6,6304.7,5699.6,604.7,393.3,1064.8,267.6,8631.5,0.840,1,0.000,0.009,0.000,0.000,0.000
14,256,232.660,464.234,92.514,411918336,47.96,63.136,77.009,1,902.207,0.820,0,0.00,4895.6,6300.1,5695.1,604.7,396.7,1062.7,262.8,8628.0,0.919,1,0.000,0.009,0.000,0.000,0.000
15,256,152.350,204.150,85.291,163835904,49.56,38.333,28.727,43,543.695,0.820,0,0.17,4895.6,6307.5,5702.5,604.7,390.4,1059.8,259.7,8635.6,0.712,1,0.000,0.008,0.000,0.000,0.000
16,256,137.620,163.009,82.353,126308352,51.18,36.118,19.148,2,466.960,0.820,0,0.01,4895.6,6304.0,5698.9,604.7,392.9,1057.6,257.4,8633.3,0.668,1,0.000,0.007,0.000,0.000,0.000
17,256,159.856,187.436,86.827,152580096,52.56,49.734,23.294,3,528.348,0.820,0,0.01,4895.6,6301.7,5696.7,604.7,395.9,1046.3,229.9,8636.6,0.701,1,0.000,0.007,0.000,0.000,0.000
18,256,210.321,287.632,98.398,225263616,53.56,74.397,37.526,0,725.967,0.820,0,0.00,4895.6,6300.7,5702.9,597.4,390.3,1055.7,199.6,8649.7,0.680,1,0.000,0.007,0.000,0.000,0.000
19,256,219.533,166.097,105.368,128778240,54.83,92.176,21.989,44,708.755,0.820,0,0.17,4895.6,6287.5,5697.0,590.1,396.5,1036.8,153.2,8647.0,5.657,1,0.000,0.006,0.000,0.000,0.000
20,256,217.331,149.459,104.416,104288256,56.10,97.196,15.719,1,700.953,0.820,0,0.00,4895.6,6277.3,5694.2,582.7,396.9,1048.4,175.7,8645.9,0.678,1,0.000,0.007,0.000,0.000,0.000
21,256,192.901,141.014,89.257,101720064,57.29,89.573,14.070,1,631.874,0.820,0,0.00,4895.6,6274.0,5698.4,575.2,395.0,1049.0,184.0,8643.0,0.561,1,0.000,0.006,0.000,0.000,0.000
22,256,187.545,130.753,102.365,93917184,58.42,72.605,12.575,0,608.940,0.820,0,0.00,4895.6,6264.7,5696.4,567.9,394.9,1054.5,203.4,8639.6,4.984,1,0.000,0.006,0.000,0.000,0.000
23,256,198.634,141.612,109.865,104189952,59.45,71.488,17.280,43,660.453,0.820,0,0.17,4895.6,6250.8,5689.5,560.9,401.9,1057.2,211.7,8629.4,0.534,1,0.000,0.006,0.000,0.000,0.000
24,256,167.490,68.022,102.927,45723648,60.59,53.374,11.189,2,548.344,0.820,0,0.01,4895.6,6249.5,5690.8,558.3,400.4,1057.9,217.8,8628.9,5.348,1,0.000,0.006,0.000,0.000,0.000
25,256,199.399,134.574,88.367,96387072,61.51,95.533,15.498,0,632.056,0.820,0,0.00,4895.6,6238.2,5690.7,547.1,402.6,1058.4,233.8,8624.6,0.586,1,0.000,0.006,0.000,0.000,0.000
26,256,231.456,169.413,100.416,125718528,62.29,109.290,21.750,0,750.227,0.820,0,0.00,4895.6,6225.4,5691.7,533.3,401.6,1058.4,254.0,8623.8,0.530,1,0.000,0.007,0.000,0.000,0.000
27,256,183.492,101.707,114.820,70017024,63.19,59.309,9.363,44,580.884,0.820,0,0.17,4895.6,6209.8,5681.8,527.7,409.9,1058.2,263.6,8617.1,0.530,1,0.000,0.007,0.000,0.000,0.000
28,256,194.319,117.347,103.601,82857984,63.99,75.495,15.223,1,645.594,0.820,0,0.00,4895.6,6206.6,5678.8,527.4,414.2,1058.1,267.1,8611.3,0.532,1,0.000,0.006,0.000,0.000,0.000
29,256,165.942,70.540,99.472,48193536,64.85,46.564,19.905,0,554.548,0.820,0,0.00,4895.6,6194.0,5672.5,521.2,420.2,1059.3,274.6,8605.3,5.681,1,0.000,0.006,0.000,0.000,0.000
30,256,178.511,65.802,119.616,43155456,65.67,52.461,6.434,633,568.888,0.820,0,2.47,4895.6,6188.2,5666.6,521.2,426.5,1059.3,274.5,8598.7,2.041,1,0.000,0.005,0.000,0.000,0.000
31,256,180.411,78.089,115.515,53526528,66.43,51.911,12.985,43,598.214,0.820,0,0.17,4895.6,6174.4,5659.3,514.7,433.4,1059.8,283.6,8591.4,0.531,1,0.000,0.005,0.000,0.000,0.000
32,256,151.195,40.743,123.624,26861568,67.21,18.721,8.850,1,526.420,0.820,0,0.00,4895.6,6168.7,5653.6,514.7,439.2,1060.2,284.0,8585.7,0.529,1,0.000,0.006,0.000,0.000,0.000
33,256,269.250,374.998,88.616,294395904,67.31,134.560,46.073,3139,916.061,0.820,0,12.26,4895.6,6205.6,5690.5,514.7,401.6,1051.0,276.2,8621.0,4.820,1,0.000,0.006,0.000,0.000,0.000
34,256,168.524,249.596,87.900,201658368,67.63,45.505,35.119,1,595.647,0.820,0,0.00,4895.6,6203.0,5687.9,514.7,405.1,1052.1,277.2,8616.8,0.762,1,0.000,0.007,0.000,0.000,0.000
35,256,199.138,355.985,92.583,302395392,67.70,53.075,53.480,1616,752.613,0.820,0,6.31,4895.6,6209.6,5694.6,514.7,397.1,1052.8,278.0,8624.6,0.846,1,0.000,0.009,0.000,0.000,0.000
36,256,138.706,172.681,82.010,131739648,68.14,36.593,20.102,0,480.539,0.820,0,0.00,4895.6,6210.5,5695.5,514.7,396.4,1051.7,276.8,8624.4,0.678,1,0.000,0.006,0.000,0.000,0.000
37,256,121.201,120.589,78.961,91545600,68.66,27.906,14.333,1,431.400,0.820,0,0.00,4895.6,6211.3,5696.2,514.7,396.4,1051.4,276.2,8623.7,0.522,1,0.000,0.006,0.000,0.000,0.000
38,256,175.701,153.007,110.679,121171968,69.09,46.010,19.012,1,588.038,0.820,0,0.00,4895.6,6211.7,5696.7,514.7,396.4,1019.4,239.5,8636.8,0.597,1,0.000,0.007,0.000,0.000,0.000
39,256,123.747,112.060,78.534,88485888,69.57,31.712,13.501,43,432.304,0.820,0,0.17,4895.6,6210.5,5695.4,514.7,397.7,1003.8,215.5,8650.0,0.633,1,0.000,0.005,0.000,0.000,0.000
40,256,150.599,147.001,86.477,118112256,69.97,47.883,16.239,0,516.716,0.820,0,0.00,4895.6,6205.1,5696.5,508.2,396.4,1049.4,268.6,8728.5,0.570,1,0.000,0.006,0.000,0.000,0.000
41,256,215.077,146.680,106.646,110309376,70.36,94.620,13.811,1,683.834,0.820,0,0.00,4895.6,6192.6,5696.5,495.7,396.4,1049.1,286.2,8741.5,0.565,1,0.000,0.006,0.000,0.000,0.000
42,256,90.831,30.122,75.223,18763776,70.92,11.664,3.944,0,324.691,0.820,0,0.00,4895.6,6192.3,5696.2,495.7,396.4,1038.5,278.2,8741.2,4.628,1,0.000,0.005,0.000,0.000,0.000
43,256,134.356,133.755,87.286,104779776,71.30,32.468,14.602,43,461.276,0.820,0,0.17,4895.6,6191.4,5696.1,494.9,396.3,1038.6,279.3,8741.0,0.571,1,0.000,0.005,0.000,0.000,0.000
44,256,139.669,163.968,83.621,131444736,71.61,35.891,20.156,1,491.084,0.820,0,0.00,4895.6,6191.9,5696.5,494.9,396.3,1040.8,281.5,8739.7,0.550,1,0.000,0.006,0.000,0.000,0.000
45,256,118.558,104.725,78.901,83447808,71.99,26.353,13.304,2,418.571,0.820,0,0.01,4895.6,6191.6,5696.3,494.9,396.8,1040.3,280.9,8738.2,0.568,1,0.000,0.006,0.000,0.000,0.000
46,256,134.474,144.145,81.784,107741184,72.32,35.764,16.927,1,458.468,0.820,0,0.00,4895.6,6191.8,5696.4,494.9,397.0,1038.9,277.5,8738.9,0.560,1,0.000,0.007,0.000,0.000,0.000
47,256,126.530,130.758,80.362,104779776,72.64,29.457,16.711,43,441.079,0.820,0,0.17,4895.6,6192.6,5697.3,494.9,396.0,1039.3,277.9,8738.8,0.635,1,0.000,0.006,0.000,0.000,0.000
48,256,102.671,54.675,77.134,37724160,73.07,19.117,6.420,2,358.364,0.820,0,0.01,4895.6,6190.4,5695.1,494.9,396.0,1041.5,280.0,8738.3,0.593,1,0.000,0.005,0.000,0.000,0.000
49,256,118.744,112.225,80.048,86212608,73.40,25.935,12.761,0,423.111,0.820,0,0.00,4895.6,6188.4,5693.0,494.9,398.9,1042.0,280.5,8735.1,0.601,1,0.000,0.006,0.000,0.000,0.000
50,256,104.643,66.162,77.279,45723648,73.78,18.873,8.491,5,367.553,0.820,0,0.02,4895.6,6185.9,5690.5,494.9,400.9,1040.8,279.3,8732.3,0.546,1,0.000,0.007,0.000,0.000,0.000
51,256,121.705,111.721,81.197,80781312,74.10,27.931,12.577,43,426.839,0.820,0,0.17,4895.6,6189.0,5693.7,494.9,398.3,1032.9,271.1,8734.6,0.533,1,0.000,0.006,0.000,0.000,0.000
52,256,93.587,41.626,76.084,26861568,74.49,12.991,4.513,2,332.964,0.820,0,0.01,4895.6,6187.2,5691.9,494.9,400.5,1035.5,273.7,8732.6,0.586,1,0.000,0.006,0.000,0.000,0.000
53,256,98.110,47.978,77.890,34664448,74.85,13.001,7.220,1,353.321,0.820,0,0.00,4895.6,6186.7,5691.3,494.9,401.1,1036.3,274.5,8731.7,0.541,1,0.000,0.006,0.000,0.000,0.000
54,256,80.532,8.640,75.202,5332992,75.25,3.501,1.829,1,312.075,0.820,0,0.00,4895.6,6185.5,5690.1,494.9,402.2,1032.0,268.8,8734.4,0.518,1,0.000,0.005,0.000,0.000,0.000
55,256,124.573,95.809,84.257,69820416,75.54,27.817,12.499,43,421.344,0.820,0,0.17,4895.6,6185.8,5690.4,494.9,402.2,1032.3,269.1,8734.1,0.569,1,0.000,0.007,0.000,0.000,0.000
56,256,115.804,107.013,78.359,83251200,75.80,25.345,12.100,2,406.955,0.820,0,0.01,4895.6,6187.6,5692.2,494.9,400.1,1030.8,267.6,8736.0,0.664,1,0.000,0.006,0.000,0.000,0.000
57,256,114.644,86.504,80.180,62115840,76.08,25.103,9.361,1,396.099,0.820,0,0.00,4895.6,6190.3,5695.0,494.9,398.1,1027.8,263.9,8739.4,0.612,1,0.000,0.006,0.000,0.000,0.000
58,256,97.447,58.761,74.915,42762240,76.38,14.866,7.667,1,349.044,0.820,0,0.00,4895.6,6192.5,5697.2,494.9,396.1,1027.9,264.0,8741.8,0.517,1,0.000,0.005,0.000,0.000,0.000
59,256,150.308,175.992,88.721,139739136,76.53,39.972,21.616,43,526.982,0.820,0,0.17,4895.6,6191.8,5696.4,494.9,395.4,1030.4,266.5,8742.3,0.607,1,0.000,0.007,0.000,0.000,0.000
60,256,112.591,99.333,76.295,77721600,76.77,25.547,10.749,1,388.765,0.820,0,0.00,4895.6,6192.0,5696.7,494.9,395.4,1027.8,263.9,8742.6,0.645,1,0.000,0.004,0.000,0.000,0.000
61,256,133.069,146.855,80.629,117325824,76.94,34.327,18.113,0,476.869,0.820,0,0.00,4895.6,6192.0,5696.7,494.9,395.4,1028.3,256.2,8744.6,0.611,1,0.000,0.006,0.000,0.000,0.000
62,256,94.483,45.711,76.338,32096256,77.22,12.975,5.170,0,335.742,0.820,0,0.00,4895.6,6191.6,5696.3,494.9,395.4,1027.8,252.9,8745.1,0.555,1,0.000,0.005,0.000,0.000,0.000
63,256,162.672,252.590,83.735,208773120,77.26,45.999,32.939,42,575.477,0.820,0,0.16,4895.6,6193.1,5697.8,494.9,395.3,1025.6,250.6,8745.3,0.514,1,0.000,0.006,0.000,0.000,0.000
64,256,88.142,30.743,75.516,21528576,77.55,8.752,3.875,0,329.154,0.820,0,0.00,4895.6,6193.2,5697.9,494.9,395.3,1025.7,249.9,8745.6,0.557,1,0.000,0.005,0.000,0.000,0.000
65,256,93.093,44.998,75.990,29626368,77.82,12.212,4.892,0,348.612,0.820,0,0.00,4895.6,6193.2,5697.9,494.9,395.3,1026.7,251.0,8745.6,0.541,1,0.000,0.005,0.000,0.000,0.000
66,256,98.797,64.621,75.294,47996928,78.05,15.426,8.077,1,362.742,0.820,0,0.00,4895.6,6192.2,5696.9,494.9,395.3,1026.1,250.3,8745.8,0.512,1,0.000,0.005,0.000,0.000,0.000
67,256,108.615,84.178,76.478,69722112,78.26,22.432,9.704,76,379.512,0.820,0,0.30,4895.6,6192.9,5697.6,494.9,395.1,1026.4,250.6,8746.1,0.579,1,0.000,0.006,0.000,0.000,0.000
68,256,128.256,130.338,80.993,107249664,78.41,31.404,15.859,2,445.303,0.820,0,0.01,4895.6,6192.1,5696.8,494.9,394.9,1027.0,251.3,8746.1,0.577,1,0.000,0.005,0.000,0.000,0.000
69,256,175.186,283.921,86.250,231284736,78.40,48.552,40.384,2,634.076,0.820,0,0.01,4895.6,6192.1,5696.7,494.9,394.9,1025.3,249.5,8746.3,0.605,1,0.000,0.007,0.000,0.000,0.000
70,256,90.554,43.956,75.794,29626368,78.64,10.035,4.725,2,341.040,0.820,0,0.01,4895.6,6192.2,5696.8,494.9,394.9,1026.8,251.0,8746.6,0.671,1,0.000,0.005,0.000,0.000,0.000
71,256,137.207,158.280,80.983,120778752,78.76,37.774,18.450,95,458.277,0.820,0,0.37,4895.6,6192.7,5697.4,494.9,394.6,1025.3,249.5,8747.1,0.571,1,0.000,0.006,0.000,0.000,0.000
72,256,117.903,101.955,79.543,83054592,78.93,26.229,12.131,1,415.821,0.820,0,0.00,4895.6,6194.2,5698.9,494.9,394.6,1023.3,247.5,8747.6,0.741,1,0.000,0.005,0.000,0.000,0.000
73,256,137.277,152.818,83.391,120680448,79.04,36.847,17.039,1,467.422,0.820,0,0.00,4895.6,6194.2,5698.8,494.9,394.6,1023.9,248.1,8747.6,0.539,1,0.000,0.006,0.000,0.000,0.000
74,256,138.525,169.659,82.222,133914624,79.14,34.730,21.573,1,490.340,0.820,0,0.00,4895.6,6191.9,5696.5,494.9,394.6,1025.8,250.1,8747.8,0.507,1,0.000,0.006,0.000,0.000,0.000
75,256,113.289,76.881,77.660,59056128,79.32,26.944,8.685,79,399.641,0.820,0,0.31,4895.6,6192.6,5697.3,494.9,394.2,1007.3,231.5,8748.3,0.665,1,0.000,0.006,0.000,0.000,0.000
76,256,89.196,29.091,76.440,21528576,79.55,8.732,4.025,0,330.954,0.820,0,0.00,4895.6,6192.4,5697.0,494.9,394.2,999.8,224.0,8748.3,0.599,1,0.000,0.005,0.000,0.000,0.000
77,256,102.028,61.630,76.453,43057152,79.74,18.344,7.231,1,365.461,0.820,0,0.00,4895.6,6194.3,5699.0,494.9,394.2,993.3,217.5,8748.8,0.536,1,0.000,0.005,0.000,0.000,0.000
78,256,101.380,56.822,76.268,42762240,79.93,18.824,6.288,0,354.609,0.820,0,0.00,4895.6,6194.5,5699.1,494.9,394.2,990.1,214.2,8748.8,0.571,1,0.000,0.005,0.000,0.000,0.000
79,256,87.340,24.476,76.952,16195584,80.14,6.399,3.989,91,335.140,0.820,0,0.36,4895.6,6194.2,5699.6,494.2,393.9,1007.6,232.3,8749.6,0.517,1,0.000,0.005,0.000,0.000,0.000
80,256,194.836,115.324,99.868,78114816,80.28,83.243,11.725,0,656.525,0.820,0,0.00,4895.6,6175.1,5697.4,477.3,394.1,1034.9,282.7,8747.1,0.544,1,0.000,0.006,0.000,0.000,0.000
81,256,239.971,442.893,91.887,382685184,80.08,81.080,67.005,2,879.094,0.820,0,0.01,4895.6,6176.7,5699.0,477.3,394.1,1026.6,277.1,8743.3,6.693,1,0.000,0.008,0.000,0.000,0.000
82,256,153.233,196.833,89.305,155934720,80.14,35.840,28.088,1,547.734,0.820,0,0.00,4895.6,6175.1,5697.4,477.3,393.9,1028.1,278.7,8741.3,0.839,1,0.000,0.007,0.000,0.000,0.000
83,256,117.185,100.907,81.080,75644928,80.27,25.486,10.619,93,416.175,0.820,0,0.36,4895.6,6176.2,5698.5,477.3,393.7,1028.1,278.7,8739.3,0.658,1,0.000,0.006,0.000,0.000,0.000
84,256,115.259,87.636,81.592,67153920,80.42,23.418,10.249,1,406.726,0.820,0,0.00,4895.6,6176.0,5698.3,477.3,393.7,1031.2,281.7,8738.6,0.630,1,0.000,0.005,0.000,0.000,0.000
85,256,104.722,65.333,78.308,48586752,80.58,18.396,8.018,1,370.315,0.820,0,0.00,4895.6,6176.4,5698.7,477.3,393.6,1028.7,279.2,8737.3,0.559,1,0.000,0.004,0.000,0.000,0.000
86,256,136.384,154.560,82.425,120778752,80.66,36.413,17.546,1,464.462,0.820,0,0.00,4895.6,6176.4,5698.7,477.3,393.6,1032.1,282.6,8735.3,0.515,1,0.000,0.005,0.000,0.000,0.000
87,256,107.906,77.882,79.235,53821440,80.81,19.598,9.073,78,384.179,0.820,0,0.30,4895.6,6176.3,5698.6,477.3,393.3,1030.5,281.0,8733.3,0.602,1,0.000,0.005,0.000,0.000,0.000
88,256,118.262,99.849,80.536,75251712,80.94,26.977,10.749,0,411.801,0.820,0,0.00,4895.6,6176.5,5698.8,477.3,393.3,1031.3,281.8,8731.8,0.542,1,0.000,0.006,0.000,0.000,0.000
89,256,121.068,102.463,79.578,77623296,81.05,30.198,11.292,1,404.942,0.820,0,0.00,4895.6,6176.1,5698.4,477.3,393.3,1031.0,281.5,8729.6,0.540,1,0.000,0.005,0.000,0.000,0.000
90,256,151.052,206.817,84.084,166109184,81.08,40.474,26.494,2,518.576,0.820,0,0.01,4895.6,6177.5,5699.8,477.3,393.3,1030.3,280.8,8726.8,0.681,1,0.000,0.007,0.000,0.000,0.000
91,256,149.725,186.624,86.087,148033536,81.13,38.697,24.941,98,533.270,0.820,0,0.38,4895.6,6176.1,5698.4,477.3,392.9,1031.2,280.4,8725.3,0.724,1,0.000,0.007,0.000,0.000,0.000
92,256,143.102,169.056,85.296,131641344,81.19,37.310,20.497,0,496.766,0.820,0,0.00,4895.6,6175.9,5698.2,477.3,392.9,1031.2,280.4,8722.9,0.701,1,0.000,0.006,0.000,0.000,0.000
